U+2F7E	⽾
U+2F93	⾓
U+2FBB	⾻
U+2FD0	⿐
U+31C0	㇀
U+31C1	㇁
U+31C2	㇂
U+31C3	㇃
U+31C4	㇄
U+31C5	㇅
U+31C6	㇆
U+31C7	㇇
U+31C8	㇈
U+31C9	㇉
U+31CA	㇊
U+31CB	㇋
U+31CC	㇌
U+31CD	㇍
U+31CE	㇎
U+31CF	㇏
U+31D0	㇐
U+31D1	㇑
U+31D2	㇒
U+31D3	㇓
U+31D4	㇔
U+31D5	㇕
U+31D6	㇖
U+31D7	㇗
U+31D8	㇘
U+31D9	㇙
U+31DA	㇚
U+31DB	㇛
U+31DC	㇜
U+31DD	㇝
U+31DE	㇞
U+31DF	㇟
U+31E0	㇠
U+31E1	㇡
U+31E2	㇢
U+31E3	㇣
U+6236	戶
U+9FA6	龦
U+9FA7	龧
U+9FA8	龨
U+9FA9	龩
U+9FAA	龪
U+9FAB	龫
U+9FAC	龬
U+9FAD	龭
U+9FAE	龮
U+9FAF	龯
U+9FB0	龰
U+9FB1	龱
U+9FB2	龲
U+9FB3	龳
U+9FBC	龼
U+9FBD	龽
U+9FBE	龾
U+9FBF	龿
U+9FC0	鿀
U+9FC1	鿁
U+9FC2	鿂
U+9FC3	鿃
U+9FC4	鿄
U+9FC5	鿅
U+9FC6	鿆
U+9FC7	鿇
U+9FC8	鿈
U+9FC9	鿉
U+9FCA	鿊
U+9FCB	鿋
U+9FCC	鿌
U+9FD0	鿐
U+9FD1	鿑
U+9FD2	鿒
U+9FD3	鿓
U+9FD4	鿔
U+9FD5	鿕
U+9FD6	鿖
U+9FD7	鿗
U+9FD8	鿘
U+9FD9	鿙
U+9FDA	鿚
U+9FDB	鿛
U+9FDC	鿜
U+9FDD	鿝
U+9FDE	鿞
U+9FDF	鿟
U+9FE0	鿠
U+9FE1	鿡
U+9FE2	鿢
U+9FE3	鿣
U+9FE4	鿤
U+9FE5	鿥
U+9FE6	鿦
U+9FE7	鿧
U+9FE8	鿨
U+9FE9	鿩
U+9FEA	鿪
U+9FEB	鿫
U+9FEC	鿬
U+9FED	鿭
U+9FEE	鿮
U+9FEF	鿯
U+F904	滑
U+F907	龜
U+F909	契
U+F90A	金
U+F90D	懶
U+F90E	癩
U+F90F	羅
U+F910	蘿
U+F911	螺
U+F912	裸
U+F913	邏
U+F914	樂
U+F916	烙
U+F91B	亂
U+F91C	卵
U+F91D	欄
U+F91E	爛
U+F91F	蘭
U+F920	鸞
U+F922	濫
U+F923	藍
U+F924	襤
U+F925	拉
U+F926	臘
U+F927	蠟
U+F928	廊
U+F929	朗
U+F92A	浪
U+F92B	狼
U+F92E	冷
U+F930	擄
U+F936	虜
U+F93B	碌
U+F93C	祿
U+F93D	綠
U+F93E	菉
U+F93F	錄
U+F940	鹿
U+F941	論
U+F942	壟
U+F944	籠
U+F945	聾
U+F946	牢
U+F94B	屢
U+F94C	樓
U+F94D	淚
U+F94F	累
U+F950	縷
U+F951	陋
U+F954	凜
U+F955	凌
U+F956	稜
U+F957	綾
U+F958	菱
U+F959	陵
U+F95A	讀
U+F95B	拏
U+F95D	諾
U+F95F	寧
U+F960	怒
U+F961	率
U+F968	泌
U+F969	數
U+F96A	索
U+F96B	參
U+F96C	塞
U+F96D	省
U+F96F	說
U+F970	殺
U+F971	辰
U+F973	拾
U+F975	掠
U+F977	亮
U+F978	兩
U+F97C	良
U+F97D	諒
U+F981	女
U+F982	廬
U+F983	旅
U+F986	閭
U+F987	驪
U+F988	麗
U+F989	黎
U+F98D	轢
U+F98F	憐
U+F990	戀
U+F991	撚
U+F992	漣
U+F994	璉
U+F996	練
U+F997	聯
U+F999	蓮
U+F99A	連
U+F99B	鍊
U+F99C	列
U+F99D	劣
U+F99E	咽
U+F99F	烈
U+F9A0	裂
U+F9A2	廉
U+F9A3	念
U+F9A4	捻
U+F9A5	殮
U+F9A6	簾
U+F9A7	獵
U+F9A8	令
U+F9A9	囹
U+F9AB	嶺
U+F9AC	怜
U+F9AD	玲
U+F9AF	羚
U+F9B0	聆
U+F9B1	鈴
U+F9B2	零
U+F9B4	領
U+F9B5	例
U+F9B6	禮
U+F9B8	隸
U+F9B9	惡
U+F9BA	了
U+F9BC	寮
U+F9C1	療
U+F9C2	蓼
U+F9C3	遼
U+F9C4	龍
U+F9C7	劉
U+F9C8	杻
U+F9C9	柳
U+F9CA	流
U+F9CB	溜
U+F9CC	琉
U+F9CD	留
U+F9CE	硫
U+F9CF	紐
U+F9D1	六
U+F9D2	戮
U+F9D3	陸
U+F9D4	倫
U+F9D5	崙
U+F9D6	淪
U+F9D7	輪
U+F9DA	栗
U+F9E1	李
U+F9E5	痢
U+F9E6	罹
U+F9E8	裡
U+F9EA	離
U+F9EB	匿
U+F9EC	溺
U+F9ED	吝
U+F9EE	燐
U+F9EF	璘
U+F9F0	藺
U+F9F2	鱗
U+F9F3	麟
U+F9F6	臨
U+F9F7	立
U+F9F8	笠
U+F9F9	粒
U+F9FB	炙
U+F9FC	識
U+F9FE	茶
U+FA00	切
U+FA01	度
U+FA03	糖
U+FA04	宅
U+FA09	降
U+FA0B	廓
U+FA10	塚
U+FA12	晴
U+FA15	凞
U+FA16	猪
U+FA17	益
U+FA19	神
U+FA1A	祥
U+FA1B	福
U+FA1C	靖
U+FA1D	精
U+FA1E	羽
U+FA22	諸
U+FA25	逸
U+FA26	都
U+FA2A	飯
U+FA2B	飼
U+FA2C	館
U+FA2D	鶴
U+FA2E	郞
U+FA30	侮
U+FA31	僧
U+FA32	免
U+FA36	喝
U+FA39	塀
U+FA3B	層
U+FA3C	屮
U+FA3D	悔
U+FA3E	慨
U+FA3F	憎
U+FA40	懲
U+FA41	敏
U+FA42	既
U+FA43	暑
U+FA44	梅
U+FA45	海
U+FA46	渚
U+FA48	煮
U+FA4A	琢
U+FA4C	社
U+FA4D	祉
U+FA4E	祈
U+FA4F	祐
U+FA50	祖
U+FA51	祝
U+FA52	禍
U+FA53	禎
U+FA54	穀
U+FA55	突
U+FA56	節
U+FA58	縉
U+FA59	繁
U+FA5A	署
U+FA5B	者
U+FA5C	臭
U+FA5F	著
U+FA60	褐
U+FA61	視
U+FA62	謁
U+FA63	謹
U+FA64	賓
U+FA65	贈
U+FA66	辶
U+FA67	逸
U+FA68	難
U+FA69	響
U+FA6A	頻
U+FA6B	恵
U+FA6C	𤋮
U+FA6D	舘
U+2000B	𠀋
U+20021	𠀡
U+20024	𠀤
U+2003E	𠀾
U+20046	𠁆
U+2004E	𠁎
U+20068	𠁨
U+20086	𠂆
U+2008A	𠂊
U+20094	𠂔
U+200A2	𠂢
U+200A4	𠂤
U+200B0	𠂰
U+200CA	𠃊
U+200CB	𠃋
U+200CD	𠃍
U+200D1	𠃑
U+200D7	𠃗
U+200EE	𠃮
U+200F5	𠃵
U+2010C	𠄌
U+2010E	𠄎
U+20118	𠄘
U+2012C	𠄬
U+20158	𠅘
U+201A2	𠆢
U+201A4	𠆤
U+201A9	𠆩
U+201AB	𠆫
U+201C1	𠇁
U+201D4	𠇔
U+201F2	𠇲
U+20204	𠈄
U+2020C	𠈌
U+20213	𠈓
U+20214	𠈔
U+20239	𠈹
U+2025B	𠉛
U+20274	𠉴
U+20275	𠉵
U+2028E	𠊎
U+20299	𠊙
U+2029E	𠊞
U+202A0	𠊠
U+202B7	𠊷
U+202BF	𠊿
U+202C0	𠋀
U+202E5	𠋥
U+2030A	𠌊
U+20325	𠌥
U+2032B	𠌫
U+20341	𠍁
U+20345	𠍅
U+20346	𠍆
U+20347	𠍇
U+20371	𠍱
U+2037E	𠍾
U+2037F	𠍿
U+20380	𠎀
U+20381	𠎁
U+203A0	𠎠
U+203A7	𠎧
U+203B5	𠎵
U+203C9	𠏉
U+203CB	𠏋
U+203F5	𠏵
U+203F9	𠏹
U+203FC	𠏼
U+20413	𠐓
U+20414	𠐔
U+2041F	𠐟
U+2042D	𠐭
U+2044A	𠑊
U+20465	𠑥
U+20487	𠒇
U+2048E	𠒎
U+20491	𠒑
U+20492	𠒒
U+204A3	𠒣
U+204D7	𠓗
U+204FC	𠓼
U+204FE	𠓾
U+20509	𠔉
U+2053F	𠔿
U+20547	𠕇
U+2058E	𠖎
U+205A5	𠖥
U+205B1	𠖱
U+205B3	𠖳
U+205C3	𠗃
U+205CA	𠗊
U+205D0	𠗐
U+205D5	𠗕
U+205D6	𠗖
U+205DF	𠗟
U+205E0	𠗠
U+205EB	𠗫
U+20611	𠘑
U+20615	𠘕
U+20619	𠘙
U+2061A	𠘚
U+20630	𠘰
U+20656	𠙖
U+206EC	𠛬
U+2070E	𠜎
U+20731	𠜱
U+2074F	𠝏
U+20779	𠝹
U+207C8	𠟈
U+20807	𠠇
U+2082C	𠠬
U+2083A	𠠺
U+20873	𠡳
U+208B9	𠢹
U+208D5	𠣕
U+2090E	𠤎
U+20916	𠤖
U+20923	𠤣
U+20954	𠥔
U+20979	𠥹
U+2097C	𠥼
U+20984	𠦄
U+2099D	𠦝
U+209E7	𠧧
U+20A11	𠨑
U+20A50	𠩐
U+20A64	𠩤
U+20A6F	𠩯
U+20A8A	𠪊
U+20AB4	𠪴
U+20AC2	𠫂
U+20ACD	𠫍
U+20AD3	𠫓
U+20B0D	𠬍
U+20B1D	𠬝
U+20B8F	𠮏
U+20B9F	𠮟
U+20BA8	𠮨
U+20BA9	𠮩
U+20BB7	𠮷
U+20BBF	𠮿
U+20BC6	𠯆
U+20BCB	𠯋
U+20BE2	𠯢
U+20BEB	𠯫
U+20BFB	𠯻
U+20BFF	𠯿
U+20C0B	𠰋
U+20C0D	𠰍
U+20C20	𠰠
U+20C34	𠰴
U+20C3A	𠰺
U+20C3B	𠰻
U+20C41	𠱁
U+20C42	𠱂
U+20C43	𠱃
U+20C53	𠱓
U+20C65	𠱥
U+20C77	𠱷
U+20C78	𠱸
U+20C7C	𠱼
U+20C8D	𠲍
U+20C96	𠲖
U+20C9C	𠲜
U+20CB5	𠲵
U+20CB8	𠲸
U+20CCF	𠳏
U+20CD3	𠳓
U+20CD4	𠳔
U+20CD5	𠳕
U+20CD6	𠳖
U+20CDD	𠳝
U+20CED	𠳭
U+20CFF	𠳿
U+20D15	𠴕
U+20D28	𠴨
U+20D31	𠴱
U+20D32	𠴲
U+20D45	𠵅
U+20D46	𠵆
U+20D47	𠵇
U+20D48	𠵈
U+20D49	𠵉
U+20D4C	𠵌
U+20D4D	𠵍
U+20D4E	𠵎
U+20D58	𠵘
U+20D6F	𠵯
U+20D71	𠵱
U+20D74	𠵴
U+20D7C	𠵼
U+20D7E	𠵾
U+20D7F	𠵿
U+20D96	𠶖
U+20D9C	𠶜
U+20DA7	𠶧
U+20DB2	𠶲
U+20DC8	𠷈
U+20DE1	𠷡
U+20E04	𠸄
U+20E09	𠸉
U+20E0A	𠸊
U+20E0D	𠸍
U+20E0E	𠸎
U+20E0F	𠸏
U+20E10	𠸐
U+20E11	𠸑
U+20E16	𠸖
U+20E1D	𠸝
U+20E4C	𠹌
U+20E64	𠹤
U+20E6D	𠹭
U+20E73	𠹳
U+20E75	𠹵
U+20E76	𠹶
U+20E77	𠹷
U+20E78	𠹸
U+20E79	𠹹
U+20E7A	𠹺
U+20E7B	𠹻
U+20E8C	𠺌
U+20E95	𠺕
U+20E96	𠺖
U+20E98	𠺘
U+20E9D	𠺝
U+20EA2	𠺢
U+20EAA	𠺪
U+20EAB	𠺫
U+20EAC	𠺬
U+20EB6	𠺶
U+20ED7	𠻗
U+20ED8	𠻘
U+20EDD	𠻝
U+20EF8	𠻸
U+20EF9	𠻹
U+20EFA	𠻺
U+20EFB	𠻻
U+20F1D	𠼝
U+20F26	𠼦
U+20F2D	𠼭
U+20F2E	𠼮
U+20F30	𠼰
U+20F31	𠼱
U+20F3B	𠼻
U+20F4C	𠽌
U+20F5F	𠽟
U+20F64	𠽤
U+20F8D	𠾍
U+20F90	𠾐
U+20FAD	𠾭
U+20FB4	𠾴
U+20FB5	𠾵
U+20FB6	𠾶
U+20FBC	𠾼
U+20FDF	𠿟
U+20FEA	𠿪
U+20FEB	𠿫
U+20FEC	𠿬
U+20FED	𠿭
U+21014	𡀔
U+2101D	𡀝
U+2101E	𡀞
U+2104F	𡁏
U+2105C	𡁜
U+2106F	𡁯
U+21075	𡁵
U+21076	𡁶
U+21077	𡁷
U+21078	𡁸
U+2107B	𡁻
U+21088	𡂈
U+21096	𡂖
U+2109D	𡂝
U+210B4	𡂴
U+210BF	𡂿
U+210C0	𡃀
U+210C1	𡃁
U+210C7	𡃇
U+210C8	𡃈
U+210C9	𡃉
U+210CF	𡃏
U+210D3	𡃓
U+210E4	𡃤
U+210F4	𡃴
U+210F5	𡃵
U+210F6	𡃶
U+2112F	𡄯
U+2113B	𡄻
U+2113D	𡄽
U+21145	𡅅
U+21148	𡅈
U+2114F	𡅏
U+21155	𡅕
U+21180	𡆀
U+21187	𡆇
U+211D9	𡇙
U+21201	𡈁
U+2123C	𡈼
U+2123D	𡈽
U+2124F	𡉏
U+21255	𡉕
U+21274	𡉴
U+2127B	𡉻
U+2127C	𡉼
U+2128D	𡊍
U+212A8	𡊨
U+212A9	𡊩
U+212B0	𡊰
U+212D7	𡋗
U+212E3	𡋣
U+212E4	𡋤
U+212FD	𡋽
U+212FE	𡋾
U+21302	𡌂
U+21303	𡌃
U+21304	𡌄
U+21305	𡌅
U+2131B	𡌛
U+21336	𡌶
U+2133A	𡌺
U+21344	𡍄
U+21375	𡍵
U+21376	𡍶
U+2138E	𡎎
U+21398	𡎘
U+2139C	𡎜
U+213C4	𡏄
U+213C5	𡏅
U+213C6	𡏆
U+213ED	𡏭
U+213FE	𡏾
U+21416	𡐖
U+21424	𡐤
U+2143F	𡐿
U+21452	𡑒
U+21454	𡑔
U+21455	𡑕
U+2146D	𡑭
U+2146E	𡑮
U+2148A	𡒊
U+21497	𡒗
U+214B6	𡒶
U+214E8	𡓨
U+214FD	𡓽
U+21577	𡕷
U+21582	𡖂
U+21594	𡖔
U+21596	𡖖
U+2160A	𡘊
U+21613	𡘓
U+21619	𡘙
U+2163E	𡘾
U+21647	𡙇
U+21661	𡙡
U+21692	𡚒
U+216B4	𡚴
U+216B8	𡚸
U+216BA	𡚺
U+216C0	𡛀
U+216C1	𡛁
U+216C2	𡛂
U+216D3	𡛓
U+216D5	𡛕
U+216DF	𡛟
U+216E6	𡛦
U+216E7	𡛧
U+216E8	𡛨
U+216FA	𡛺
U+216FB	𡛻
U+216FC	𡛼
U+216FE	𡛾
U+21706	𡜆
U+2170D	𡜍
U+21710	𡜐
U+21726	𡜦
U+21727	𡜧
U+2173A	𡜺
U+2173B	𡜻
U+2173C	𡜼
U+21742	𡝂
U+21757	𡝗
U+2176C	𡝬
U+2176D	𡝭
U+2176E	𡝮
U+2176F	𡝯
U+21770	𡝰
U+21771	𡝱
U+21773	𡝳
U+21774	𡝴
U+217AB	𡞫
U+217B0	𡞰
U+217B1	𡞱
U+217B2	𡞲
U+217B3	𡞳
U+217B4	𡞴
U+217B5	𡞵
U+217C3	𡟃
U+217C7	𡟇
U+217D9	𡟙
U+217DA	𡟚
U+217DB	𡟛
U+217DC	𡟜
U+217DF	𡟟
U+217EF	𡟯
U+217F5	𡟵
U+217F6	𡟶
U+217F8	𡟸
U+217F9	𡟹
U+217FA	𡟺
U+217FB	𡟻
U+217FC	𡟼
U+21820	𡠠
U+21828	𡠨
U+21829	𡠩
U+2182A	𡠪
U+2182D	𡠭
U+21839	𡠹
U+2183A	𡠺
U+2183B	𡠻
U+21840	𡡀
U+21845	𡡅
U+21852	𡡒
U+2185E	𡡞
U+21861	𡡡
U+21862	𡡢
U+21863	𡡣
U+21864	𡡤
U+21877	𡡷
U+2187B	𡡻
U+21883	𡢃
U+21884	𡢄
U+21885	𡢅
U+2189E	𡢞
U+2189F	𡢟
U+218A0	𡢠
U+218A1	𡢡
U+218A2	𡢢
U+218BD	𡢽
U+218BE	𡢾
U+218BF	𡢿
U+218D1	𡣑
U+218D6	𡣖
U+218D7	𡣗
U+218D8	𡣘
U+218D9	𡣙
U+218FA	𡣺
U+21903	𡤃
U+21904	𡤄
U+21905	𡤅
U+21910	𡤐
U+21911	𡤑
U+21912	𡤒
U+21915	𡤕
U+2191C	𡤜
U+21922	𡤢
U+21927	𡤧
U+2193B	𡤻
U+21944	𡥄
U+21958	𡥘
U+2196A	𡥪
U+2197C	𡥼
U+21980	𡦀
U+21983	𡦃
U+21988	𡦈
U+21996	𡦖
U+219C3	𡧃
U+219DB	𡧛
U+219F3	𡧳
U+21A1A	𡨚
U+21A2D	𡨭
U+21A34	𡨴
U+21A45	𡩅
U+21A4B	𡩋
U+21A63	𡩣
U+21B44	𡭄
U+21BC1	𡯁
U+21BC2	𡯂
U+21C2A	𡰪
U+21C56	𡱖
U+21C70	𡱰
U+21CA2	𡲢
U+21CA5	𡲥
U+21CAC	𡲬
U+21D2D	𡴭
U+21D45	𡵅
U+21D46	𡵆
U+21D53	𡵓
U+21D5E	𡵞
U+21D62	𡵢
U+21D78	𡵸
U+21D90	𡶐
U+21D92	𡶒
U+21D9C	𡶜
U+21DA1	𡶡
U+21DB6	𡶶
U+21DB7	𡶷
U+21DBA	𡶺
U+21DCA	𡷊
U+21DD1	𡷑
U+21DE0	𡷠
U+21DEB	𡷫
U+21DF9	𡷹
U+21E1C	𡸜
U+21E23	𡸣
U+21E33	𡸳
U+21E34	𡸴
U+21E37	𡸷
U+21E3D	𡸽
U+21E89	𡺉
U+21EA4	𡺤
U+21EA8	𡺨
U+21EC8	𡻈
U+21ED5	𡻕
U+21F0F	𡼏
U+21F15	𡼕
U+21F1E	𡼞
U+21F5C	𡽜
U+21F6A	𡽪
U+21F76	𡽶
U+21F9E	𡾞
U+21FA1	𡾡
U+21FE8	𡿨
U+21FFA	𡿺
U+22045	𢁅
U+22049	𢁉
U+2207E	𢁾
U+2209A	𢂚
U+220C7	𢃇
U+220FC	𢃼
U+2212A	𢄪
U+2215B	𢅛
U+22173	𢅳
U+2217A	𢅺
U+2217B	𢅻
U+221A1	𢆡
U+221C1	𢇁
U+221C3	𢇃
U+22208	𢈈
U+22218	𢈘
U+2227C	𢉼
U+2231E	𢌞
U+22321	𢌡
U+22325	𢌥
U+223AD	𢎭
U+223BD	𢎽
U+223D0	𢏐
U+223D7	𢏗
U+223FA	𢏺
U+22465	𢑥
U+22471	𢑱
U+2248B	𢒋
U+22491	𢒑
U+224B0	𢒰
U+224BC	𢒼
U+224C1	𢓁
U+224C9	𢓉
U+224CC	𢓌
U+224E1	𢓡
U+224ED	𢓭
U+22513	𢔓
U+2251B	𢔛
U+22530	𢔰
U+22554	𢕔
U+2258D	𢖍
U+225AF	𢖯
U+225BE	𢖾
U+22609	𢘉
U+2261B	𢘛
U+2261C	𢘜
U+2262B	𢘫
U+22668	𢙨
U+2267A	𢙺
U+22696	𢚖
U+22698	𢚘
U+226F3	𢛳
U+226F4	𢛴
U+226F5	𢛵
U+226F6	𢛶
U+22712	𢜒
U+22714	𢜔
U+2271B	𢜛
U+2271F	𢜟
U+2272A	𢜪
U+22775	𢝵
U+22781	𢞁
U+22796	𢞖
U+227B4	𢞴
U+227B5	𢞵
U+227CD	𢟍
U+22803	𢠃
U+2285B	𢡛
U+2285F	𢡟
U+22860	𢡠
U+22871	𢡱
U+228AB	𢢫
U+228AD	𢢭
U+228C1	𢣁
U+228F7	𢣷
U+22926	𢤦
U+22939	𢤹
U+2294F	𢥏
U+22967	𢥧
U+2296B	𢥫
U+22980	𢦀
U+22993	𢦓
U+22A66	𢩦
U+22AB8	𢪸
U+22ACF	𢫏
U+22AD5	𢫕
U+22AE6	𢫦
U+22AE8	𢫨
U+22B0E	𢬎
U+22B22	𢬢
U+22B3F	𢬿
U+22B43	𢭃
U+22B46	𢭆
U+22B4F	𢭏
