U+4E42	乂
U+4E5C	乜
U+5140	兀
U+5F0B	弋
U+5B51	孑
U+5B53	孓
U+5E7A	幺
U+4E93	亓
U+97E6	韦
U+5EFF	廿
U+4E0F	丏
U+5345	卅
U+4EC4	仄
U+5384	厄
U+4EC3	仃
U+4EC9	仉
U+4EC2	仂
U+516E	兮
U+5208	刈
U+723B	爻
U+535E	卞
U+95E9	闩
U+8BA3	讣
U+5C39	尹
U+592C	夬
U+723F	爿
U+6BCB	毋
U+9097	邗
U+909B	邛
U+827D	艽
U+827F	艿
U+672D	札
U+53F5	叵
U+531D	匝
U+4E15	丕
U+531C	匜
U+52A2	劢
U+535F	卟
U+53F1	叱
U+53FB	叻
U+4EE8	仨
U+4ED5	仕
U+4EDF	仟
U+4EE1	仡
U+4EEB	仫
U+4EDE	仞
U+536E	卮
U+6C10	氐
U+72B0	犰
U+520D	刍
U+909D	邝
U+9099	邙
U+6C40	汀
U+8BA6	讦
U+8BA7	讧
U+8BAA	讪
U+8BAB	讫
U+5C3B	尻
U+9621	阡
U+5C15	尕
U+5F01	弁
U+9A6D	驭
U+5321	匡
U+8012	耒
U+738E	玎
U+7391	玑
U+90A2	邢
U+5729	圩
U+572C	圬
U+572D	圭
U+6266	扦
U+572A	圪
U+5733	圳
U+5739	圹
U+626A	扪
U+572E	圮
U+572F	圯
U+828A	芊
U+828D	芍
U+8284	芄
U+82A8	芨
U+8291	芑
U+828E	芎
U+8297	芗
U+4E98	亘
U+538D	厍
U+593C	夼
U+620D	戍
U+5C25	尥
U+4E69	乩
U+65EF	旯
U+66F3	曳
U+5C8C	岌
U+5C7A	屺
U+51FC	凼
U+56E1	囡
U+9487	钇
U+7F36	缶
U+6C18	氘
U+6C16	氖
U+725D	牝
U+4F0E	伎
U+4F1B	伛
U+4F22	伢
U+4F64	佤
U+4EF5	仵
U+4F25	伥
U+4F27	伧
U+4F09	伉
U+4F2B	伫
U+56DF	囟
U+6C46	汆
U+5216	刖
U+5919	夙
U+65EE	旮
U+520E	刎
U+72B7	犷
U+72B8	犸
U+821B	舛
U+51EB	凫
U+90AC	邬
U+9967	饧
U+6C55	汕
U+6C54	汔
U+6C50	汐
U+6C72	汲
U+6C5C	汜
U+6C4A	汊
U+5FD6	忖
U+5FCF	忏
U+8BB4	讴
U+8BB5	讵
U+7941	祁
U+8BB7	讷
U+807F	聿
U+826E	艮
U+53BE	厾
U+9631	阱
U+962E	阮
U+962A	阪
U+4E1E	丞
U+5981	妁
U+725F	牟
U+7EA1	纡
U+7EA3	纣
U+7EA5	纥
U+7EA8	纨
U+7395	玕
U+7399	玙
U+629F	抟
U+6294	抔
U+573B	圻
U+5742	坂
U+574D	坍
U+575E	坞
U+6283	抃
U+6289	抉
U+39D0	㧐
U+82AB	芫
U+90AF	邯
U+82B8	芸
U+82BE	芾
U+82C8	苈
U+82E3	苣
U+82B7	芷
U+82AE	芮
U+82CB	苋
U+82BC	芼
U+82CC	苌
U+82C1	苁
U+82A9	芩
U+82AA	芪
U+82A1	芡
U+829F	芟
U+82C4	苄
U+82CE	苎
U+82E1	苡
U+674C	杌
U+6753	杓
U+675E	杞
U+6748	杈
U+5FD1	忑
U+5B5B	孛
U+90B4	邴
U+90B3	邳
U+77F6	矶
U+5941	奁
U+8C55	豕
U+5FD2	忒
U+6B24	欤
U+8F6B	轫
U+8FD3	迓
U+90B6	邶
U+5FD0	忐
U+5363	卣
U+90BA	邺
U+65F0	旰
U+544B	呋
U+5452	呒
U+5453	呓
U+5454	呔
U+5456	呖
U+5443	呃
U+65F8	旸
U+5421	吡
U+753A	町
U+866C	虬
U+5457	呗
U+543D	吽
U+5423	吣
U+5432	吲
U+5E0F	帏
U+5C90	岐
U+5C88	岈
U+5C98	岘
U+5C91	岑
U+5C9A	岚
U+5155	兕
U+56F5	囵
U+56EB	囫
U+948A	钊
U+948B	钋
U+948C	钌
U+8FD5	迕
U+6C19	氙
U+6C1A	氚
U+7264	牤
U+4F5E	佞
U+90B1	邱
U+6538	攸
U+4F5A	佚
U+4F5D	佝
U+4F5F	佟
U+4F57	佗
U+4F3D	伽
U+5F77	彷
U+4F58	佘
U+4F65	佥
U+5B5A	孚
U+8C78	豸
U+574C	坌
U+809F	肟
U+90B8	邸
U+5942	奂
U+52AC	劬
U+72C4	狄
U+72C1	狁
U+9E20	鸠
U+90B9	邹
U+9968	饨
U+9969	饩
U+996A	饪
U+996B	饫
U+996C	饬
U+4EA8	亨
U+5E91	庑
U+5E8B	庋
U+7594	疔
U+7596	疖
U+8093	肓
U+95F1	闱
U+95F3	闳
U+95F5	闵
U+7F8C	羌
U+7080	炀
U+6CA3	沣
U+6C85	沅
U+6C94	沔
U+6CA4	沤
U+6C8C	沌
U+6C8F	沏
U+6C9A	沚
U+6C69	汩
U+6C68	汨
U+6C82	沂
U+6C7E	汾
U+6CA8	沨
U+6C74	汴
U+6C76	汶
U+6C86	沆
U+6CA9	沩
U+6CD0	泐
U+6003	怃
U+6004	怄
U+5FE1	忡
U+5FE4	忤
U+5FFE	忾
U+6005	怅
U+5FFB	忻
U+5FEA	忪
U+6006	怆
U+5FED	忭
U+5FF8	忸
U+8BC2	诂
U+8BC3	诃
U+8BC5	诅
U+8BCB	诋
U+8BCC	诌
U+8BCF	诏
U+8BD2	诒
U+5B5C	孜
U+9647	陇
U+9640	陀
U+9642	陂
U+9649	陉
U+598D	妍
U+59A9	妩
U+59AA	妪
U+59A3	妣
U+598A	妊
U+5997	妗
U+59AB	妫
U+599E	妞
U+59D2	姒
U+59A4	妤
U+90B5	邵
U+52AD	劭
U+522D	刭
U+752C	甬
U+90B0	邰
U+7EAD	纭
U+7EB0	纰
U+7EB4	纴
U+7EB6	纶
U+7EBE	纾
U+73AE	玮
U+73A1	玡
U+73AD	玭
U+73A0	玠
U+73A2	玢
U+73A5	玥
U+73A6	玦
U+76C2	盂
U+5FDD	忝
U+5326	匦
U+5769	坩
U+62A8	抨
U+62E4	拤
U+576B	坫
U+62C8	拈
U+5786	垆
U+62BB	抻
U+52BC	劼
U+62C3	拃
U+62CA	拊
U+577C	坼
U+577B	坻
U+39DF	㧟
U+5768	坨
U+576D	坭
U+62BF	抿
U+5773	坳
U+8036	耶
U+82F7	苷
U+82EF	苯
U+82E4	苤
U+830F	茏
U+82EB	苫
U+82DC	苜
U+82F4	苴
U+82D2	苒
U+82D8	苘
U+830C	茌
U+82FB	苻
U+82D3	苓
U+831A	茚
U+8306	茆
