U+2E80	⺀
U+2E81	⺁
U+2E82	⺂
U+2E83	⺃
U+2E84	⺄
U+2E85	⺅
U+2E86	⺆
U+2E87	⺇
U+2E88	⺈
U+2E89	⺉
U+2E8A	⺊
U+2E8B	⺋
U+2E8C	⺌
U+2E8D	⺍
U+2E8E	⺎
U+2E8F	⺏
U+2E90	⺐
U+2E91	⺑
U+2E92	⺒
U+2E93	⺓
U+2E94	⺔
U+2E95	⺕
U+2E96	⺖
U+2E97	⺗
U+2E98	⺘
U+2E99	⺙
U+2E9B	⺛
U+2E9C	⺜
U+2E9D	⺝
U+2E9E	⺞
U+2E9F	⺟
U+2EA0	⺠
U+2EA1	⺡
U+2EA2	⺢
U+2EA3	⺣
U+2EA4	⺤
U+2EA5	⺥
U+2EA6	⺦
U+2EA7	⺧
U+2EA8	⺨
U+2EA9	⺩
U+2EAA	⺪
U+2EAB	⺫
U+2EAC	⺬
U+2EAD	⺭
U+2EAE	⺮
U+2EAF	⺯
U+2EB0	⺰
U+2EB1	⺱
U+2EB2	⺲
U+2EB3	⺳
U+2EB4	⺴
U+2EB5	⺵
U+2EB6	⺶
U+2EB7	⺷
U+2EB8	⺸
U+2EB9	⺹
U+2EBA	⺺
U+2EBB	⺻
U+2EBC	⺼
U+2EBD	⺽
U+2EBE	⺾
U+2EBF	⺿
U+2EC0	⻀
U+2EC1	⻁
U+2EC2	⻂
U+2EC3	⻃
U+2EC4	⻄
U+2EC5	⻅
U+2EC6	⻆
U+2EC7	⻇
U+2EC8	⻈
U+2EC9	⻉
U+2ECA	⻊
U+2ECB	⻋
U+2ECC	⻌
U+2ECD	⻍
U+2ECE	⻎
U+2ECF	⻏
U+2ED0	⻐
U+2ED1	⻑
U+2ED2	⻒
U+2ED3	⻓
U+2ED4	⻔
U+2ED5	⻕
U+2ED6	⻖
U+2ED7	⻗
U+2ED8	⻘
U+2ED9	⻙
U+2EDA	⻚
U+2EDB	⻛
U+2EDC	⻜
U+2EDD	⻝
U+2EDE	⻞
U+2EDF	⻟
U+2EE0	⻠
U+2EE1	⻡
U+2EE2	⻢
U+2EE3	⻣
U+2EE4	⻤
U+2EE5	⻥
U+2EE6	⻦
U+2EE7	⻧
U+2EE8	⻨
U+2EE9	⻩
U+2EEA	⻪
U+2EEB	⻫
U+2EEC	⻬
U+2EED	⻭
U+2EEE	⻮
U+2EEF	⻯
U+2EF0	⻰
U+2EF1	⻱
U+2EF2	⻲
U+2EF3	⻳
U+2F01	⼁
U+2F02	⼂
U+2F03	⼃
U+2F05	⼅
U+2F07	⼇
U+2F0C	⼌
U+2F0D	⼍
U+2F0E	⼎
U+2F10	⼐
U+2F13	⼓
U+2F15	⼕
U+2F16	⼖
U+2F19	⼙
U+2F1B	⼛
U+2F1E	⼞
U+2F21	⼡
U+2F22	⼢
U+2F27	⼧
U+2F2C	⼬
U+2F2E	⼮
U+2F35	⼵
U+2F36	⼶
U+2F39	⼹
U+2F3A	⼺
U+2F3E	⼾
U+2F41	⽁
U+2F66	⽦
U+2F67	⽧
U+2F68	⽨
U+2F71	⽱
U+2F77	⽷
U+2F8B	⾋
U+2F8C	⾌
U+2F91	⾑
U+2F92	⾒
U+2F99	⾙
U+2F9E	⾞
U+2FA1	⾡
U+2FA4	⾤
U+2FA7	⾧
U+2FA8	⾨
U+2FAD	⾭
U+2FB1	⾱
U+2FB4	⾴
U+2FB5	⾵
U+2FB6	⾶
U+2FBA	⾺
U+2FBD	⾽
U+2FBE	⾾
U+2FC2	⿂
U+2FC3	⿃
U+2FC4	⿄
U+2FC6	⿆
U+2FC8	⿈
U+2FCC	⿌
U+2FD1	⿑
U+2FD2	⿒
U+2FD3	⿓
U+2FD4	⿔
U+20087	𠂇
U+20089	𠂉
U+200CC	𠃌
U+3400	㐀
U+3401	㐁
U+3402	㐂
U+3403	㐃
U+3404	㐄
U+3405	㐅
U+3406	㐆
U+3407	㐇
U+3408	㐈
U+3409	㐉
U+340A	㐊
U+340B	㐋
U+340C	㐌
U+340D	㐍
U+340E	㐎
U+340F	㐏
U+3410	㐐
U+3411	㐑
U+3412	㐒
U+3413	㐓
U+3414	㐔
U+3415	㐕
U+3416	㐖
U+3417	㐗
U+3418	㐘
U+3419	㐙
U+341A	㐚
U+341B	㐛
U+341C	㐜
U+341D	㐝
U+341E	㐞
U+341F	㐟
U+3420	㐠
U+3421	㐡
U+3422	㐢
U+3423	㐣
U+3424	㐤
U+3425	㐥
U+3426	㐦
U+3427	㐧
U+3428	㐨
U+3429	㐩
U+342A	㐪
U+342B	㐫
U+342C	㐬
