U+4E8D	亍
U+5C22	尢
U+5F73	彳
U+536C	卬
U+6BB3	殳
U+20676	𠙶
U+6BCC	毌
U+9098	邘
U+620B	戋
U+5722	圢
U+6C15	氕
U+4F0B	伋
U+4EDD	仝
U+51AE	冮
U+6C3F	氿
U+6C48	汈
U+6C3E	氾
U+5FC9	忉
U+5B84	宄
U+2C8D9	𬣙
U+8BB1	讱
U+625E	扞
U+5732	圲
U+572B	圫
U+828F	芏
U+8283	芃
U+6733	朳
U+6738	朸
U+28678	𨙸
U+90A8	邨
U+5412	吒
U+5416	吖
U+5C7C	屼
U+5C7E	屾
U+8FBF	辿
U+9486	钆
U+4EF3	仳
U+4F23	伣
U+4F08	伈
U+767F	癿
U+752A	甪
U+90A0	邠
U+72B4	犴
U+51B1	冱
U+90A1	邡
U+95EB	闫
U+2C1D5	𬇕
U+6C4B	汋
U+4723	䜣
U+8BBB	讻
U+2C8DE	𬣞
U+5B56	孖
U+2C613	𬘓
U+7EA9	纩
U+7392	玒
U+7393	玓
U+7398	玘
U+739A	玚
U+522C	刬
U+2BB5F	𫭟
U+575C	坜
U+5749	坉
U+627D	扽
U+2BB62	𫭢
U+574B	坋
U+627A	扺
U+39D1	㧑
U+6BD0	毐
U+82B0	芰
U+82A3	芣
U+82CA	苊
U+82C9	苉
U+8298	芘
U+82B4	芴
U+82A0	芠
U+2B1ED	𫇭
U+82A4	芤
U+6755	杕
U+6759	杙
U+6744	杄
U+6767	杧
U+6769	杩
U+5C2A	尪
U+5C28	尨
U+8F6A	轪
U+2B404	𫐄
U+5752	坒
U+8288	芈
U+65F4	旴
U+65F5	旵
U+5459	呙
U+356E	㕮
U+5C8D	岍
U+2BD77	𫵷
U+5CA0	岠
U+5C9C	岜
U+5447	呇
U+518F	冏
U+89C3	觃
U+5C99	岙
U+4F3E	伾
U+3447	㑇
U+4F2D	伭
U+4F56	佖
U+4F32	伲
U+4F41	佁
U+98CF	飏
U+72C3	狃
U+95F6	闶
U+6C67	汧
U+6C6B	汫
U+23C98	𣲘
U+23C97	𣲗
U+6C84	沄
U+6C98	沘
U+2C1D9	𬇙
U+6C6D	汭
U+3CC7	㳇
U+6C87	沇
U+5FEE	忮
U+5FF3	忳
U+5FFA	忺
U+2C8E1	𬣡
U+7943	祃
U+8BC7	诇
U+90B2	邲
U+8BCE	诎
U+8BD0	诐
U+5C43	屃
U+2BE29	𫸩
U+5C8A	岊
U+963D	阽
U+48BA	䢺
U+963C	阼
U+59A7	妧
U+5998	妘
U+28695	𨚕
U+7EAE	纮
U+9A72	驲
U+2B61C	𫘜
U+7EBB	纻
U+2C618	𬘘
U+2B61D	𫘝
U+7EBC	纼
U+73A4	玤
U+739E	玞
U+73B1	玱
U+739F	玟
U+90BD	邽
U+90BF	邿
U+5765	坥
U+5770	坰
U+576C	坬
U+577D	坽
U+5F06	弆
U+8035	耵
U+48BC	䢼
U+26B5C	𦭜
U+830B	茋
U+82E7	苧
U+82FE	苾
U+82E0	苠
U+6785	枅
U+3B4E	㭎
U+6798	枘
U+678D	枍
U+77FC	矼
U+77FB	矻
U+533C	匼
U+2CA02	𬨂
U+2C029	𬀩
U+2C02A	𬀪
U+65FF	旿
U+6607	昇
U+6604	昄
U+6612	昒
U+6608	昈
U+5489	咉
U+5487	咇
U+548D	咍
U+5CB5	岵
U+5CBD	岽
U+5CA8	岨
U+5C9E	岞
U+5CC2	峂
U+37C3	㟃
U+56F7	囷
U+2CB29	𬬩
U+9490	钐
U+9494	钔
U+9496	钖
U+7265	牥
U+4F74	佴
U+5788	垈
U+4F81	侁
U+4FB9	侹
U+4F78	佸
U+4F7A	佺
U+96B9	隹
U+344A	㑊
U+4F82	侂
U+4F7D	佽
U+4F98	侘
U+90C8	郈
U+8220	舠
U+90D0	郐
U+90C3	郃
U+653D	攽
U+80AD	肭
U+80B8	肸
U+80B7	肷
U+72C9	狉
U+72DD	狝
U+9973	饳
U+5FDE	忞
U+65BC	於
U+708C	炌
U+7086	炆
U+6CD9	泙
U+6CBA	沺
U+6CC2	泂
U+6CDC	泜
U+6CC3	泃
U+6CC7	泇
U+600A	怊
U+5CC3	峃
U+7A78	穸
U+794B	祋
U+794A	祊
U+2B363	𫍣
U+2C8F3	𬣳
U+2CA7D	𬩽
U+9E24	鸤
U+5F22	弢
U+5F28	弨
U+9651	陑
U+2CBBF	𬮿
U+964E	陎
U+2CBC0	𬯀
U+537A	卺
U+4E78	乸
U+59AD	妭
U+59C8	姈
U+2BC1B	𫰛
U+8FF3	迳
U+53D5	叕
U+2CCF5	𬳵
U+9A75	驵
U+2CCF6	𬳶
U+4339	䌹
U+9A7A	驺
U+2B80A	𫠊
U+7ECB	绋
U+7ED0	绐
U+7809	砉
U+8014	耔
U+36C3	㛃
U+73B6	玶
U+73C7	珇
U+73C5	珅
U+2C35B	𬍛
U+73CB	珋
U+73B9	玹
U+73CC	珌
U+73BF	玿
U+97E8	韨
U+579A	垚
U+57AF	垯
U+5799	垙
U+57B2	垲
U+57CF	埏
U+578D	垍
U+8007	耇
U+9FCD	鿍
