uniFF10	U+FF10	０
uniFF11	U+FF11	１
uniFF12	U+FF12	２
uniFF13	U+FF13	３
uniFF14	U+FF14	４
uniFF15	U+FF15	５
uniFF16	U+FF16	６
uniFF17	U+FF17	７
uniFF18	U+FF18	８
uniFF19	U+FF19	９
uniFF21	U+FF21	Ａ
uniFF22	U+FF22	Ｂ
uniFF23	U+FF23	Ｃ
uniFF24	U+FF24	Ｄ
uniFF25	U+FF25	Ｅ
uniFF26	U+FF26	Ｆ
uniFF27	U+FF27	Ｇ
uniFF28	U+FF28	Ｈ
uniFF29	U+FF29	Ｉ
uniFF2A	U+FF2A	Ｊ
uniFF2B	U+FF2B	Ｋ
uniFF2C	U+FF2C	Ｌ
uniFF2D	U+FF2D	Ｍ
uniFF2E	U+FF2E	Ｎ
uniFF2F	U+FF2F	Ｏ
uniFF30	U+FF30	Ｐ
uniFF31	U+FF31	Ｑ
uniFF32	U+FF32	Ｒ
uniFF33	U+FF33	Ｓ
uniFF34	U+FF34	Ｔ
uniFF35	U+FF35	Ｕ
uniFF36	U+FF36	Ｖ
uniFF37	U+FF37	Ｗ
uniFF38	U+FF38	Ｘ
uniFF39	U+FF39	Ｙ
uniFF3A	U+FF3A	Ｚ
uniFF41	U+FF41	ａ
uniFF42	U+FF42	ｂ
uniFF43	U+FF43	ｃ
uniFF44	U+FF44	ｄ
uniFF45	U+FF45	ｅ
uniFF46	U+FF46	ｆ
uniFF47	U+FF47	ｇ
uniFF48	U+FF48	ｈ
uniFF49	U+FF49	ｉ
uniFF4A	U+FF4A	ｊ
uniFF4B	U+FF4B	ｋ
uniFF4C	U+FF4C	ｌ
uniFF4D	U+FF4D	ｍ
uniFF4E	U+FF4E	ｎ
uniFF4F	U+FF4F	ｏ
uniFF50	U+FF50	ｐ
uniFF51	U+FF51	ｑ
uniFF52	U+FF52	ｒ
uniFF53	U+FF53	ｓ
uniFF54	U+FF54	ｔ
uniFF55	U+FF55	ｕ
uniFF56	U+FF56	ｖ
uniFF57	U+FF57	ｗ
uniFF58	U+FF58	ｘ
uniFF59	U+FF59	ｙ
uniFF5A	U+FF5A	ｚ
