ellipsis	U+2026	…
uni2460	U+2460	①
uni2461	U+2461	②
uni2462	U+2462	③
uni2463	U+2463	④
uni2464	U+2464	⑤
uni2465	U+2465	⑥
uni2466	U+2466	⑦
uni2467	U+2467	⑧
uni2468	U+2468	⑨
uni2469	U+2469	⑩
uni246A	U+246A	⑪
uni246B	U+246B	⑫
uni246C	U+246C	⑬
uni246D	U+246D	⑭
uni246E	U+246E	⑮
uni246F	U+246F	⑯
uni2470	U+2470	⑰
uni2471	U+2471	⑱
uni2472	U+2472	⑲
uni2473	U+2473	⑳
uni2474	U+2474	⑴
uni2475	U+2475	⑵
uni2476	U+2476	⑶
uni2477	U+2477	⑷
uni2478	U+2478	⑸
uni2479	U+2479	⑹
uni247A	U+247A	⑺
uni247B	U+247B	⑻
uni247C	U+247C	⑼
uni247D	U+247D	⑽
uni247E	U+247E	⑾
uni247F	U+247F	⑿
uni2480	U+2480	⒀
uni2481	U+2481	⒁
uni2482	U+2482	⒂
uni2483	U+2483	⒃
uni2484	U+2484	⒄
uni2485	U+2485	⒅
uni2486	U+2486	⒆
uni2487	U+2487	⒇
uni2488	U+2488	⒈
uni2489	U+2489	⒉
uni248A	U+248A	⒊
uni248B	U+248B	⒋
uni248C	U+248C	⒌
uni248D	U+248D	⒍
uni248E	U+248E	⒎
uni248F	U+248F	⒏
uni2490	U+2490	⒐
uni2491	U+2491	⒑
uni2492	U+2492	⒒
uni2493	U+2493	⒓
uni2494	U+2494	⒔
uni2495	U+2495	⒕
uni2496	U+2496	⒖
uni2497	U+2497	⒗
uni2498	U+2498	⒘
uni2499	U+2499	⒙
uni249A	U+249A	⒚
uni249B	U+249B	⒛
uni249C	U+249C	⒜
uni249D	U+249D	⒝
uni249E	U+249E	⒞
uni249F	U+249F	⒟
uni24A0	U+24A0	⒠
uni24A1	U+24A1	⒡
uni24A2	U+24A2	⒢
uni24A3	U+24A3	⒣
uni24A4	U+24A4	⒤
uni24A5	U+24A5	⒥
uni24A6	U+24A6	⒦
uni24A7	U+24A7	⒧
uni24A8	U+24A8	⒨
uni24A9	U+24A9	⒩
uni24AA	U+24AA	⒪
uni24AB	U+24AB	⒫
uni24AC	U+24AC	⒬
uni24AD	U+24AD	⒭
uni24AE	U+24AE	⒮
uni24AF	U+24AF	⒯
uni24B0	U+24B0	⒰
uni24B1	U+24B1	⒱
uni24B2	U+24B2	⒲
uni24B3	U+24B3	⒳
uni24B4	U+24B4	⒴
uni24B5	U+24B5	⒵
uni24B6	U+24B6	Ⓐ
uni24B7	U+24B7	Ⓑ
uni24B8	U+24B8	Ⓒ
uni24B9	U+24B9	Ⓓ
uni24BA	U+24BA	Ⓔ
uni24BB	U+24BB	Ⓕ
uni24BC	U+24BC	Ⓖ
uni24BD	U+24BD	Ⓗ
uni24BE	U+24BE	Ⓘ
uni24BF	U+24BF	Ⓙ
uni24C0	U+24C0	Ⓚ
uni24C1	U+24C1	Ⓛ
uni24C2	U+24C2	Ⓜ
uni24C3	U+24C3	Ⓝ
uni24C4	U+24C4	Ⓞ
uni24C5	U+24C5	Ⓟ
uni24C6	U+24C6	Ⓠ
uni24C7	U+24C7	Ⓡ
uni24C8	U+24C8	Ⓢ
uni24C9	U+24C9	Ⓣ
uni24CA	U+24CA	Ⓤ
uni24CB	U+24CB	Ⓥ
uni24CC	U+24CC	Ⓦ
uni24CD	U+24CD	Ⓧ
uni24CE	U+24CE	Ⓨ
uni24CF	U+24CF	Ⓩ
uni24D0	U+24D0	ⓐ
uni24D1	U+24D1	ⓑ
uni24D2	U+24D2	ⓒ
uni24D3	U+24D3	ⓓ
uni24D4	U+24D4	ⓔ
uni24D5	U+24D5	ⓕ
uni24D6	U+24D6	ⓖ
uni24D7	U+24D7	ⓗ
uni24D8	U+24D8	ⓘ
uni24D9	U+24D9	ⓙ
uni24DA	U+24DA	ⓚ
uni24DB	U+24DB	ⓛ
uni24DC	U+24DC	ⓜ
uni24DD	U+24DD	ⓝ
uni24DE	U+24DE	ⓞ
uni24DF	U+24DF	ⓟ
uni24E0	U+24E0	ⓠ
uni24E1	U+24E1	ⓡ
uni24E2	U+24E2	ⓢ
uni24E3	U+24E3	ⓣ
uni24E4	U+24E4	ⓤ
uni24E5	U+24E5	ⓥ
uni24E6	U+24E6	ⓦ
uni24E7	U+24E7	ⓧ
uni24E8	U+24E8	ⓨ
uni24E9	U+24E9	ⓩ
uni24EA	U+24EA	⓪
uni24EB	U+24EB	⓫
uni24EC	U+24EC	⓬
uni24ED	U+24ED	⓭
uni24EE	U+24EE	⓮
uni24EF	U+24EF	⓯
uni24F0	U+24F0	⓰
uni24F1	U+24F1	⓱
uni24F2	U+24F2	⓲
uni24F3	U+24F3	⓳
uni24F4	U+24F4	⓴
uni24F5	U+24F5	⓵
uni24F6	U+24F6	⓶
uni24F7	U+24F7	⓷
uni24F8	U+24F8	⓸
uni24F9	U+24F9	⓹
uni24FA	U+24FA	⓺
uni24FB	U+24FB	⓻
uni24FC	U+24FC	⓼
uni24FD	U+24FD	⓽
uni24FE	U+24FE	⓾
uni24FF	U+24FF	⓿
filledbox	U+25A0	■
H22073	U+25A1	□
uni25A2	U+25A2	▢
uni25A3	U+25A3	▣
uni25A4	U+25A4	▤
uni25A5	U+25A5	▥
uni25A6	U+25A6	▦
uni25A7	U+25A7	▧
uni25A8	U+25A8	▨
uni25A9	U+25A9	▩
H18543	U+25AA	▪
H18551	U+25AB	▫
uni25B1	U+25B1	▱
triagup	U+25B2	▲
uni25B3	U+25B3	△
uni25B6	U+25B6	▶
uni25B7	U+25B7	▷
triagdn	U+25BC	▼
uni25BD	U+25BD	▽
uni25C0	U+25C0	◀
uni25C1	U+25C1	◁
uni25C6	U+25C6	◆
uni25C7	U+25C7	◇
uni25C8	U+25C8	◈
uni25C9	U+25C9	◉
lozenge	U+25CA	◊
circle	U+25CB	○
uni25CC	U+25CC	◌
uni25CE	U+25CE	◎
H18533	U+25CF	●
uni25D0	U+25D0	◐
uni25D1	U+25D1	◑
uni25D2	U+25D2	◒
uni25D3	U+25D3	◓
uni25E2	U+25E2	◢
uni25E3	U+25E3	◣
uni25E4	U+25E4	◤
uni25E5	U+25E5	◥
uni25EF	U+25EF	◯
uni302E	U+302E	〮
uni302F	U+302F	〯
glyph65155	U+302E	〮
glyph65156	U+302F	〯
uni3004	U+3004	〄
uniFE45	U+FE45	﹅
uniFE46	U+FE46	﹆
glyph63180	U+FF10	０
glyph63181	U+FF11	１
glyph63182	U+FF12	２
glyph63183	U+FF13	３
glyph63184	U+FF14	４
