uni3105	U+3105	ㄅ
uni3106	U+3106	ㄆ
uni3107	U+3107	ㄇ
uni3108	U+3108	ㄈ
uni3109	U+3109	ㄉ
uni310A	U+310A	ㄊ
uni310B	U+310B	ㄋ
uni310C	U+310C	ㄌ
uni310D	U+310D	ㄍ
uni310E	U+310E	ㄎ
uni310F	U+310F	ㄏ
uni3110	U+3110	ㄐ
uni3111	U+3111	ㄑ
uni3112	U+3112	ㄒ
uni3113	U+3113	ㄓ
uni3114	U+3114	ㄔ
uni3115	U+3115	ㄕ
uni3116	U+3116	ㄖ
uni3117	U+3117	ㄗ
uni3118	U+3118	ㄘ
uni3119	U+3119	ㄙ
uni311A	U+311A	ㄚ
uni311B	U+311B	ㄛ
uni311C	U+311C	ㄜ
uni311D	U+311D	ㄝ
uni311E	U+311E	ㄞ
uni311F	U+311F	ㄟ
uni3120	U+3120	ㄠ
uni3121	U+3121	ㄡ
uni3122	U+3122	ㄢ
uni3123	U+3123	ㄣ
uni3124	U+3124	ㄤ
uni3125	U+3125	ㄥ
uni3126	U+3126	ㄦ
uni3127	U+3127	ㄧ
uni3128	U+3128	ㄨ
uni3129	U+3129	ㄩ
uni312A	U+312A	ㄪ
uni312B	U+312B	ㄫ
uni312C	U+312C	ㄬ
uni312D	U+312D	ㄭ
uni312E	U+312E	ㄮ
uni312F	U+312F	ㄯ
uni31A0	U+31A0	ㆠ
uni31A1	U+31A1	ㆡ
uni31A2	U+31A2	ㆢ
uni31A3	U+31A3	ㆣ
uni31A4	U+31A4	ㆤ
uni31A5	U+31A5	ㆥ
uni31A6	U+31A6	ㆦ
uni31A7	U+31A7	ㆧ
uni31A8	U+31A8	ㆨ
uni31A9	U+31A9	ㆩ
uni31AA	U+31AA	ㆪ
uni31AB	U+31AB	ㆫ
uni31AC	U+31AC	ㆬ
uni31AD	U+31AD	ㆭ
uni31AE	U+31AE	ㆮ
uni31AF	U+31AF	ㆯ
uni31B0	U+31B0	ㆰ
uni31B1	U+31B1	ㆱ
uni31B2	U+31B2	ㆲ
uni31B3	U+31B3	ㆳ
uni31B4	U+31B4	ㆴ
uni31B5	U+31B5	ㆵ
uni31B6	U+31B6	ㆶ
uni31B7	U+31B7	ㆷ
uni31B8	U+31B8	ㆸ
uni31B9	U+31B9	ㆹ
uni31BA	U+31BA	ㆺ
uni31BB	U+31BB	ㆻ
glyph1683	U+3127	ㄧ
uni3041	U+3041	ぁ
uni3042	U+3042	あ
uni3043	U+3043	ぃ
uni3044	U+3044	い
uni3045	U+3045	ぅ
uni3046	U+3046	う
uni3047	U+3047	ぇ
uni3048	U+3048	え
uni3049	U+3049	ぉ
uni304A	U+304A	お
uni304B	U+304B	か
uni304C	U+304C	が
uni304D	U+304D	き
uni304E	U+304E	ぎ
uni304F	U+304F	く
uni3050	U+3050	ぐ
uni3051	U+3051	け
uni3052	U+3052	げ
uni3053	U+3053	こ
uni3054	U+3054	ご
uni3055	U+3055	さ
uni3056	U+3056	ざ
uni3057	U+3057	し
uni3058	U+3058	じ
uni3059	U+3059	す
uni305A	U+305A	ず
uni305B	U+305B	せ
uni305C	U+305C	ぜ
uni305D	U+305D	そ
uni305E	U+305E	ぞ
uni305F	U+305F	た
uni3060	U+3060	だ
uni3061	U+3061	ち
uni3062	U+3062	ぢ
uni3063	U+3063	っ
uni3064	U+3064	つ
uni3065	U+3065	づ
uni3066	U+3066	て
uni3067	U+3067	で
uni3068	U+3068	と
uni3069	U+3069	ど
uni306A	U+306A	な
uni306B	U+306B	に
uni306C	U+306C	ぬ
uni306D	U+306D	ね
uni306E	U+306E	の
uni306F	U+306F	は
uni3070	U+3070	ば
uni3071	U+3071	ぱ
uni3072	U+3072	ひ
uni3073	U+3073	び
uni3074	U+3074	ぴ
uni3075	U+3075	ふ
uni3076	U+3076	ぶ
uni3077	U+3077	ぷ
uni3078	U+3078	へ
uni3079	U+3079	べ
uni307A	U+307A	ぺ
uni307B	U+307B	ほ
uni307C	U+307C	ぼ
uni307D	U+307D	ぽ
uni307E	U+307E	ま
uni307F	U+307F	み
uni3080	U+3080	む
uni3081	U+3081	め
uni3082	U+3082	も
uni3083	U+3083	ゃ
uni3084	U+3084	や
uni3085	U+3085	ゅ
uni3086	U+3086	ゆ
uni3087	U+3087	ょ
uni3088	U+3088	よ
uni3089	U+3089	ら
uni308A	U+308A	り
uni308B	U+308B	る
uni308C	U+308C	れ
uni308D	U+308D	ろ
uni308E	U+308E	ゎ
uni308F	U+308F	わ
uni3090	U+3090	ゐ
uni3091	U+3091	ゑ
uni3092	U+3092	を
uni3093	U+3093	ん
uni3094	U+3094	ゔ
uni3095	U+3095	ゕ
uni3096	U+3096	ゖ
uni309D	U+309D	ゝ
uni309E	U+309E	ゞ
uni309F	U+309F	ゟ
uni30A1	U+30A1	ァ
uni30A2	U+30A2	ア
uni30A3	U+30A3	ィ
uni30A4	U+30A4	イ
uni30A5	U+30A5	ゥ
uni30A6	U+30A6	ウ
uni30A7	U+30A7	ェ
uni30A8	U+30A8	エ
uni30A9	U+30A9	ォ
uni30AA	U+30AA	オ
uni30AB	U+30AB	カ
uni30AC	U+30AC	ガ
uni30AD	U+30AD	キ
uni30AE	U+30AE	ギ
uni30AF	U+30AF	ク
uni30B0	U+30B0	グ
uni30B1	U+30B1	ケ
uni30B2	U+30B2	ゲ
uni30B3	U+30B3	コ
uni30B4	U+30B4	ゴ
uni30B5	U+30B5	サ
uni30B6	U+30B6	ザ
uni30B7	U+30B7	シ
uni30B8	U+30B8	ジ
uni30B9	U+30B9	ス
uni30BA	U+30BA	ズ
uni30BB	U+30BB	セ
uni30BC	U+30BC	ゼ
uni30BD	U+30BD	ソ
uni30BE	U+30BE	ゾ
uni30BF	U+30BF	タ
uni30C0	U+30C0	ダ
uni30C1	U+30C1	チ
uni30C2	U+30C2	ヂ
uni30C3	U+30C3	ッ
uni30C4	U+30C4	ツ
uni30C5	U+30C5	ヅ
uni30C6	U+30C6	テ
uni30C7	U+30C7	デ
uni30C8	U+30C8	ト
uni30C9	U+30C9	ド
uni30CA	U+30CA	ナ
uni30CB	U+30CB	ニ
uni30CC	U+30CC	ヌ
uni30CD	U+30CD	ネ
uni30CE	U+30CE	ノ
uni30CF	U+30CF	ハ
uni30D0	U+30D0	バ
uni30D1	U+30D1	パ
uni30D2	U+30D2	ヒ
uni30D3	U+30D3	ビ
uni30D4	U+30D4	ピ
uni30D5	U+30D5	フ
uni30D6	U+30D6	ブ
uni30D7	U+30D7	プ
uni30D8	U+30D8	ヘ
uni30D9	U+30D9	ベ
uni30DA	U+30DA	ペ
uni30DB	U+30DB	ホ
uni30DC	U+30DC	ボ
uni30DD	U+30DD	ポ
uni30DE	U+30DE	マ
uni30DF	U+30DF	ミ
uni30E0	U+30E0	ム
uni30E1	U+30E1	メ
uni30E2	U+30E2	モ
