U+02BB	uni02BB	ʻ
U+02C7	uni02C7	ˇ
U+02C9	uni02C9	ˉ
U+02CA	uni02CA	ˊ
U+02CB	uni02CB	ˋ
U+02D9	uni02D9	˙
U+02EA	uni02EA	˪
U+02EB	uni02EB	˫
uni2027	U+30FB	・
uni3099	U+3099	゙
uni309A	U+309A	゚
uni309B	U+309B	゛
uni309C	U+309C	゜
uni30A0	U+30A0	゠
glyph65243	U+309B	゛
glyph65244	U+309C	゜
glyph65248	U+30A0	゠
uni2003	U+3000	　
openbullet	U+25E6	◦
uni3001	U+3001	、
uni3002	U+3002	。
uni3003	U+3003	〃
angleleft	U+3008	〈
angleright	U+3009	〉
uni300A	U+300A	《
uni300B	U+300B	》
uni300C	U+300C	「
uni300D	U+300D	」
uni300E	U+300E	『
uni300F	U+300F	』
uni3010	U+3010	【
uni3011	U+3011	】
uni3014	U+3014	〔
uni3015	U+3015	〕
uni3016	U+3016	〖
uni3017	U+3017	〗
uni3018	U+3018	〘
uni3019	U+3019	〙
uni301A	U+301A	〚
uni301B	U+301B	〛
uni301D	U+301D	〝
uni301E	U+301E	〞
uni301F	U+301F	〟
uni302A	U+302A	〪
uni302B	U+302B	〫
uni302C	U+302C	〬
uni302D	U+302D	〭
uni3031	U+3031	〱
uni3032	U+3032	〲
uni3033	U+3033	〳
uni3034	U+3034	〴
uni3035	U+3035	〵
uni303F	U+303F	〿
uniFE10	U+FE10	︐
uniFE11	U+FE11	︑
uniFE12	U+FE12	︒
uniFE13	U+FE13	︓
uniFE14	U+FE14	︔
uniFE15	U+FE15	︕
uniFE16	U+FE16	︖
uniFE19	U+FE19	︙
uniFE30	U+FE30	︰
uniFE31	U+FE31	︱
uniFE32	U+FE32	︲
uniFE33	U+FE33	︳
uniFE34	U+FE34	︴
glyph65150	U+3018	〘
glyph65151	U+3019	〙
glyph65152	U+301A	〚
glyph65153	U+301B	〛
glyph65154	U+301C	〜
glyph65143	U+301D	〝
glyph65144	U+301E	〞
glyph65144	U+301F	〟
uniFF01	U+FF01	！
uniFF02	U+FF02	＂
uniFF07	U+FF07	＇
uniFF08	U+FF08	（
uniFF09	U+FF09	）
uniFF0C	U+FF0C	，
uniFF0E	U+FF0E	．
uniFF1A	U+FF1A	：
uniFF1B	U+FF1B	；
uniFF1F	U+FF1F	？
uniFF3B	U+FF3B	［
uniFF3D	U+FF3D	］
uniFF3E	U+FF3E	＾
uni2035	U+FF40	｀
uniFF5B	U+FF5B	｛
uniFF5C	U+FF5C	｜
uniFF5D	U+FF5D	｝
uniFF5F	U+FF5F	｟
uniFF60	U+FF60	｠
uniFF61	U+FF61	｡
uniFF62	U+FF62	｢
uniFF63	U+FF63	｣
uniFF64	U+FF64	､
uniFF65	U+FF65	･
uniFF66	U+FF66	ｦ
uniFF67	U+FF67	ｧ
uniFF68	U+FF68	ｨ
uniFF69	U+FF69	ｩ
uniFF6A	U+FF6A	ｪ
uniFF6B	U+FF6B	ｫ
uniFF6C	U+FF6C	ｬ
uniFF6D	U+FF6D	ｭ
uniFF6E	U+FF6E	ｮ
uniFF6F	U+FF6F	ｯ
uniFF70	U+FF70	ｰ
uniFF71	U+FF71	ｱ
uniFF72	U+FF72	ｲ
uniFF73	U+FF73	ｳ
uniFF74	U+FF74	ｴ
uniFF75	U+FF75	ｵ
uniFF76	U+FF76	ｶ
uniFF77	U+FF77	ｷ
uniFF78	U+FF78	ｸ
uniFF79	U+FF79	ｹ
uniFF7A	U+FF7A	ｺ
