uni3698	U+3698	㚘
uni3699	U+3699	㚙
uni369A	U+369A	㚚
uni369B	U+369B	㚛
uni369C	U+369C	㚜
uni369D	U+369D	㚝
uni369E	U+369E	㚞
uni369F	U+369F	㚟
uni36A0	U+36A0	㚠
uni36A1	U+36A1	㚡
uni36A2	U+36A2	㚢
uni36A3	U+36A3	㚣
uni36A4	U+36A4	㚤
uni36A5	U+36A5	㚥
uni36A6	U+36A6	㚦
uni36A7	U+36A7	㚧
uni36A8	U+36A8	㚨
uni36A9	U+36A9	㚩
uni36AA	U+36AA	㚪
uni36AB	U+36AB	㚫
uni36AC	U+36AC	㚬
uni36AD	U+36AD	㚭
uni36AE	U+36AE	㚮
uni36AF	U+36AF	㚯
uni36B0	U+36B0	㚰
uni36B1	U+36B1	㚱
uni36B2	U+36B2	㚲
uni36B3	U+36B3	㚳
uni36B4	U+36B4	㚴
uni36B5	U+36B5	㚵
uni36B6	U+36B6	㚶
uni36B7	U+36B7	㚷
uni36B8	U+36B8	㚸
uni36B9	U+36B9	㚹
uni36BA	U+36BA	㚺
uni36BB	U+36BB	㚻
uni36BC	U+36BC	㚼
uni36BD	U+36BD	㚽
uni36BE	U+36BE	㚾
uni36BF	U+36BF	㚿
uni36C0	U+36C0	㛀
uni36C1	U+36C1	㛁
uni36C2	U+36C2	㛂
uni36C3	U+36C3	㛃
uni36C4	U+36C4	㛄
uni36C5	U+36C5	㛅
uni36C6	U+36C6	㛆
uni36C7	U+36C7	㛇
uni36C8	U+36C8	㛈
uni36C9	U+36C9	㛉
uni36CA	U+36CA	㛊
uni36CB	U+36CB	㛋
uni36CC	U+36CC	㛌
uni36CD	U+36CD	㛍
uni36CE	U+36CE	㛎
uni36CF	U+36CF	㛏
uni36D0	U+36D0	㛐
uni36D1	U+36D1	㛑
uni36D2	U+36D2	㛒
uni36D3	U+36D3	㛓
uni36D4	U+36D4	㛔
uni36D5	U+36D5	㛕
uni36D6	U+36D6	㛖
uni36D7	U+36D7	㛗
uni36D8	U+36D8	㛘
uni36D9	U+36D9	㛙
uni36DA	U+36DA	㛚
uni36DB	U+36DB	㛛
uni36DC	U+36DC	㛜
uni36DD	U+36DD	㛝
uni36DE	U+36DE	㛞
uni36DF	U+36DF	㛟
uni36E0	U+36E0	㛠
uni36E1	U+36E1	㛡
uni36E2	U+36E2	㛢
uni36E3	U+36E3	㛣
uni36E4	U+36E4	㛤
uni36E5	U+36E5	㛥
uni36E6	U+36E6	㛦
uni36E7	U+36E7	㛧
uni36E8	U+36E8	㛨
uni36E9	U+36E9	㛩
uni36EA	U+36EA	㛪
uni36EB	U+36EB	㛫
uni36EC	U+36EC	㛬
uni36ED	U+36ED	㛭
uni36EE	U+36EE	㛮
uni36EF	U+36EF	㛯
uni36F0	U+36F0	㛰
uni36F1	U+36F1	㛱
uni36F2	U+36F2	㛲
uni36F3	U+36F3	㛳
uni36F4	U+36F4	㛴
uni36F5	U+36F5	㛵
uni36F6	U+36F6	㛶
uni36F7	U+36F7	㛷
uni36F8	U+36F8	㛸
uni36F9	U+36F9	㛹
uni36FA	U+36FA	㛺
uni36FB	U+36FB	㛻
uni36FC	U+36FC	㛼
uni36FD	U+36FD	㛽
uni36FE	U+36FE	㛾
uni36FF	U+36FF	㛿
uni3700	U+3700	㜀
uni3701	U+3701	㜁
uni3702	U+3702	㜂
uni3703	U+3703	㜃
uni3704	U+3704	㜄
uni3705	U+3705	㜅
uni3706	U+3706	㜆
uni3707	U+3707	㜇
uni3708	U+3708	㜈
uni3709	U+3709	㜉
uni370A	U+370A	㜊
uni370B	U+370B	㜋
uni370C	U+370C	㜌
uni370D	U+370D	㜍
uni370E	U+370E	㜎
uni370F	U+370F	㜏
uni3710	U+3710	㜐
uni3711	U+3711	㜑
uni3712	U+3712	㜒
uni3713	U+3713	㜓
uni3714	U+3714	㜔
uni3715	U+3715	㜕
uni3716	U+3716	㜖
uni3717	U+3717	㜗
uni3718	U+3718	㜘
uni3719	U+3719	㜙
uni371A	U+371A	㜚
uni371B	U+371B	㜛
uni371C	U+371C	㜜
uni371D	U+371D	㜝
uni371E	U+371E	㜞
uni371F	U+371F	㜟
uni3720	U+3720	㜠
uni3721	U+3721	㜡
uni3722	U+3722	㜢
uni3723	U+3723	㜣
uni3724	U+3724	㜤
uni3725	U+3725	㜥
uni3726	U+3726	㜦
uni3727	U+3727	㜧
uni3728	U+3728	㜨
uni3729	U+3729	㜩
uni372A	U+372A	㜪
uni372B	U+372B	㜫
uni372C	U+372C	㜬
uni372D	U+372D	㜭
uni372E	U+372E	㜮
uni372F	U+372F	㜯
uni3730	U+3730	㜰
uni3731	U+3731	㜱
uni3732	U+3732	㜲
uni3733	U+3733	㜳
uni3734	U+3734	㜴
uni3735	U+3735	㜵
uni3736	U+3736	㜶
uni3737	U+3737	㜷
uni3738	U+3738	㜸
uni3739	U+3739	㜹
uni373A	U+373A	㜺
uni373B	U+373B	㜻
uni373C	U+373C	㜼
uni373D	U+373D	㜽
uni373E	U+373E	㜾
uni373F	U+373F	㜿
uni3740	U+3740	㝀
uni3741	U+3741	㝁
uni3742	U+3742	㝂
uni3743	U+3743	㝃
uni3744	U+3744	㝄
uni3745	U+3745	㝅
uni3746	U+3746	㝆
uni3747	U+3747	㝇
uni3748	U+3748	㝈
uni3749	U+3749	㝉
uni374A	U+374A	㝊
uni374B	U+374B	㝋
uni374C	U+374C	㝌
uni374D	U+374D	㝍
uni374E	U+374E	㝎
uni374F	U+374F	㝏
uni3750	U+3750	㝐
uni3751	U+3751	㝑
uni3752	U+3752	㝒
uni3753	U+3753	㝓
uni3754	U+3754	㝔
uni3755	U+3755	㝕
uni3756	U+3756	㝖
uni3757	U+3757	㝗
uni3758	U+3758	㝘
uni3759	U+3759	㝙
uni375A	U+375A	㝚
uni375B	U+375B	㝛
uni375C	U+375C	㝜
uni375D	U+375D	㝝
uni375E	U+375E	㝞
uni375F	U+375F	㝟
uni3760	U+3760	㝠
uni3761	U+3761	㝡
uni3762	U+3762	㝢
uni3763	U+3763	㝣
uni3764	U+3764	㝤
uni3765	U+3765	㝥
uni3766	U+3766	㝦
uni3767	U+3767	㝧
uni3768	U+3768	㝨
uni3769	U+3769	㝩
uni376A	U+376A	㝪
uni376B	U+376B	㝫
uni376C	U+376C	㝬
uni376D	U+376D	㝭
uni376E	U+376E	㝮
uni376F	U+376F	㝯
uni3770	U+3770	㝰
uni3771	U+3771	㝱
uni3772	U+3772	㝲
uni3773	U+3773	㝳
uni3774	U+3774	㝴
uni3775	U+3775	㝵
uni3776	U+3776	㝶
uni3777	U+3777	㝷
uni3778	U+3778	㝸
uni3779	U+3779	㝹
uni377A	U+377A	㝺
uni377B	U+377B	㝻
uni377C	U+377C	㝼
uni377D	U+377D	㝽
uni377E	U+377E	㝾
uni377F	U+377F	㝿
uni3780	U+3780	㞀
uni3781	U+3781	㞁
uni3782	U+3782	㞂
uni3783	U+3783	㞃
uni3784	U+3784	㞄
uni3785	U+3785	㞅
uni3786	U+3786	㞆
uni3787	U+3787	㞇
uni3788	U+3788	㞈
uni3789	U+3789	㞉
uni378A	U+378A	㞊
uni378B	U+378B	㞋
uni378C	U+378C	㞌
uni378D	U+378D	㞍
uni378E	U+378E	㞎
uni378F	U+378F	㞏
uni3790	U+3790	㞐
uni3791	U+3791	㞑
uni3792	U+3792	㞒
uni3793	U+3793	㞓
uni3794	U+3794	㞔
uni3795	U+3795	㞕
uni3796	U+3796	㞖
uni3797	U+3797	㞗
uni3798	U+3798	㞘
uni3799	U+3799	㞙
uni379A	U+379A	㞚
uni379B	U+379B	㞛
uni379C	U+379C	㞜
uni379D	U+379D	㞝
uni379E	U+379E	㞞
uni379F	U+379F	㞟
uni37A0	U+37A0	㞠
uni37A1	U+37A1	㞡
uni37A2	U+37A2	㞢
uni37A3	U+37A3	㞣
uni37A4	U+37A4	㞤
uni37A5	U+37A5	㞥
uni37A6	U+37A6	㞦
uni37A7	U+37A7	㞧
uni37A8	U+37A8	㞨
uni37A9	U+37A9	㞩
uni37AA	U+37AA	㞪
uni37AB	U+37AB	㞫
uni37AC	U+37AC	㞬
uni37AD	U+37AD	㞭
uni37AE	U+37AE	㞮
uni37AF	U+37AF	㞯
uni37B0	U+37B0	㞰
uni37B1	U+37B1	㞱
uni37B2	U+37B2	㞲
uni37B3	U+37B3	㞳
uni37B4	U+37B4	㞴
uni37B5	U+37B5	㞵
uni37B6	U+37B6	㞶
uni37B7	U+37B7	㞷
uni37B8	U+37B8	㞸
uni37B9	U+37B9	㞹
uni37BA	U+37BA	㞺
uni37BB	U+37BB	㞻
uni37BC	U+37BC	㞼
uni37BD	U+37BD	㞽
uni37BE	U+37BE	㞾
uni37BF	U+37BF	㞿
uni37C0	U+37C0	㟀
uni37C1	U+37C1	㟁
uni37C2	U+37C2	㟂
uni37C3	U+37C3	㟃
uni37C4	U+37C4	㟄
uni37C5	U+37C5	㟅
uni37C6	U+37C6	㟆
uni37C7	U+37C7	㟇
uni37C8	U+37C8	㟈
uni37C9	U+37C9	㟉
uni37CA	U+37CA	㟊
uni37CB	U+37CB	㟋
uni37CC	U+37CC	㟌
uni37CD	U+37CD	㟍
uni37CE	U+37CE	㟎
uni37CF	U+37CF	㟏
uni37D0	U+37D0	㟐
uni37D1	U+37D1	㟑
uni37D2	U+37D2	㟒
uni37D3	U+37D3	㟓
uni37D4	U+37D4	㟔
uni37D5	U+37D5	㟕
uni37D6	U+37D6	㟖
uni37D7	U+37D7	㟗
uni37D8	U+37D8	㟘
uni37D9	U+37D9	㟙
uni37DA	U+37DA	㟚
uni37DB	U+37DB	㟛
uni37DC	U+37DC	㟜
uni37DD	U+37DD	㟝
uni37DE	U+37DE	㟞
uni37DF	U+37DF	㟟
uni37E0	U+37E0	㟠
uni37E1	U+37E1	㟡
uni37E2	U+37E2	㟢
uni37E3	U+37E3	㟣
uni37E4	U+37E4	㟤
uni37E5	U+37E5	㟥
uni37E6	U+37E6	㟦
uni37E7	U+37E7	㟧
uni37E8	U+37E8	㟨
uni37E9	U+37E9	㟩
uni37EA	U+37EA	㟪
uni37EB	U+37EB	㟫
uni37EC	U+37EC	㟬
uni37ED	U+37ED	㟭
uni37EE	U+37EE	㟮
uni37EF	U+37EF	㟯
uni37F0	U+37F0	㟰
uni37F1	U+37F1	㟱
uni37F2	U+37F2	㟲
uni37F3	U+37F3	㟳
uni37F4	U+37F4	㟴
uni37F5	U+37F5	㟵
uni37F6	U+37F6	㟶
uni37F7	U+37F7	㟷
uni37F8	U+37F8	㟸
uni37F9	U+37F9	㟹
uni37FA	U+37FA	㟺
uni37FB	U+37FB	㟻
uni37FC	U+37FC	㟼
uni37FD	U+37FD	㟽
uni37FE	U+37FE	㟾
uni37FF	U+37FF	㟿
uni3800	U+3800	㠀
uni3801	U+3801	㠁
uni3802	U+3802	㠂
uni3803	U+3803	㠃
uni3804	U+3804	㠄
uni3805	U+3805	㠅
uni3806	U+3806	㠆
uni3807	U+3807	㠇
uni3808	U+3808	㠈
uni3809	U+3809	㠉
uni380A	U+380A	㠊
uni380B	U+380B	㠋
uni380C	U+380C	㠌
uni380D	U+380D	㠍
uni380E	U+380E	㠎
uni380F	U+380F	㠏
uni3810	U+3810	㠐
uni3811	U+3811	㠑
uni3812	U+3812	㠒
uni3813	U+3813	㠓
uni3814	U+3814	㠔
uni3815	U+3815	㠕
uni3816	U+3816	㠖
uni3817	U+3817	㠗
uni3818	U+3818	㠘
uni3819	U+3819	㠙
uni381A	U+381A	㠚
uni381B	U+381B	㠛
uni381C	U+381C	㠜
uni381D	U+381D	㠝
uni381E	U+381E	㠞
uni381F	U+381F	㠟
uni3820	U+3820	㠠
uni3821	U+3821	㠡
uni3822	U+3822	㠢
uni3823	U+3823	㠣
uni3824	U+3824	㠤
uni3825	U+3825	㠥
uni3826	U+3826	㠦
uni3827	U+3827	㠧
uni3828	U+3828	㠨
uni3829	U+3829	㠩
uni382A	U+382A	㠪
uni382B	U+382B	㠫
uni382C	U+382C	㠬
uni382D	U+382D	㠭
uni382E	U+382E	㠮
uni382F	U+382F	㠯
uni3830	U+3830	㠰
uni3831	U+3831	㠱
uni3832	U+3832	㠲
uni3833	U+3833	㠳
uni3834	U+3834	㠴
uni3835	U+3835	㠵
uni3836	U+3836	㠶
uni3837	U+3837	㠷
uni3838	U+3838	㠸
uni3839	U+3839	㠹
uni383A	U+383A	㠺
uni383B	U+383B	㠻
uni383C	U+383C	㠼
uni383D	U+383D	㠽
uni383E	U+383E	㠾
uni383F	U+383F	㠿
uni3840	U+3840	㡀
uni3841	U+3841	㡁
uni3842	U+3842	㡂
uni3843	U+3843	㡃
uni3844	U+3844	㡄
uni3845	U+3845	㡅
uni3846	U+3846	㡆
uni3847	U+3847	㡇
uni3848	U+3848	㡈
uni3849	U+3849	㡉
uni384A	U+384A	㡊
uni384B	U+384B	㡋
uni384C	U+384C	㡌
uni384D	U+384D	㡍
uni384E	U+384E	㡎
uni384F	U+384F	㡏
uni3850	U+3850	㡐
uni3851	U+3851	㡑
uni3852	U+3852	㡒
uni3853	U+3853	㡓
uni3854	U+3854	㡔
uni3855	U+3855	㡕
uni3856	U+3856	㡖
uni3857	U+3857	㡗
uni3858	U+3858	㡘
uni3859	U+3859	㡙
uni385A	U+385A	㡚
uni385B	U+385B	㡛
uni385C	U+385C	㡜
uni385D	U+385D	㡝
uni385E	U+385E	㡞
uni385F	U+385F	㡟
uni3860	U+3860	㡠
uni3861	U+3861	㡡
uni3862	U+3862	㡢
uni3863	U+3863	㡣
uni3864	U+3864	㡤
uni3865	U+3865	㡥
uni3866	U+3866	㡦
uni3867	U+3867	㡧
uni3868	U+3868	㡨
uni3869	U+3869	㡩
uni386A	U+386A	㡪
uni386B	U+386B	㡫
uni386C	U+386C	㡬
uni386D	U+386D	㡭
uni386E	U+386E	㡮
uni386F	U+386F	㡯
uni3870	U+3870	㡰
uni3871	U+3871	㡱
uni3872	U+3872	㡲
uni3873	U+3873	㡳
uni3874	U+3874	㡴
uni3875	U+3875	㡵
uni3876	U+3876	㡶
uni3877	U+3877	㡷
uni3878	U+3878	㡸
uni3879	U+3879	㡹
uni387A	U+387A	㡺
uni387B	U+387B	㡻
uni387C	U+387C	㡼
uni387D	U+387D	㡽
uni387E	U+387E	㡾
uni387F	U+387F	㡿
uni3880	U+3880	㢀
uni3881	U+3881	㢁
uni3882	U+3882	㢂
uni3883	U+3883	㢃
uni3884	U+3884	㢄
uni3885	U+3885	㢅
uni3886	U+3886	㢆
uni3887	U+3887	㢇
uni3888	U+3888	㢈
uni3889	U+3889	㢉
uni388A	U+388A	㢊
uni388B	U+388B	㢋
uni388C	U+388C	㢌
uni388D	U+388D	㢍
uni388E	U+388E	㢎
uni388F	U+388F	㢏
uni3890	U+3890	㢐
uni3891	U+3891	㢑
uni3892	U+3892	㢒
uni3893	U+3893	㢓
uni3894	U+3894	㢔
uni3895	U+3895	㢕
uni3896	U+3896	㢖
uni3897	U+3897	㢗
uni3898	U+3898	㢘
uni3899	U+3899	㢙
uni389A	U+389A	㢚
uni389B	U+389B	㢛
uni389C	U+389C	㢜
uni389D	U+389D	㢝
uni389E	U+389E	㢞
uni389F	U+389F	㢟
uni38A0	U+38A0	㢠
uni38A1	U+38A1	㢡
uni38A2	U+38A2	㢢
uni38A3	U+38A3	㢣
uni38A4	U+38A4	㢤
uni38A5	U+38A5	㢥
uni38A6	U+38A6	㢦
uni38A7	U+38A7	㢧
uni38A8	U+38A8	㢨
uni38A9	U+38A9	㢩
uni38AA	U+38AA	㢪
uni38AB	U+38AB	㢫
uni38AC	U+38AC	㢬
uni38AD	U+38AD	㢭
uni38AE	U+38AE	㢮
uni38AF	U+38AF	㢯
uni38B0	U+38B0	㢰
uni38B1	U+38B1	㢱
uni38B2	U+38B2	㢲
uni38B3	U+38B3	㢳
uni38B4	U+38B4	㢴
uni38B5	U+38B5	㢵
uni38B6	U+38B6	㢶
uni38B7	U+38B7	㢷
uni38B8	U+38B8	㢸
uni38B9	U+38B9	㢹
uni38BA	U+38BA	㢺
uni38BB	U+38BB	㢻
uni38BC	U+38BC	㢼
uni38BD	U+38BD	㢽
uni38BE	U+38BE	㢾
uni38BF	U+38BF	㢿
uni38C0	U+38C0	㣀
uni38C1	U+38C1	㣁
uni38C2	U+38C2	㣂
uni38C3	U+38C3	㣃
uni38C4	U+38C4	㣄
uni38C5	U+38C5	㣅
uni38C6	U+38C6	㣆
uni38C7	U+38C7	㣇
uni38C8	U+38C8	㣈
uni38C9	U+38C9	㣉
uni38CA	U+38CA	㣊
uni38CB	U+38CB	㣋
uni38CC	U+38CC	㣌
uni38CD	U+38CD	㣍
uni38CE	U+38CE	㣎
uni38CF	U+38CF	㣏
uni38D0	U+38D0	㣐
uni38D1	U+38D1	㣑
uni38D2	U+38D2	㣒
uni38D3	U+38D3	㣓
uni38D4	U+38D4	㣔
uni38D5	U+38D5	㣕
uni38D6	U+38D6	㣖
uni38D7	U+38D7	㣗
uni38D8	U+38D8	㣘
uni38D9	U+38D9	㣙
uni38DA	U+38DA	㣚
uni38DB	U+38DB	㣛
uni38DC	U+38DC	㣜
uni38DD	U+38DD	㣝
uni38DE	U+38DE	㣞
uni38DF	U+38DF	㣟
uni38E0	U+38E0	㣠
uni38E1	U+38E1	㣡
uni38E2	U+38E2	㣢
uni38E3	U+38E3	㣣
uni38E4	U+38E4	㣤
uni38E5	U+38E5	㣥
uni38E6	U+38E6	㣦
uni38E7	U+38E7	㣧
uni38E8	U+38E8	㣨
uni38E9	U+38E9	㣩
uni38EA	U+38EA	㣪
uni38EB	U+38EB	㣫
uni38EC	U+38EC	㣬
uni38ED	U+38ED	㣭
uni38EE	U+38EE	㣮
uni38EF	U+38EF	㣯
uni38F0	U+38F0	㣰
uni38F1	U+38F1	㣱
uni38F2	U+38F2	㣲
uni38F3	U+38F3	㣳
uni38F4	U+38F4	㣴
uni38F5	U+38F5	㣵
uni38F6	U+38F6	㣶
uni38F7	U+38F7	㣷
uni38F8	U+38F8	㣸
uni38F9	U+38F9	㣹
uni38FA	U+38FA	㣺
uni38FB	U+38FB	㣻
uni38FC	U+38FC	㣼
uni38FD	U+38FD	㣽
uni38FE	U+38FE	㣾
uni38FF	U+38FF	㣿
