uni4EF3	U+4EF3	仳
uni4EF4	U+4EF4	仴
uni4EF5	U+4EF5	仵
uni4EF6	U+4EF6	件
uni4EF7	U+4EF7	价
uni4EF8	U+4EF8	仸
uni4EF9	U+4EF9	仹
uni4EFA	U+4EFA	仺
uni4EFB	U+4EFB	任
uni4EFC	U+4EFC	仼
uni4EFD	U+4EFD	份
uni4EFE	U+4EFE	仾
uni4EFF	U+4EFF	仿
uni4F00	U+4F00	伀
uni4F01	U+4F01	企
uni4F02	U+4F02	伂
uni4F03	U+4F03	伃
uni4F04	U+4F04	伄
uni4F05	U+4F05	伅
uni4F06	U+4F06	伆
uni4F07	U+4F07	伇
uni4F08	U+4F08	伈
uni4F09	U+4F09	伉
uni4F0A	U+4F0A	伊
uni4F0B	U+4F0B	伋
uni4F0C	U+4F0C	伌
uni4F0D	U+4F0D	伍
uni4F0E	U+4F0E	伎
uni4F0F	U+4F0F	伏
uni4F10	U+4F10	伐
uni4F11	U+4F11	休
uni4F12	U+4F12	伒
uni4F13	U+4F13	伓
uni4F14	U+4F14	伔
uni4F15	U+4F15	伕
uni4F16	U+4F16	伖
uni4F17	U+4F17	众
uni4F18	U+4F18	优
uni4F19	U+4F19	伙
uni4F1A	U+4F1A	会
uni4F1B	U+4F1B	伛
uni4F1C	U+4F1C	伜
uni4F1D	U+4F1D	伝
uni4F1E	U+4F1E	伞
uni4F1F	U+4F1F	伟
uni4F20	U+4F20	传
uni4F21	U+4F21	伡
uni4F22	U+4F22	伢
uni4F23	U+4F23	伣
uni4F24	U+4F24	伤
uni4F25	U+4F25	伥
uni4F26	U+4F26	伦
uni4F27	U+4F27	伧
uni4F28	U+4F28	伨
uni4F29	U+4F29	伩
uni4F2A	U+4F2A	伪
uni4F2B	U+4F2B	伫
uni4F2C	U+4F2C	伬
uni4F2D	U+4F2D	伭
uni4F2E	U+4F2E	伮
uni4F2F	U+4F2F	伯
uni4F30	U+4F30	估
uni4F31	U+4F31	伱
uni4F32	U+4F32	伲
uni4F33	U+4F33	伳
uni4F34	U+4F34	伴
uni4F35	U+4F35	伵
uni4F36	U+4F36	伶
uni4F37	U+4F37	伷
uni4F38	U+4F38	伸
uni4F39	U+4F39	伹
uni4F3A	U+4F3A	伺
uni4F3B	U+4F3B	伻
uni4F3C	U+4F3C	似
uni4F3D	U+4F3D	伽
uni4F3E	U+4F3E	伾
uni4F3F	U+4F3F	伿
uni4F40	U+4F40	佀
uni4F41	U+4F41	佁
uni4F42	U+4F42	佂
uni4F43	U+4F43	佃
uni4F44	U+4F44	佄
uni4F45	U+4F45	佅
uni4F46	U+4F46	但
uni4F47	U+4F47	佇
uni4F48	U+4F48	佈
uni4F49	U+4F49	佉
uni4F4A	U+4F4A	佊
uni4F4B	U+4F4B	佋
uni4F4C	U+4F4C	佌
uni4F4D	U+4F4D	位
uni4F4E	U+4F4E	低
uni4F4F	U+4F4F	住
uni4F50	U+4F50	佐
uni4F51	U+4F51	佑
uni4F52	U+4F52	佒
uni4F53	U+4F53	体
uni4F54	U+4F54	佔
uni4F55	U+4F55	何
uni4F56	U+4F56	佖
uni4F57	U+4F57	佗
uni4F58	U+4F58	佘
uni4F59	U+4F59	余
uni4F5A	U+4F5A	佚
uni4F5B	U+4F5B	佛
uni4F5C	U+4F5C	作
uni4F5D	U+4F5D	佝
uni4F5E	U+4F5E	佞
uni4F5F	U+4F5F	佟
uni4F60	U+4F60	你
uni4F61	U+4F61	佡
uni4F62	U+4F62	佢
uni4F63	U+4F63	佣
uni4F64	U+4F64	佤
uni4F65	U+4F65	佥
uni4F66	U+4F66	佦
uni4F67	U+4F67	佧
uni4F68	U+4F68	佨
uni4F69	U+4F69	佩
uni4F6A	U+4F6A	佪
uni4F6B	U+4F6B	佫
uni4F6C	U+4F6C	佬
uni4F6D	U+4F6D	佭
uni4F6E	U+4F6E	佮
uni4F6F	U+4F6F	佯
uni4F70	U+4F70	佰
uni4F71	U+4F71	佱
uni4F72	U+4F72	佲
uni4F73	U+4F73	佳
uni4F74	U+4F74	佴
uni4F75	U+4F75	併
uni4F76	U+4F76	佶
uni4F77	U+4F77	佷
uni4F78	U+4F78	佸
uni4F79	U+4F79	佹
uni4F7A	U+4F7A	佺
uni4F7B	U+4F7B	佻
uni4F7C	U+4F7C	佼
uni4F7D	U+4F7D	佽
uni4F7E	U+4F7E	佾
uni4F7F	U+4F7F	使
uni4F80	U+4F80	侀
uni4F81	U+4F81	侁
uni4F82	U+4F82	侂
uni4F83	U+4F83	侃
uni4F84	U+4F84	侄
uni4F85	U+4F85	侅
uni4F86	U+4F86	來
uni4F87	U+4F87	侇
uni4F88	U+4F88	侈
uni4F89	U+4F89	侉
uni4F8A	U+4F8A	侊
uni4F8B	U+4F8B	例
uni4F8C	U+4F8C	侌
uni4F8D	U+4F8D	侍
uni4F8E	U+4F8E	侎
uni4F8F	U+4F8F	侏
uni4F90	U+4F90	侐
uni4F91	U+4F91	侑
uni4F92	U+4F92	侒
uni4F93	U+4F93	侓
uni4F94	U+4F94	侔
uni4F95	U+4F95	侕
uni4F96	U+4F96	侖
uni4F97	U+4F97	侗
uni4F98	U+4F98	侘
uni4F99	U+4F99	侙
uni4F9A	U+4F9A	侚
uni4F9B	U+4F9B	供
uni4F9C	U+4F9C	侜
uni4F9D	U+4F9D	依
uni4F9E	U+4F9E	侞
uni4F9F	U+4F9F	侟
uni4FA0	U+4FA0	侠
uni4FA1	U+4FA1	価
uni4FA2	U+4FA2	侢
