uni5300	U+5300	匀
uni5301	U+5301	匁
uni5302	U+5302	匂
uni5303	U+5303	匃
uni5304	U+5304	匄
uni5305	U+5305	包
uni5306	U+5306	匆
uni5307	U+5307	匇
uni5308	U+5308	匈
uni5309	U+5309	匉
uni530A	U+530A	匊
uni530B	U+530B	匋
uni530C	U+530C	匌
uni530D	U+530D	匍
uni530E	U+530E	匎
uni530F	U+530F	匏
uni5310	U+5310	匐
uni5311	U+5311	匑
uni5312	U+5312	匒
uni5313	U+5313	匓
uni5314	U+5314	匔
uni5316	U+5316	化
uni5317	U+5317	北
uni5318	U+5318	匘
uni5319	U+5319	匙
uni531B	U+531B	匛
uni531C	U+531C	匜
uni531D	U+531D	匝
uni531E	U+531E	匞
uni531F	U+531F	匟
uni5320	U+5320	匠
uni5321	U+5321	匡
uni5322	U+5322	匢
uni5323	U+5323	匣
uni5324	U+5324	匤
uni5325	U+5325	匥
uni5326	U+5326	匦
uni5327	U+5327	匧
uni5328	U+5328	匨
uni5329	U+5329	匩
uni532A	U+532A	匪
uni532B	U+532B	匫
uni532C	U+532C	匬
uni532D	U+532D	匭
uni532E	U+532E	匮
uni532F	U+532F	匯
uni5330	U+5330	匰
uni5331	U+5331	匱
uni5332	U+5332	匲
uni5333	U+5333	匳
uni5334	U+5334	匴
uni5335	U+5335	匵
uni5336	U+5336	匶
uni5337	U+5337	匷
uni5339	U+5339	匹
uni533A	U+533A	区
uni533B	U+533B	医
uni533C	U+533C	匼
uni533D	U+533D	匽
uni533E	U+533E	匾
uni533F	U+533F	匿
uni5340	U+5340	區
uni5342	U+5342	卂
uni5343	U+5343	千
uni5344	U+5344	卄
uni5345	U+5345	卅
uni5346	U+5346	卆
uni5347	U+5347	升
uni5348	U+5348	午
uni5349	U+5349	卉
uni534A	U+534A	半
uni534B	U+534B	卋
uni534C	U+534C	卌
uni534D	U+534D	卍
uni534E	U+534E	华
uni534F	U+534F	协
uni5350	U+5350	卐
uni5351	U+5351	卑
uni5352	U+5352	卒
uni5353	U+5353	卓
uni5354	U+5354	協
uni5355	U+5355	单
uni5356	U+5356	卖
uni5357	U+5357	南
uni5358	U+5358	単
uni5359	U+5359	卙
uni535A	U+535A	博
uni535B	U+535B	卛
uni535D	U+535D	卝
uni535E	U+535E	卞
uni535F	U+535F	卟
uni5360	U+5360	占
uni5361	U+5361	卡
uni5362	U+5362	卢
uni5363	U+5363	卣
uni5365	U+5365	卥
uni5366	U+5366	卦
uni5367	U+5367	卧
uni5368	U+5368	卨
uni536A	U+536A	卪
uni536B	U+536B	卫
uni536C	U+536C	卬
uni536D	U+536D	卭
uni536E	U+536E	卮
uni536F	U+536F	卯
uni5370	U+5370	印
uni5371	U+5371	危
uni5372	U+5372	卲
uni5373	U+5373	即
uni5374	U+5374	却
uni5375	U+5375	卵
uni5376	U+5376	卶
uni5377	U+5377	卷
uni5378	U+5378	卸
uni5379	U+5379	卹
uni537A	U+537A	卺
uni537B	U+537B	卻
uni537C	U+537C	卼
uni537D	U+537D	卽
uni537E	U+537E	卾
uni537F	U+537F	卿
uni5380	U+5380	厀
uni5381	U+5381	厁
uni5383	U+5383	厃
uni5384	U+5384	厄
uni5385	U+5385	厅
uni5386	U+5386	历
uni5387	U+5387	厇
uni5388	U+5388	厈
uni5389	U+5389	厉
uni538A	U+538A	厊
uni538B	U+538B	压
uni538C	U+538C	厌
uni538D	U+538D	厍
uni538E	U+538E	厎
uni538F	U+538F	厏
uni5390	U+5390	厐
uni5391	U+5391	厑
uni5392	U+5392	厒
uni5393	U+5393	厓
uni5394	U+5394	厔
uni5395	U+5395	厕
uni5396	U+5396	厖
uni5397	U+5397	厗
uni5398	U+5398	厘
uni5399	U+5399	厙
uni539A	U+539A	厚
uni539B	U+539B	厛
uni539C	U+539C	厜
uni539D	U+539D	厝
uni539E	U+539E	厞
uni539F	U+539F	原
uni53A0	U+53A0	厠
uni53A1	U+53A1	厡
uni53A2	U+53A2	厢
uni53A3	U+53A3	厣
uni53A4	U+53A4	厤
uni53A5	U+53A5	厥
uni53A6	U+53A6	厦
uni53A7	U+53A7	厧
uni53A8	U+53A8	厨
uni53A9	U+53A9	厩
uni53AA	U+53AA	厪
uni53AB	U+53AB	厫
uni53AC	U+53AC	厬
uni53AD	U+53AD	厭
uni53AE	U+53AE	厮
uni53AF	U+53AF	厯
uni53B0	U+53B0	厰
uni53B1	U+53B1	厱
uni53B2	U+53B2	厲
uni53B3	U+53B3	厳
uni53B4	U+53B4	厴
uni53B5	U+53B5	厵
uni53B7	U+53B7	厷
uni53B8	U+53B8	厸
uni53B9	U+53B9	厹
uni53BA	U+53BA	厺
uni53BB	U+53BB	去
uni53BC	U+53BC	厼
uni53BD	U+53BD	厽
uni53BE	U+53BE	厾
uni53BF	U+53BF	县
uni53C0	U+53C0	叀
uni53C1	U+53C1	叁
uni53C2	U+53C2	参
uni53C3	U+53C3	參
uni53C4	U+53C4	叄
uni53C5	U+53C5	叅
uni53C6	U+53C6	叆
uni53C7	U+53C7	叇
uni53C9	U+53C9	叉
uni53CA	U+53CA	及
uni53CB	U+53CB	友
uni53CC	U+53CC	双
uni53CD	U+53CD	反
uni53CE	U+53CE	収
uni53CF	U+53CF	叏
uni53D0	U+53D0	叐
uni53D1	U+53D1	发
uni53D2	U+53D2	叒
uni53D3	U+53D3	叓
uni53D4	U+53D4	叔
uni53D5	U+53D5	叕
uni53D6	U+53D6	取
uni53D7	U+53D7	受
uni53D8	U+53D8	变
uni53D9	U+53D9	叙
uni53DA	U+53DA	叚
uni53DB	U+53DB	叛
uni53DC	U+53DC	叜
uni53DD	U+53DD	叝
uni53DE	U+53DE	叞
uni53DF	U+53DF	叟
uni53E0	U+53E0	叠
