uni5F27	U+5F27	弧
uni5F28	U+5F28	弨
uni5F29	U+5F29	弩
uni5F2A	U+5F2A	弪
uni5F2B	U+5F2B	弫
uni5F2C	U+5F2C	弬
uni5F2D	U+5F2D	弭
uni5F2E	U+5F2E	弮
uni5F2F	U+5F2F	弯
uni5F30	U+5F30	弰
uni5F31	U+5F31	弱
uni5F32	U+5F32	弲
uni5F33	U+5F33	弳
uni5F34	U+5F34	弴
uni5F35	U+5F35	張
uni5F36	U+5F36	弶
uni5F37	U+5F37	強
uni5F38	U+5F38	弸
uni5F39	U+5F39	弹
uni5F3A	U+5F3A	强
uni5F3B	U+5F3B	弻
uni5F3C	U+5F3C	弼
uni5F3D	U+5F3D	弽
uni5F3E	U+5F3E	弾
uni5F3F	U+5F3F	弿
uni5F40	U+5F40	彀
uni5F41	U+5F41	彁
uni5F42	U+5F42	彂
uni5F43	U+5F43	彃
uni5F44	U+5F44	彄
uni5F45	U+5F45	彅
uni5F46	U+5F46	彆
uni5F47	U+5F47	彇
uni5F48	U+5F48	彈
uni5F49	U+5F49	彉
uni5F4A	U+5F4A	彊
uni5F4B	U+5F4B	彋
uni5F4C	U+5F4C	彌
uni5F4D	U+5F4D	彍
uni5F4E	U+5F4E	彎
uni5F4F	U+5F4F	彏
uni5F52	U+5F52	归
uni5F53	U+5F53	当
uni5F54	U+5F54	彔
uni5F55	U+5F55	录
uni5F56	U+5F56	彖
uni5F57	U+5F57	彗
uni5F58	U+5F58	彘
uni5F59	U+5F59	彙
uni5F5A	U+5F5A	彚
uni5F5B	U+5F5B	彛
uni5F5C	U+5F5C	彜
uni5F5D	U+5F5D	彝
uni5F5E	U+5F5E	彞
uni5F5F	U+5F5F	彟
uni5F60	U+5F60	彠
uni5F62	U+5F62	形
uni5F63	U+5F63	彣
uni5F64	U+5F64	彤
uni5F65	U+5F65	彥
uni5F66	U+5F66	彦
uni5F67	U+5F67	彧
uni5F68	U+5F68	彨
uni5F69	U+5F69	彩
uni5F6A	U+5F6A	彪
uni5F6B	U+5F6B	彫
uni5F6C	U+5F6C	彬
uni5F6D	U+5F6D	彭
uni5F6E	U+5F6E	彮
uni5F6F	U+5F6F	彯
uni5F70	U+5F70	彰
uni5F71	U+5F71	影
uni5F72	U+5F72	彲
uni5F74	U+5F74	彴
uni5F75	U+5F75	彵
uni5F76	U+5F76	彶
uni5F77	U+5F77	彷
uni5F78	U+5F78	彸
uni5F79	U+5F79	役
uni5F7A	U+5F7A	彺
uni5F7B	U+5F7B	彻
uni5F7C	U+5F7C	彼
uni5F7D	U+5F7D	彽
uni5F7E	U+5F7E	彾
uni5F7F	U+5F7F	彿
uni5F80	U+5F80	往
uni5F81	U+5F81	征
uni5F82	U+5F82	徂
uni5F83	U+5F83	徃
uni5F84	U+5F84	径
uni5F85	U+5F85	待
uni5F86	U+5F86	徆
uni5F87	U+5F87	徇
uni5F88	U+5F88	很
uni5F89	U+5F89	徉
uni5F8A	U+5F8A	徊
uni5F8B	U+5F8B	律
uni5F8C	U+5F8C	後
uni5F8D	U+5F8D	徍
uni5F8E	U+5F8E	徎
uni5F8F	U+5F8F	徏
uni5F90	U+5F90	徐
uni5F91	U+5F91	徑
uni5F92	U+5F92	徒
uni5F93	U+5F93	従
uni5F94	U+5F94	徔
uni5F95	U+5F95	徕
uni5F96	U+5F96	徖
uni5F97	U+5F97	得
uni5F98	U+5F98	徘
uni5F99	U+5F99	徙
uni5F9A	U+5F9A	徚
uni5F9B	U+5F9B	徛
uni5F9C	U+5F9C	徜
uni5F9D	U+5F9D	徝
uni5F9E	U+5F9E	從
uni5F9F	U+5F9F	徟
uni5FA0	U+5FA0	徠
uni5FA1	U+5FA1	御
uni5FA2	U+5FA2	徢
uni5FA3	U+5FA3	徣
uni5FA4	U+5FA4	徤
uni5FA5	U+5FA5	徥
uni5FA6	U+5FA6	徦
uni5FA7	U+5FA7	徧
uni5FA8	U+5FA8	徨
uni5FA9	U+5FA9	復
uni5FAA	U+5FAA	循
uni5FAB	U+5FAB	徫
uni5FAC	U+5FAC	徬
uni5FAD	U+5FAD	徭
uni5FAE	U+5FAE	微
uni5FAF	U+5FAF	徯
uni5FB0	U+5FB0	徰
uni5FB1	U+5FB1	徱
uni5FB2	U+5FB2	徲
uni5FB3	U+5FB3	徳
uni5FB4	U+5FB4	徴
uni5FB5	U+5FB5	徵
uni5FB6	U+5FB6	徶
uni5FB7	U+5FB7	德
uni5FB8	U+5FB8	徸
uni5FB9	U+5FB9	徹
uni5FBA	U+5FBA	徺
uni5FBB	U+5FBB	徻
uni5FBC	U+5FBC	徼
uni5FBD	U+5FBD	徽
uni5FBE	U+5FBE	徾
uni5FBF	U+5FBF	徿
uni5FC0	U+5FC0	忀
uni5FC1	U+5FC1	忁
uni5FC2	U+5FC2	忂
uni5FC5	U+5FC5	必
uni5FC6	U+5FC6	忆
uni5FC7	U+5FC7	忇
uni5FC8	U+5FC8	忈
uni5FC9	U+5FC9	忉
uni5FCA	U+5FCA	忊
uni5FCB	U+5FCB	忋
uni5FCC	U+5FCC	忌
uni5FCD	U+5FCD	忍
uni5FCE	U+5FCE	忎
uni5FCF	U+5FCF	忏
uni5FD0	U+5FD0	忐
uni5FD1	U+5FD1	忑
uni5FD2	U+5FD2	忒
uni5FD3	U+5FD3	忓
uni5FD4	U+5FD4	忔
uni5FD5	U+5FD5	忕
uni5FD6	U+5FD6	忖
uni5FD7	U+5FD7	志
uni5FD8	U+5FD8	忘
uni5FD9	U+5FD9	忙
uni5FDA	U+5FDA	忚
uni5FDB	U+5FDB	忛
uni5FDC	U+5FDC	応
uni5FDD	U+5FDD	忝
uni5FDE	U+5FDE	忞
uni5FDF	U+5FDF	忟
uni5FE0	U+5FE0	忠
uni5FE1	U+5FE1	忡
uni5FE2	U+5FE2	忢
uni5FE3	U+5FE3	忣
uni5FE4	U+5FE4	忤
uni5FE5	U+5FE5	忥
uni5FE6	U+5FE6	忦
uni5FE7	U+5FE7	忧
uni5FE8	U+5FE8	忨
uni5FE9	U+5FE9	忩
uni5FEA	U+5FEA	忪
uni5FEB	U+5FEB	快
uni5FEC	U+5FEC	忬
uni5FED	U+5FED	忭
uni5FEE	U+5FEE	忮
uni5FEF	U+5FEF	忯
uni5FF0	U+5FF0	忰
uni5FF1	U+5FF1	忱
uni5FF2	U+5FF2	忲
uni5FF3	U+5FF3	忳
uni5FF4	U+5FF4	忴
uni5FF5	U+5FF5	念
uni5FF6	U+5FF6	忶
uni5FF7	U+5FF7	忷
uni5FF8	U+5FF8	忸
uni5FF9	U+5FF9	忹
uni5FFA	U+5FFA	忺
uni5FFB	U+5FFB	忻
uni5FFC	U+5FFC	忼
uni5FFD	U+5FFD	忽
uni5FFE	U+5FFE	忾
uni5FFF	U+5FFF	忿
uni6000	U+6000	怀
uni6001	U+6001	态
uni6002	U+6002	怂
uni6003	U+6003	怃
uni6004	U+6004	怄
uni6005	U+6005	怅
uni6006	U+6006	怆
uni6007	U+6007	怇
uni6008	U+6008	怈
uni6009	U+6009	怉
uni600A	U+600A	怊
uni600B	U+600B	怋
uni600C	U+600C	怌
uni600D	U+600D	怍
uni600E	U+600E	怎
uni600F	U+600F	怏
uni6010	U+6010	怐
uni6011	U+6011	怑
uni6012	U+6012	怒
uni6013	U+6013	怓
uni6014	U+6014	怔
uni6015	U+6015	怕
uni6016	U+6016	怖
uni6017	U+6017	怗
uni6018	U+6018	怘
uni6019	U+6019	怙
uni601A	U+601A	怚
uni601B	U+601B	怛
uni601C	U+601C	怜
uni601D	U+601D	思
uni601E	U+601E	怞
uni601F	U+601F	怟
uni6020	U+6020	怠
uni6021	U+6021	怡
uni6022	U+6022	怢
uni6023	U+6023	怣
uni6024	U+6024	怤
uni6025	U+6025	急
uni6026	U+6026	怦
uni6027	U+6027	性
uni6028	U+6028	怨
uni6029	U+6029	怩
uni602A	U+602A	怪
uni602B	U+602B	怫
uni602C	U+602C	怬
uni602D	U+602D	怭
uni602E	U+602E	怮
uni602F	U+602F	怯
uni6030	U+6030	怰
uni6031	U+6031	怱
uni6032	U+6032	怲
uni6033	U+6033	怳
uni6034	U+6034	怴
uni6035	U+6035	怵
uni6036	U+6036	怶
uni6037	U+6037	怷
uni6038	U+6038	怸
uni6039	U+6039	怹
uni603A	U+603A	怺
uni603B	U+603B	总
uni603C	U+603C	怼
uni603D	U+603D	怽
uni603E	U+603E	怾
uni603F	U+603F	怿
uni6040	U+6040	恀
uni6041	U+6041	恁
uni6042	U+6042	恂
uni6043	U+6043	恃
uni6044	U+6044	恄
uni6045	U+6045	恅
uni6046	U+6046	恆
uni6047	U+6047	恇
uni6048	U+6048	恈
uni6049	U+6049	恉
uni604A	U+604A	恊
uni604B	U+604B	恋
uni604C	U+604C	恌
uni604D	U+604D	恍
uni604E	U+604E	恎
uni604F	U+604F	恏
uni6050	U+6050	恐
uni6051	U+6051	恑
uni6052	U+6052	恒
uni6053	U+6053	恓
uni6054	U+6054	恔
uni6055	U+6055	恕
uni6056	U+6056	恖
uni6057	U+6057	恗
uni6058	U+6058	恘
uni6059	U+6059	恙
uni605A	U+605A	恚
uni605B	U+605B	恛
uni605C	U+605C	恜
uni605D	U+605D	恝
uni605E	U+605E	恞
uni605F	U+605F	恟
uni6060	U+6060	恠
uni6061	U+6061	恡
uni6062	U+6062	恢
uni6063	U+6063	恣
uni6064	U+6064	恤
uni6065	U+6065	恥
uni6066	U+6066	恦
uni6067	U+6067	恧
uni6068	U+6068	恨
