uni6331	U+6331	挱
uni6332	U+6332	挲
uni6333	U+6333	挳
uni6334	U+6334	挴
uni6335	U+6335	挵
uni6336	U+6336	挶
uni6337	U+6337	挷
uni6338	U+6338	挸
uni6339	U+6339	挹
uni633A	U+633A	挺
uni633B	U+633B	挻
uni633C	U+633C	挼
uni633D	U+633D	挽
uni633E	U+633E	挾
uni633F	U+633F	挿
uni6340	U+6340	捀
uni6341	U+6341	捁
uni6342	U+6342	捂
uni6343	U+6343	捃
uni6344	U+6344	捄
uni6345	U+6345	捅
uni6346	U+6346	捆
uni6347	U+6347	捇
uni6348	U+6348	捈
uni6349	U+6349	捉
uni634A	U+634A	捊
uni634B	U+634B	捋
uni634C	U+634C	捌
uni634D	U+634D	捍
uni634E	U+634E	捎
uni634F	U+634F	捏
uni6350	U+6350	捐
uni6351	U+6351	捑
uni6352	U+6352	捒
uni6353	U+6353	捓
uni6354	U+6354	捔
uni6355	U+6355	捕
uni6356	U+6356	捖
uni6357	U+6357	捗
uni6358	U+6358	捘
uni6359	U+6359	捙
uni635A	U+635A	捚
uni635B	U+635B	捛
uni635C	U+635C	捜
uni635D	U+635D	捝
uni635E	U+635E	捞
uni635F	U+635F	损
uni6360	U+6360	捠
uni6361	U+6361	捡
uni6362	U+6362	换
uni6363	U+6363	捣
uni6364	U+6364	捤
uni6365	U+6365	捥
uni6366	U+6366	捦
uni6367	U+6367	捧
uni6368	U+6368	捨
uni6369	U+6369	捩
uni636A	U+636A	捪
uni636B	U+636B	捫
uni636C	U+636C	捬
uni636D	U+636D	捭
uni636E	U+636E	据
uni636F	U+636F	捯
uni6370	U+6370	捰
uni6371	U+6371	捱
uni6372	U+6372	捲
uni6373	U+6373	捳
uni6374	U+6374	捴
uni6375	U+6375	捵
uni6376	U+6376	捶
uni6377	U+6377	捷
uni6378	U+6378	捸
uni6379	U+6379	捹
uni637A	U+637A	捺
uni637B	U+637B	捻
uni637C	U+637C	捼
uni637D	U+637D	捽
uni637E	U+637E	捾
uni637F	U+637F	捿
uni6380	U+6380	掀
uni6381	U+6381	掁
uni6382	U+6382	掂
uni6383	U+6383	掃
uni6384	U+6384	掄
uni6385	U+6385	掅
uni6386	U+6386	掆
uni6387	U+6387	掇
uni6388	U+6388	授
uni6389	U+6389	掉
uni638A	U+638A	掊
uni638B	U+638B	掋
uni638C	U+638C	掌
uni638D	U+638D	掍
uni638E	U+638E	掎
uni638F	U+638F	掏
uni6390	U+6390	掐
uni6391	U+6391	掑
uni6392	U+6392	排
uni6393	U+6393	掓
uni6394	U+6394	掔
uni6395	U+6395	掕
uni6396	U+6396	掖
uni6397	U+6397	掗
uni6398	U+6398	掘
uni6399	U+6399	掙
uni639A	U+639A	掚
uni639B	U+639B	掛
uni639C	U+639C	掜
uni639D	U+639D	掝
uni639E	U+639E	掞
uni639F	U+639F	掟
uni63A0	U+63A0	掠
uni63A1	U+63A1	採
uni63A2	U+63A2	探
uni63A3	U+63A3	掣
uni63A4	U+63A4	掤
uni63A5	U+63A5	接
uni63A6	U+63A6	掦
uni63A7	U+63A7	控
uni63A8	U+63A8	推
uni63A9	U+63A9	掩
uni63AA	U+63AA	措
uni63AB	U+63AB	掫
uni63AC	U+63AC	掬
uni63AD	U+63AD	掭
uni63AE	U+63AE	掮
uni63AF	U+63AF	掯
uni63B0	U+63B0	掰
uni63B1	U+63B1	掱
uni63B2	U+63B2	掲
uni63B3	U+63B3	掳
uni63B4	U+63B4	掴
uni63B5	U+63B5	掵
uni63B6	U+63B6	掶
uni63B7	U+63B7	掷
uni63B8	U+63B8	掸
uni63B9	U+63B9	掹
uni63BA	U+63BA	掺
uni63BB	U+63BB	掻
uni63BC	U+63BC	掼
uni63BD	U+63BD	掽
uni63BE	U+63BE	掾
uni63BF	U+63BF	掿
uni63C0	U+63C0	揀
uni63C1	U+63C1	揁
uni63C2	U+63C2	揂
uni63C3	U+63C3	揃
uni63C4	U+63C4	揄
uni63C5	U+63C5	揅
uni63C6	U+63C6	揆
uni63C7	U+63C7	揇
uni63C8	U+63C8	揈
uni63C9	U+63C9	揉
uni63CA	U+63CA	揊
uni63CB	U+63CB	揋
uni63CC	U+63CC	揌
uni63CD	U+63CD	揍
uni63CE	U+63CE	揎
uni63CF	U+63CF	描
uni63D0	U+63D0	提
uni63D1	U+63D1	揑
uni63D2	U+63D2	插
uni63D3	U+63D3	揓
uni63D4	U+63D4	揔
uni63D5	U+63D5	揕
uni63D6	U+63D6	揖
uni63D7	U+63D7	揗
uni63D8	U+63D8	揘
uni63D9	U+63D9	揙
uni63DA	U+63DA	揚
uni63DB	U+63DB	換
uni63DC	U+63DC	揜
uni63DD	U+63DD	揝
uni63DE	U+63DE	揞
uni63DF	U+63DF	揟
uni63E0	U+63E0	揠
uni63E1	U+63E1	握
uni63E2	U+63E2	揢
uni63E3	U+63E3	揣
uni63E4	U+63E4	揤
uni63E5	U+63E5	揥
uni63E6	U+63E6	揦
uni63E7	U+63E7	揧
uni63E8	U+63E8	揨
uni63E9	U+63E9	揩
uni63EA	U+63EA	揪
uni63EB	U+63EB	揫
uni63EC	U+63EC	揬
uni63ED	U+63ED	揭
uni63EE	U+63EE	揮
uni63EF	U+63EF	揯
uni63F0	U+63F0	揰
uni63F1	U+63F1	揱
uni63F2	U+63F2	揲
uni63F3	U+63F3	揳
uni63F4	U+63F4	援
uni63F5	U+63F5	揵
uni63F6	U+63F6	揶
uni63F7	U+63F7	揷
uni63F8	U+63F8	揸
uni63F9	U+63F9	揹
uni63FA	U+63FA	揺
uni63FB	U+63FB	揻
uni63FC	U+63FC	揼
uni63FD	U+63FD	揽
uni63FE	U+63FE	揾
uni63FF	U+63FF	揿
uni6400	U+6400	搀
uni6401	U+6401	搁
uni6402	U+6402	搂
uni6403	U+6403	搃
uni6404	U+6404	搄
uni6405	U+6405	搅
uni6406	U+6406	搆
uni6407	U+6407	搇
uni6408	U+6408	搈
uni6409	U+6409	搉
uni640A	U+640A	搊
uni640B	U+640B	搋
uni640C	U+640C	搌
uni640D	U+640D	損
uni640E	U+640E	搎
uni640F	U+640F	搏
uni6410	U+6410	搐
uni6411	U+6411	搑
uni6412	U+6412	搒
uni6413	U+6413	搓
uni6414	U+6414	搔
uni6415	U+6415	搕
uni6416	U+6416	搖
uni6417	U+6417	搗
uni6418	U+6418	搘
uni6419	U+6419	搙
uni641A	U+641A	搚
uni641B	U+641B	搛
uni641C	U+641C	搜
uni641D	U+641D	搝
uni641E	U+641E	搞
uni641F	U+641F	搟
uni6420	U+6420	搠
uni6421	U+6421	搡
uni6422	U+6422	搢
uni6423	U+6423	搣
uni6424	U+6424	搤
uni6425	U+6425	搥
uni6426	U+6426	搦
uni6427	U+6427	搧
uni6428	U+6428	搨
uni6429	U+6429	搩
uni642A	U+642A	搪
uni642B	U+642B	搫
uni642C	U+642C	搬
uni642D	U+642D	搭
uni642E	U+642E	搮
uni642F	U+642F	搯
uni6430	U+6430	搰
uni6431	U+6431	搱
uni6432	U+6432	搲
uni6433	U+6433	搳
uni6434	U+6434	搴
uni6435	U+6435	搵
uni6436	U+6436	搶
uni6437	U+6437	搷
uni6438	U+6438	搸
uni6439	U+6439	搹
uni643A	U+643A	携
uni643B	U+643B	搻
uni643C	U+643C	搼
uni643D	U+643D	搽
uni643E	U+643E	搾
uni643F	U+643F	搿
uni6440	U+6440	摀
uni6441	U+6441	摁
uni6442	U+6442	摂
uni6443	U+6443	摃
uni6444	U+6444	摄
uni6445	U+6445	摅
uni6446	U+6446	摆
uni6447	U+6447	摇
uni6448	U+6448	摈
uni6449	U+6449	摉
uni644A	U+644A	摊
uni644B	U+644B	摋
uni644C	U+644C	摌
uni644D	U+644D	摍
uni644E	U+644E	摎
uni644F	U+644F	摏
uni6450	U+6450	摐
uni6451	U+6451	摑
uni6452	U+6452	摒
uni6453	U+6453	摓
uni6454	U+6454	摔
uni6455	U+6455	摕
