uni6F4F	U+6F4F	潏
uni6F50	U+6F50	潐
uni6F51	U+6F51	潑
uni6F52	U+6F52	潒
uni6F53	U+6F53	潓
uni6F54	U+6F54	潔
uni6F55	U+6F55	潕
uni6F56	U+6F56	潖
uni6F57	U+6F57	潗
uni6F58	U+6F58	潘
uni6F59	U+6F59	潙
uni6F5A	U+6F5A	潚
uni6F5B	U+6F5B	潛
uni6F5C	U+6F5C	潜
uni6F5D	U+6F5D	潝
uni6F5E	U+6F5E	潞
uni6F5F	U+6F5F	潟
uni6F60	U+6F60	潠
uni6F61	U+6F61	潡
uni6F62	U+6F62	潢
uni6F63	U+6F63	潣
uni6F64	U+6F64	潤
uni6F65	U+6F65	潥
uni6F66	U+6F66	潦
uni6F67	U+6F67	潧
uni6F68	U+6F68	潨
uni6F69	U+6F69	潩
uni6F6A	U+6F6A	潪
uni6F6B	U+6F6B	潫
uni6F6C	U+6F6C	潬
uni6F6D	U+6F6D	潭
uni6F6E	U+6F6E	潮
uni6F6F	U+6F6F	潯
uni6F70	U+6F70	潰
uni6F71	U+6F71	潱
uni6F72	U+6F72	潲
uni6F73	U+6F73	潳
uni6F74	U+6F74	潴
uni6F75	U+6F75	潵
uni6F76	U+6F76	潶
uni6F77	U+6F77	潷
uni6F78	U+6F78	潸
uni6F79	U+6F79	潹
uni6F7A	U+6F7A	潺
uni6F7B	U+6F7B	潻
uni6F7C	U+6F7C	潼
uni6F7D	U+6F7D	潽
uni6F7E	U+6F7E	潾
uni6F7F	U+6F7F	潿
uni6F80	U+6F80	澀
uni6F81	U+6F81	澁
uni6F82	U+6F82	澂
uni6F83	U+6F83	澃
uni6F84	U+6F84	澄
uni6F85	U+6F85	澅
uni6F86	U+6F86	澆
uni6F87	U+6F87	澇
uni6F88	U+6F88	澈
uni6F89	U+6F89	澉
uni6F8A	U+6F8A	澊
uni6F8B	U+6F8B	澋
uni6F8C	U+6F8C	澌
uni6F8D	U+6F8D	澍
uni6F8E	U+6F8E	澎
uni6F8F	U+6F8F	澏
uni6F90	U+6F90	澐
uni6F91	U+6F91	澑
uni6F92	U+6F92	澒
uni6F93	U+6F93	澓
uni6F94	U+6F94	澔
uni6F95	U+6F95	澕
uni6F96	U+6F96	澖
uni6F97	U+6F97	澗
uni6F98	U+6F98	澘
uni6F99	U+6F99	澙
uni6F9A	U+6F9A	澚
uni6F9B	U+6F9B	澛
uni6F9C	U+6F9C	澜
uni6F9D	U+6F9D	澝
uni6F9E	U+6F9E	澞
uni6F9F	U+6F9F	澟
uni6FA0	U+6FA0	澠
uni6FA1	U+6FA1	澡
uni6FA2	U+6FA2	澢
uni6FA3	U+6FA3	澣
uni6FA4	U+6FA4	澤
uni6FA5	U+6FA5	澥
uni6FA6	U+6FA6	澦
uni6FA7	U+6FA7	澧
uni6FA8	U+6FA8	澨
uni6FA9	U+6FA9	澩
uni6FAA	U+6FAA	澪
uni6FAB	U+6FAB	澫
uni6FAC	U+6FAC	澬
uni6FAD	U+6FAD	澭
uni6FAE	U+6FAE	澮
uni6FAF	U+6FAF	澯
uni6FB0	U+6FB0	澰
uni6FB1	U+6FB1	澱
uni6FB2	U+6FB2	澲
uni6FB3	U+6FB3	澳
uni6FB4	U+6FB4	澴
uni6FB5	U+6FB5	澵
uni6FB6	U+6FB6	澶
uni6FB7	U+6FB7	澷
uni6FB8	U+6FB8	澸
uni6FB9	U+6FB9	澹
uni6FBA	U+6FBA	澺
uni6FBB	U+6FBB	澻
uni6FBC	U+6FBC	澼
uni6FBD	U+6FBD	澽
uni6FBE	U+6FBE	澾
uni6FBF	U+6FBF	澿
uni6FC0	U+6FC0	激
uni6FC1	U+6FC1	濁
uni6FC2	U+6FC2	濂
uni6FC3	U+6FC3	濃
uni6FC4	U+6FC4	濄
uni6FC5	U+6FC5	濅
uni6FC6	U+6FC6	濆
uni6FC7	U+6FC7	濇
uni6FC8	U+6FC8	濈
uni6FC9	U+6FC9	濉
uni6FCA	U+6FCA	濊
uni6FCB	U+6FCB	濋
uni6FCC	U+6FCC	濌
uni6FCD	U+6FCD	濍
uni6FCE	U+6FCE	濎
uni6FCF	U+6FCF	濏
uni6FD0	U+6FD0	濐
uni6FD1	U+6FD1	濑
uni6FD2	U+6FD2	濒
uni6FD3	U+6FD3	濓
uni6FD4	U+6FD4	濔
uni6FD5	U+6FD5	濕
uni6FD6	U+6FD6	濖
uni6FD7	U+6FD7	濗
uni6FD8	U+6FD8	濘
uni6FD9	U+6FD9	濙
uni6FDA	U+6FDA	濚
uni6FDB	U+6FDB	濛
uni6FDC	U+6FDC	濜
uni6FDD	U+6FDD	濝
uni6FDE	U+6FDE	濞
uni6FDF	U+6FDF	濟
uni6FE0	U+6FE0	濠
uni6FE1	U+6FE1	濡
uni6FE2	U+6FE2	濢
uni6FE3	U+6FE3	濣
uni6FE4	U+6FE4	濤
uni6FE5	U+6FE5	濥
uni6FE6	U+6FE6	濦
uni6FE7	U+6FE7	濧
uni6FE8	U+6FE8	濨
uni6FE9	U+6FE9	濩
uni6FEA	U+6FEA	濪
uni6FEB	U+6FEB	濫
uni6FEC	U+6FEC	濬
uni6FED	U+6FED	濭
uni6FEE	U+6FEE	濮
uni6FEF	U+6FEF	濯
uni6FF0	U+6FF0	濰
uni6FF1	U+6FF1	濱
uni6FF2	U+6FF2	濲
uni6FF3	U+6FF3	濳
uni6FF4	U+6FF4	濴
uni6FF5	U+6FF5	濵
uni6FF6	U+6FF6	濶
uni6FF7	U+6FF7	濷
uni6FF8	U+6FF8	濸
uni6FF9	U+6FF9	濹
uni6FFA	U+6FFA	濺
uni6FFB	U+6FFB	濻
uni6FFC	U+6FFC	濼
uni6FFD	U+6FFD	濽
uni6FFE	U+6FFE	濾
uni6FFF	U+6FFF	濿
uni7000	U+7000	瀀
uni7001	U+7001	瀁
uni7002	U+7002	瀂
uni7003	U+7003	瀃
uni7004	U+7004	瀄
uni7005	U+7005	瀅
uni7006	U+7006	瀆
uni7007	U+7007	瀇
uni7008	U+7008	瀈
uni7009	U+7009	瀉
uni700A	U+700A	瀊
uni700B	U+700B	瀋
uni700C	U+700C	瀌
uni700D	U+700D	瀍
uni700E	U+700E	瀎
uni700F	U+700F	瀏
uni7010	U+7010	瀐
uni7011	U+7011	瀑
uni7012	U+7012	瀒
uni7013	U+7013	瀓
uni7014	U+7014	瀔
uni7015	U+7015	瀕
uni7016	U+7016	瀖
uni7017	U+7017	瀗
uni7018	U+7018	瀘
uni7019	U+7019	瀙
uni701A	U+701A	瀚
uni701B	U+701B	瀛
uni701C	U+701C	瀜
uni701D	U+701D	瀝
uni701E	U+701E	瀞
uni701F	U+701F	瀟
uni7020	U+7020	瀠
uni7021	U+7021	瀡
uni7022	U+7022	瀢
uni7023	U+7023	瀣
uni7024	U+7024	瀤
uni7025	U+7025	瀥
uni7026	U+7026	瀦
uni7027	U+7027	瀧
uni7028	U+7028	瀨
uni7029	U+7029	瀩
uni702A	U+702A	瀪
uni702B	U+702B	瀫
uni702C	U+702C	瀬
uni702D	U+702D	瀭
uni702E	U+702E	瀮
uni702F	U+702F	瀯
uni7030	U+7030	瀰
uni7031	U+7031	瀱
uni7032	U+7032	瀲
uni7033	U+7033	瀳
uni7034	U+7034	瀴
uni7035	U+7035	瀵
uni7036	U+7036	瀶
uni7037	U+7037	瀷
uni7038	U+7038	瀸
uni7039	U+7039	瀹
uni703A	U+703A	瀺
uni703B	U+703B	瀻
uni703C	U+703C	瀼
uni703D	U+703D	瀽
uni703E	U+703E	瀾
uni703F	U+703F	瀿
uni7040	U+7040	灀
uni7041	U+7041	灁
uni7042	U+7042	灂
uni7043	U+7043	灃
uni7044	U+7044	灄
uni7045	U+7045	灅
uni7046	U+7046	灆
uni7047	U+7047	灇
uni7048	U+7048	灈
uni7049	U+7049	灉
uni704A	U+704A	灊
uni704B	U+704B	灋
uni704C	U+704C	灌
uni704D	U+704D	灍
uni704E	U+704E	灎
uni704F	U+704F	灏
uni7050	U+7050	灐
uni7051	U+7051	灑
uni7052	U+7052	灒
uni7053	U+7053	灓
uni7054	U+7054	灔
uni7055	U+7055	灕
uni7056	U+7056	灖
uni7057	U+7057	灗
uni7058	U+7058	灘
uni7059	U+7059	灙
uni705A	U+705A	灚
uni705B	U+705B	灛
uni705C	U+705C	灜
uni705D	U+705D	灝
uni705E	U+705E	灞
uni705F	U+705F	灟
