uni7769	U+7769	睩
uni776A	U+776A	睪
uni776B	U+776B	睫
uni776C	U+776C	睬
uni776D	U+776D	睭
uni776E	U+776E	睮
uni776F	U+776F	睯
uni7770	U+7770	睰
uni7771	U+7771	睱
uni7772	U+7772	睲
uni7773	U+7773	睳
uni7774	U+7774	睴
uni7775	U+7775	睵
uni7776	U+7776	睶
uni7777	U+7777	睷
uni7778	U+7778	睸
uni7779	U+7779	睹
uni777A	U+777A	睺
uni777B	U+777B	睻
uni777C	U+777C	睼
uni777D	U+777D	睽
uni777E	U+777E	睾
uni777F	U+777F	睿
uni7780	U+7780	瞀
uni7781	U+7781	瞁
uni7782	U+7782	瞂
uni7783	U+7783	瞃
uni7784	U+7784	瞄
uni7785	U+7785	瞅
uni7786	U+7786	瞆
uni7787	U+7787	瞇
uni7788	U+7788	瞈
uni7789	U+7789	瞉
uni778A	U+778A	瞊
uni778B	U+778B	瞋
uni778C	U+778C	瞌
uni778D	U+778D	瞍
uni778E	U+778E	瞎
uni778F	U+778F	瞏
uni7790	U+7790	瞐
uni7791	U+7791	瞑
uni7792	U+7792	瞒
uni7793	U+7793	瞓
uni7794	U+7794	瞔
uni7795	U+7795	瞕
uni7796	U+7796	瞖
uni7797	U+7797	瞗
uni7798	U+7798	瞘
uni7799	U+7799	瞙
uni779A	U+779A	瞚
uni779B	U+779B	瞛
uni779C	U+779C	瞜
uni779D	U+779D	瞝
uni779E	U+779E	瞞
uni779F	U+779F	瞟
uni77A0	U+77A0	瞠
uni77A1	U+77A1	瞡
uni77A2	U+77A2	瞢
uni77A3	U+77A3	瞣
uni77A4	U+77A4	瞤
uni77A5	U+77A5	瞥
uni77A6	U+77A6	瞦
uni77A7	U+77A7	瞧
uni77A8	U+77A8	瞨
uni77A9	U+77A9	瞩
uni77AA	U+77AA	瞪
uni77AB	U+77AB	瞫
uni77AC	U+77AC	瞬
uni77AD	U+77AD	瞭
uni77AE	U+77AE	瞮
uni77AF	U+77AF	瞯
uni77B0	U+77B0	瞰
uni77B1	U+77B1	瞱
uni77B2	U+77B2	瞲
uni77B3	U+77B3	瞳
uni77B4	U+77B4	瞴
uni77B5	U+77B5	瞵
uni77B6	U+77B6	瞶
uni77B7	U+77B7	瞷
uni77B8	U+77B8	瞸
uni77B9	U+77B9	瞹
uni77BA	U+77BA	瞺
uni77BB	U+77BB	瞻
uni77BC	U+77BC	瞼
uni77BD	U+77BD	瞽
uni77BE	U+77BE	瞾
uni77BF	U+77BF	瞿
uni77C0	U+77C0	矀
uni77C1	U+77C1	矁
uni77C2	U+77C2	矂
uni77C3	U+77C3	矃
uni77C4	U+77C4	矄
uni77C5	U+77C5	矅
uni77C6	U+77C6	矆
uni77C7	U+77C7	矇
uni77C8	U+77C8	矈
uni77C9	U+77C9	矉
uni77CA	U+77CA	矊
uni77CB	U+77CB	矋
uni77CC	U+77CC	矌
uni77CD	U+77CD	矍
uni77CE	U+77CE	矎
uni77CF	U+77CF	矏
uni77D0	U+77D0	矐
uni77D1	U+77D1	矑
uni77D2	U+77D2	矒
uni77D3	U+77D3	矓
uni77D4	U+77D4	矔
uni77D5	U+77D5	矕
uni77D6	U+77D6	矖
uni77D7	U+77D7	矗
uni77D8	U+77D8	矘
uni77D9	U+77D9	矙
uni77DA	U+77DA	矚
uni77DC	U+77DC	矜
uni77DD	U+77DD	矝
uni77DE	U+77DE	矞
uni77DF	U+77DF	矟
uni77E0	U+77E0	矠
uni77E1	U+77E1	矡
uni77E3	U+77E3	矣
uni77E4	U+77E4	矤
uni77E5	U+77E5	知
uni77E6	U+77E6	矦
uni77E7	U+77E7	矧
uni77E8	U+77E8	矨
uni77E9	U+77E9	矩
uni77EA	U+77EA	矪
uni77EB	U+77EB	矫
uni77EC	U+77EC	矬
uni77ED	U+77ED	短
uni77EE	U+77EE	矮
uni77EF	U+77EF	矯
uni77F0	U+77F0	矰
uni77F1	U+77F1	矱
uni77F2	U+77F2	矲
uni77F4	U+77F4	矴
uni77F5	U+77F5	矵
uni77F6	U+77F6	矶
uni77F7	U+77F7	矷
uni77F8	U+77F8	矸
uni77F9	U+77F9	矹
uni77FA	U+77FA	矺
uni77FB	U+77FB	矻
uni77FC	U+77FC	矼
uni77FD	U+77FD	矽
uni77FE	U+77FE	矾
uni77FF	U+77FF	矿
uni7800	U+7800	砀
uni7801	U+7801	码
uni7802	U+7802	砂
uni7803	U+7803	砃
uni7804	U+7804	砄
uni7805	U+7805	砅
uni7806	U+7806	砆
uni7807	U+7807	砇
uni7808	U+7808	砈
uni7809	U+7809	砉
uni780A	U+780A	砊
uni780B	U+780B	砋
uni780C	U+780C	砌
uni780D	U+780D	砍
uni780E	U+780E	砎
uni780F	U+780F	砏
uni7810	U+7810	砐
uni7811	U+7811	砑
uni7812	U+7812	砒
uni7813	U+7813	砓
uni7814	U+7814	研
uni7815	U+7815	砕
uni7816	U+7816	砖
uni7817	U+7817	砗
uni7818	U+7818	砘
uni7819	U+7819	砙
uni781A	U+781A	砚
uni781B	U+781B	砛
uni781C	U+781C	砜
uni781D	U+781D	砝
uni781E	U+781E	砞
uni781F	U+781F	砟
uni7820	U+7820	砠
uni7821	U+7821	砡
uni7822	U+7822	砢
uni7823	U+7823	砣
uni7824	U+7824	砤
uni7825	U+7825	砥
uni7826	U+7826	砦
uni7827	U+7827	砧
uni7828	U+7828	砨
uni7829	U+7829	砩
uni782A	U+782A	砪
uni782B	U+782B	砫
uni782C	U+782C	砬
uni782D	U+782D	砭
uni782E	U+782E	砮
uni782F	U+782F	砯
uni7830	U+7830	砰
uni7831	U+7831	砱
uni7832	U+7832	砲
uni7833	U+7833	砳
uni7834	U+7834	破
uni7835	U+7835	砵
uni7836	U+7836	砶
uni7837	U+7837	砷
uni7838	U+7838	砸
uni7839	U+7839	砹
uni783A	U+783A	砺
uni783B	U+783B	砻
uni783C	U+783C	砼
uni783D	U+783D	砽
uni783E	U+783E	砾
uni783F	U+783F	砿
uni7840	U+7840	础
uni7841	U+7841	硁
uni7842	U+7842	硂
uni7843	U+7843	硃
uni7844	U+7844	硄
uni7845	U+7845	硅
uni7846	U+7846	硆
uni7847	U+7847	硇
uni7848	U+7848	硈
uni7849	U+7849	硉
uni784A	U+784A	硊
uni784B	U+784B	硋
uni784C	U+784C	硌
uni784D	U+784D	硍
uni784E	U+784E	硎
uni784F	U+784F	硏
uni7850	U+7850	硐
uni7851	U+7851	硑
uni7852	U+7852	硒
uni7853	U+7853	硓
uni7854	U+7854	硔
uni7855	U+7855	硕
uni7856	U+7856	硖
uni7857	U+7857	硗
uni7858	U+7858	硘
uni7859	U+7859	硙
uni785A	U+785A	硚
uni785B	U+785B	硛
uni785C	U+785C	硜
uni785D	U+785D	硝
uni785E	U+785E	硞
uni785F	U+785F	硟
uni7860	U+7860	硠
uni7861	U+7861	硡
uni7862	U+7862	硢
uni7863	U+7863	硣
uni7864	U+7864	硤
uni7865	U+7865	硥
uni7866	U+7866	硦
uni7867	U+7867	硧
uni7868	U+7868	硨
uni7869	U+7869	硩
uni786A	U+786A	硪
uni786B	U+786B	硫
uni786C	U+786C	硬
uni786D	U+786D	硭
uni786E	U+786E	确
uni786F	U+786F	硯
uni7870	U+7870	硰
uni7871	U+7871	硱
