uni7F7C	U+7F7C	罼
uni7F7D	U+7F7D	罽
uni7F7E	U+7F7E	罾
uni7F7F	U+7F7F	罿
uni7F80	U+7F80	羀
uni7F81	U+7F81	羁
uni7F82	U+7F82	羂
uni7F83	U+7F83	羃
uni7F84	U+7F84	羄
uni7F85	U+7F85	羅
uni7F86	U+7F86	羆
uni7F87	U+7F87	羇
uni7F88	U+7F88	羈
uni7F89	U+7F89	羉
uni7F8B	U+7F8B	羋
uni7F8C	U+7F8C	羌
uni7F8D	U+7F8D	羍
uni7F8E	U+7F8E	美
uni7F8F	U+7F8F	羏
uni7F90	U+7F90	羐
uni7F91	U+7F91	羑
uni7F92	U+7F92	羒
uni7F93	U+7F93	羓
uni7F94	U+7F94	羔
uni7F95	U+7F95	羕
uni7F96	U+7F96	羖
uni7F97	U+7F97	羗
uni7F98	U+7F98	羘
uni7F99	U+7F99	羙
uni7F9A	U+7F9A	羚
uni7F9B	U+7F9B	羛
uni7F9C	U+7F9C	羜
uni7F9D	U+7F9D	羝
uni7F9E	U+7F9E	羞
uni7F9F	U+7F9F	羟
uni7FA0	U+7FA0	羠
uni7FA1	U+7FA1	羡
uni7FA2	U+7FA2	羢
uni7FA3	U+7FA3	羣
uni7FA4	U+7FA4	群
uni7FA5	U+7FA5	羥
uni7FA6	U+7FA6	羦
uni7FA7	U+7FA7	羧
uni7FA8	U+7FA8	羨
uni7FA9	U+7FA9	義
uni7FAA	U+7FAA	羪
uni7FAB	U+7FAB	羫
uni7FAC	U+7FAC	羬
uni7FAD	U+7FAD	羭
uni7FAE	U+7FAE	羮
uni7FAF	U+7FAF	羯
uni7FB0	U+7FB0	羰
uni7FB1	U+7FB1	羱
uni7FB2	U+7FB2	羲
uni7FB3	U+7FB3	羳
uni7FB4	U+7FB4	羴
uni7FB5	U+7FB5	羵
uni7FB6	U+7FB6	羶
uni7FB7	U+7FB7	羷
uni7FB8	U+7FB8	羸
uni7FB9	U+7FB9	羹
uni7FBA	U+7FBA	羺
uni7FBB	U+7FBB	羻
uni7FBC	U+7FBC	羼
uni7FBE	U+7FBE	羾
uni7FBF	U+7FBF	羿
uni7FC0	U+7FC0	翀
uni7FC1	U+7FC1	翁
uni7FC2	U+7FC2	翂
uni7FC3	U+7FC3	翃
uni7FC4	U+7FC4	翄
uni7FC5	U+7FC5	翅
uni7FC6	U+7FC6	翆
uni7FC7	U+7FC7	翇
uni7FC8	U+7FC8	翈
uni7FC9	U+7FC9	翉
uni7FCA	U+7FCA	翊
uni7FCB	U+7FCB	翋
uni7FCC	U+7FCC	翌
uni7FCD	U+7FCD	翍
uni7FCE	U+7FCE	翎
uni7FCF	U+7FCF	翏
uni7FD0	U+7FD0	翐
uni7FD1	U+7FD1	翑
uni7FD2	U+7FD2	習
uni7FD3	U+7FD3	翓
uni7FD4	U+7FD4	翔
uni7FD5	U+7FD5	翕
uni7FD6	U+7FD6	翖
uni7FD7	U+7FD7	翗
uni7FD8	U+7FD8	翘
uni7FD9	U+7FD9	翙
uni7FDA	U+7FDA	翚
uni7FDB	U+7FDB	翛
uni7FDC	U+7FDC	翜
uni7FDD	U+7FDD	翝
uni7FDE	U+7FDE	翞
uni7FDF	U+7FDF	翟
uni7FE0	U+7FE0	翠
uni7FE1	U+7FE1	翡
uni7FE2	U+7FE2	翢
uni7FE3	U+7FE3	翣
uni7FE4	U+7FE4	翤
uni7FE5	U+7FE5	翥
uni7FE6	U+7FE6	翦
uni7FE7	U+7FE7	翧
uni7FE8	U+7FE8	翨
uni7FE9	U+7FE9	翩
uni7FEA	U+7FEA	翪
uni7FEB	U+7FEB	翫
uni7FEC	U+7FEC	翬
uni7FED	U+7FED	翭
uni7FEE	U+7FEE	翮
uni7FEF	U+7FEF	翯
uni7FF0	U+7FF0	翰
uni7FF1	U+7FF1	翱
uni7FF2	U+7FF2	翲
uni7FF3	U+7FF3	翳
uni7FF4	U+7FF4	翴
uni7FF5	U+7FF5	翵
uni7FF6	U+7FF6	翶
uni7FF7	U+7FF7	翷
uni7FF8	U+7FF8	翸
uni7FF9	U+7FF9	翹
uni7FFA	U+7FFA	翺
uni7FFB	U+7FFB	翻
uni7FFC	U+7FFC	翼
uni7FFD	U+7FFD	翽
uni7FFE	U+7FFE	翾
uni7FFF	U+7FFF	翿
uni8000	U+8000	耀
uni8003	U+8003	考
uni8004	U+8004	耄
uni8005	U+8005	者
uni8006	U+8006	耆
uni8007	U+8007	耇
uni8008	U+8008	耈
uni8009	U+8009	耉
uni800A	U+800A	耊
uni800B	U+800B	耋
uni800D	U+800D	耍
uni800E	U+800E	耎
uni800F	U+800F	耏
uni8010	U+8010	耐
uni8011	U+8011	耑
uni8013	U+8013	耓
uni8014	U+8014	耔
uni8015	U+8015	耕
uni8016	U+8016	耖
uni8017	U+8017	耗
uni8018	U+8018	耘
uni8019	U+8019	耙
uni801A	U+801A	耚
uni801B	U+801B	耛
uni801C	U+801C	耜
uni801D	U+801D	耝
uni801E	U+801E	耞
uni801F	U+801F	耟
uni8020	U+8020	耠
uni8021	U+8021	耡
uni8022	U+8022	耢
uni8023	U+8023	耣
uni8024	U+8024	耤
uni8025	U+8025	耥
uni8026	U+8026	耦
uni8027	U+8027	耧
uni8028	U+8028	耨
uni8029	U+8029	耩
uni802A	U+802A	耪
uni802B	U+802B	耫
uni802C	U+802C	耬
uni802D	U+802D	耭
uni802E	U+802E	耮
uni802F	U+802F	耯
uni8030	U+8030	耰
uni8031	U+8031	耱
uni8032	U+8032	耲
uni8034	U+8034	耴
uni8035	U+8035	耵
uni8036	U+8036	耶
uni8037	U+8037	耷
uni8038	U+8038	耸
uni8039	U+8039	耹
uni803A	U+803A	耺
uni803B	U+803B	耻
uni803C	U+803C	耼
uni803D	U+803D	耽
uni803E	U+803E	耾
uni803F	U+803F	耿
uni8040	U+8040	聀
uni8041	U+8041	聁
uni8042	U+8042	聂
uni8043	U+8043	聃
uni8044	U+8044	聄
uni8045	U+8045	聅
uni8046	U+8046	聆
uni8047	U+8047	聇
uni8048	U+8048	聈
uni8049	U+8049	聉
uni804A	U+804A	聊
uni804B	U+804B	聋
uni804C	U+804C	职
uni804D	U+804D	聍
uni804E	U+804E	聎
uni804F	U+804F	聏
uni8050	U+8050	聐
uni8051	U+8051	聑
uni8052	U+8052	聒
uni8053	U+8053	聓
uni8054	U+8054	联
uni8055	U+8055	聕
uni8056	U+8056	聖
uni8057	U+8057	聗
uni8058	U+8058	聘
uni8059	U+8059	聙
uni805A	U+805A	聚
uni805B	U+805B	聛
uni805C	U+805C	聜
uni805D	U+805D	聝
uni805E	U+805E	聞
uni805F	U+805F	聟
uni8060	U+8060	聠
uni8061	U+8061	聡
uni8062	U+8062	聢
uni8063	U+8063	聣
uni8064	U+8064	聤
uni8065	U+8065	聥
uni8066	U+8066	聦
uni8067	U+8067	聧
uni8068	U+8068	聨
uni8069	U+8069	聩
uni806A	U+806A	聪
uni806B	U+806B	聫
uni806C	U+806C	聬
uni806D	U+806D	聭
uni806E	U+806E	聮
uni806F	U+806F	聯
uni8070	U+8070	聰
uni8071	U+8071	聱
uni8072	U+8072	聲
uni8073	U+8073	聳
uni8074	U+8074	聴
uni8075	U+8075	聵
uni8076	U+8076	聶
uni8077	U+8077	職
uni8078	U+8078	聸
uni8079	U+8079	聹
uni807A	U+807A	聺
uni807B	U+807B	聻
uni807C	U+807C	聼
uni807D	U+807D	聽
uni807E	U+807E	聾
uni8081	U+8081	肁
uni8082	U+8082	肂
uni8083	U+8083	肃
uni8084	U+8084	肄
uni8085	U+8085	肅
uni8086	U+8086	肆
uni8087	U+8087	肇
uni8088	U+8088	肈
uni808A	U+808A	肊
uni808B	U+808B	肋
uni808C	U+808C	肌
uni808D	U+808D	肍
uni808E	U+808E	肎
uni808F	U+808F	肏
uni8090	U+8090	肐
uni8091	U+8091	肑
uni8092	U+8092	肒
uni8093	U+8093	肓
uni8094	U+8094	肔
uni8095	U+8095	肕
uni8096	U+8096	肖
uni8097	U+8097	肗
uni8098	U+8098	肘
uni8099	U+8099	肙
uni809A	U+809A	肚
uni809B	U+809B	肛
uni809C	U+809C	肜
uni809D	U+809D	肝
uni809E	U+809E	肞
uni809F	U+809F	肟
uni80A0	U+80A0	肠
uni80A1	U+80A1	股
uni80A2	U+80A2	肢
uni80A3	U+80A3	肣
uni80A4	U+80A4	肤
uni80A5	U+80A5	肥
uni80A7	U+80A7	肧
uni80A8	U+80A8	肨
uni80A9	U+80A9	肩
uni80AA	U+80AA	肪
uni80AB	U+80AB	肫
uni80AC	U+80AC	肬
uni80AD	U+80AD	肭
uni80AE	U+80AE	肮
uni80AF	U+80AF	肯
uni80B0	U+80B0	肰
uni80B1	U+80B1	肱
uni80B2	U+80B2	育
uni80B3	U+80B3	肳
uni80B4	U+80B4	肴
uni80B5	U+80B5	肵
uni80B6	U+80B6	肶
uni80B7	U+80B7	肷
uni80B8	U+80B8	肸
uni80B9	U+80B9	肹
uni80BA	U+80BA	肺
uni80BB	U+80BB	肻
uni80BC	U+80BC	肼
uni80BD	U+80BD	肽
uni80BE	U+80BE	肾
uni80BF	U+80BF	肿
uni80C0	U+80C0	胀
uni80C1	U+80C1	胁
uni80C2	U+80C2	胂
uni80C3	U+80C3	胃
uni80C4	U+80C4	胄
uni80C5	U+80C5	胅
uni80C6	U+80C6	胆
uni80C7	U+80C7	胇
uni80C8	U+80C8	胈
uni80C9	U+80C9	胉
uni80CB	U+80CB	胋
uni80CC	U+80CC	背
uni80CD	U+80CD	胍
uni80CE	U+80CE	胎
uni80CF	U+80CF	胏
uni80D0	U+80D0	胐
uni80D1	U+80D1	胑
uni80D2	U+80D2	胒
uni80D3	U+80D3	胓
uni80D4	U+80D4	胔
uni80D5	U+80D5	胕
uni80D6	U+80D6	胖
uni80D7	U+80D7	胗
uni80D8	U+80D8	胘
uni80D9	U+80D9	胙
uni80DA	U+80DA	胚
uni80DB	U+80DB	胛
uni80DC	U+80DC	胜
uni80DD	U+80DD	胝
uni80DE	U+80DE	胞
uni80DF	U+80DF	胟
uni80E0	U+80E0	胠
uni80E1	U+80E1	胡
uni80E2	U+80E2	胢
uni80E3	U+80E3	胣
uni80E4	U+80E4	胤
uni80E5	U+80E5	胥
uni80E6	U+80E6	胦
uni80E7	U+80E7	胧
uni80E8	U+80E8	胨
uni80E9	U+80E9	胩
uni80EA	U+80EA	胪
uni80EB	U+80EB	胫
uni80EC	U+80EC	胬
uni80ED	U+80ED	胭
uni80EE	U+80EE	胮
uni80EF	U+80EF	胯
uni80F0	U+80F0	胰
uni80F1	U+80F1	胱
uni80F2	U+80F2	胲
uni80F3	U+80F3	胳
uni80F4	U+80F4	胴
uni80F5	U+80F5	胵
uni80F7	U+80F7	胷
uni80F8	U+80F8	胸
uni80F9	U+80F9	胹
uni80FA	U+80FA	胺
uni80FB	U+80FB	胻
uni80FC	U+80FC	胼
uni80FD	U+80FD	能
uni80FE	U+80FE	胾
uni80FF	U+80FF	胿
uni8100	U+8100	脀
uni8102	U+8102	脂
uni8103	U+8103	脃
uni8104	U+8104	脄
uni8105	U+8105	脅
uni8106	U+8106	脆
uni8107	U+8107	脇
uni8108	U+8108	脈
uni8109	U+8109	脉
uni810A	U+810A	脊
uni810B	U+810B	脋
uni810C	U+810C	脌
uni810D	U+810D	脍
uni810E	U+810E	脎
uni810F	U+810F	脏
uni8110	U+8110	脐
uni8111	U+8111	脑
uni8112	U+8112	脒
uni8113	U+8113	脓
uni8114	U+8114	脔
uni8115	U+8115	脕
uni8116	U+8116	脖
uni8117	U+8117	脗
uni8118	U+8118	脘
uni8119	U+8119	脙
uni811A	U+811A	脚
uni811B	U+811B	脛
uni811C	U+811C	脜
uni811D	U+811D	脝
uni811E	U+811E	脞
uni811F	U+811F	脟
uni8120	U+8120	脠
uni8121	U+8121	脡
uni8122	U+8122	脢
uni8123	U+8123	脣
uni8124	U+8124	脤
uni8125	U+8125	脥
uni8126	U+8126	脦
uni8127	U+8127	脧
uni8128	U+8128	脨
uni8129	U+8129	脩
uni812A	U+812A	脪
uni812B	U+812B	脫
uni812C	U+812C	脬
uni812D	U+812D	脭
uni812E	U+812E	脮
uni812F	U+812F	脯
uni8130	U+8130	脰
uni8131	U+8131	脱
uni8132	U+8132	脲
uni8133	U+8133	脳
uni8134	U+8134	脴
uni8135	U+8135	脵
uni8136	U+8136	脶
uni8137	U+8137	脷
uni8138	U+8138	脸
uni8139	U+8139	脹
uni813A	U+813A	脺
uni813B	U+813B	脻
uni813C	U+813C	脼
uni813D	U+813D	脽
uni813E	U+813E	脾
uni813F	U+813F	脿
uni8140	U+8140	腀
uni8141	U+8141	腁
uni8142	U+8142	腂
uni8143	U+8143	腃
uni8144	U+8144	腄
uni8145	U+8145	腅
uni8146	U+8146	腆
uni8147	U+8147	腇
uni8148	U+8148	腈
uni8149	U+8149	腉
uni814A	U+814A	腊
uni814B	U+814B	腋
uni814C	U+814C	腌
uni814D	U+814D	腍
uni814E	U+814E	腎
uni814F	U+814F	腏
uni8150	U+8150	腐
uni8151	U+8151	腑
uni8152	U+8152	腒
uni8153	U+8153	腓
uni8154	U+8154	腔
uni8155	U+8155	腕
uni8156	U+8156	腖
uni8157	U+8157	腗
uni8158	U+8158	腘
uni8159	U+8159	腙
uni815A	U+815A	腚
uni815B	U+815B	腛
uni815C	U+815C	腜
uni815D	U+815D	腝
uni815E	U+815E	腞
uni815F	U+815F	腟
uni8160	U+8160	腠
uni8161	U+8161	腡
uni8162	U+8162	腢
uni8163	U+8163	腣
uni8164	U+8164	腤
uni8165	U+8165	腥
uni8166	U+8166	腦
uni8167	U+8167	腧
uni8168	U+8168	腨
uni8169	U+8169	腩
uni816A	U+816A	腪
uni816B	U+816B	腫
uni816C	U+816C	腬
uni816D	U+816D	腭
uni816E	U+816E	腮
uni816F	U+816F	腯
uni8170	U+8170	腰
uni8171	U+8171	腱
uni8172	U+8172	腲
uni8173	U+8173	腳
uni8174	U+8174	腴
uni8175	U+8175	腵
uni8176	U+8176	腶
uni8177	U+8177	腷
uni8178	U+8178	腸
uni8179	U+8179	腹
uni817A	U+817A	腺
uni817B	U+817B	腻
uni817C	U+817C	腼
uni817D	U+817D	腽
uni817E	U+817E	腾
uni817F	U+817F	腿
uni8180	U+8180	膀
uni8181	U+8181	膁
uni8182	U+8182	膂
uni8183	U+8183	膃
uni8184	U+8184	膄
uni8185	U+8185	膅
uni8186	U+8186	膆
uni8187	U+8187	膇
uni8188	U+8188	膈
uni8189	U+8189	膉
uni818A	U+818A	膊
uni818B	U+818B	膋
uni818C	U+818C	膌
uni818D	U+818D	膍
uni818E	U+818E	膎
uni818F	U+818F	膏
uni8190	U+8190	膐
uni8191	U+8191	膑
uni8192	U+8192	膒
uni8193	U+8193	膓
uni8194	U+8194	膔
uni8195	U+8195	膕
uni8196	U+8196	膖
uni8197	U+8197	膗
uni8198	U+8198	膘
uni8199	U+8199	膙
uni819A	U+819A	膚
uni819B	U+819B	膛
uni819C	U+819C	膜
uni819D	U+819D	膝
uni819E	U+819E	膞
uni819F	U+819F	膟
uni81A0	U+81A0	膠
uni81A1	U+81A1	膡
uni81A2	U+81A2	膢
uni81A3	U+81A3	膣
uni81A4	U+81A4	膤
uni81A5	U+81A5	膥
uni81A6	U+81A6	膦
uni81A7	U+81A7	膧
uni81A8	U+81A8	膨
uni81A9	U+81A9	膩
uni81AA	U+81AA	膪
uni81AB	U+81AB	膫
uni81AC	U+81AC	膬
uni81AD	U+81AD	膭
uni81AE	U+81AE	膮
uni81AF	U+81AF	膯
uni81B0	U+81B0	膰
uni81B1	U+81B1	膱
uni81B2	U+81B2	膲
uni81B3	U+81B3	膳
uni81B4	U+81B4	膴
uni81B5	U+81B5	膵
uni81B6	U+81B6	膶
uni81B7	U+81B7	膷
uni81B8	U+81B8	膸
uni81B9	U+81B9	膹
uni81BA	U+81BA	膺
uni81BB	U+81BB	膻
uni81BC	U+81BC	膼
uni81BD	U+81BD	膽
uni81BE	U+81BE	膾
uni81BF	U+81BF	膿
uni81C0	U+81C0	臀
uni81C1	U+81C1	臁
uni81C2	U+81C2	臂
uni81C3	U+81C3	臃
uni81C4	U+81C4	臄
uni81C5	U+81C5	臅
uni81C6	U+81C6	臆
uni81C7	U+81C7	臇
uni81C8	U+81C8	臈
uni81C9	U+81C9	臉
uni81CA	U+81CA	臊
uni81CB	U+81CB	臋
uni81CC	U+81CC	臌
uni81CD	U+81CD	臍
uni81CE	U+81CE	臎
uni81CF	U+81CF	臏
uni81D0	U+81D0	臐
uni81D1	U+81D1	臑
uni81D2	U+81D2	臒
