uni8395	U+8395	莕
uni8396	U+8396	莖
uni8397	U+8397	莗
uni8398	U+8398	莘
uni8399	U+8399	莙
uni839A	U+839A	莚
uni839B	U+839B	莛
uni839C	U+839C	莜
uni839D	U+839D	莝
uni839E	U+839E	莞
uni839F	U+839F	莟
uni83A0	U+83A0	莠
uni83A1	U+83A1	莡
uni83A2	U+83A2	莢
uni83A3	U+83A3	莣
uni83A4	U+83A4	莤
uni83A5	U+83A5	莥
uni83A6	U+83A6	莦
uni83A7	U+83A7	莧
uni83A8	U+83A8	莨
uni83A9	U+83A9	莩
uni83AA	U+83AA	莪
uni83AB	U+83AB	莫
uni83AC	U+83AC	莬
uni83AD	U+83AD	莭
uni83AE	U+83AE	莮
uni83AF	U+83AF	莯
uni83B0	U+83B0	莰
uni83B1	U+83B1	莱
uni83B2	U+83B2	莲
uni83B3	U+83B3	莳
uni83B4	U+83B4	莴
uni83B5	U+83B5	莵
uni83B6	U+83B6	莶
uni83B7	U+83B7	获
uni83B8	U+83B8	莸
uni83B9	U+83B9	莹
uni83BA	U+83BA	莺
uni83BB	U+83BB	莻
uni83BC	U+83BC	莼
uni83BD	U+83BD	莽
uni83BE	U+83BE	莾
uni83BF	U+83BF	莿
uni83C0	U+83C0	菀
uni83C1	U+83C1	菁
uni83C2	U+83C2	菂
uni83C3	U+83C3	菃
uni83C4	U+83C4	菄
uni83C5	U+83C5	菅
uni83C6	U+83C6	菆
uni83C7	U+83C7	菇
uni83C8	U+83C8	菈
uni83C9	U+83C9	菉
uni83CA	U+83CA	菊
uni83CB	U+83CB	菋
uni83CC	U+83CC	菌
uni83CD	U+83CD	菍
uni83CE	U+83CE	菎
uni83CF	U+83CF	菏
uni83D0	U+83D0	菐
uni83D1	U+83D1	菑
uni83D2	U+83D2	菒
uni83D3	U+83D3	菓
uni83D4	U+83D4	菔
uni83D5	U+83D5	菕
uni83D6	U+83D6	菖
uni83D7	U+83D7	菗
uni83D8	U+83D8	菘
uni83D9	U+83D9	菙
uni83DA	U+83DA	菚
uni83DB	U+83DB	菛
uni83DC	U+83DC	菜
uni83DD	U+83DD	菝
uni83DE	U+83DE	菞
uni83DF	U+83DF	菟
uni83E0	U+83E0	菠
uni83E1	U+83E1	菡
uni83E2	U+83E2	菢
uni83E3	U+83E3	菣
uni83E4	U+83E4	菤
uni83E5	U+83E5	菥
uni83E6	U+83E6	菦
uni83E7	U+83E7	菧
uni83E8	U+83E8	菨
uni83E9	U+83E9	菩
uni83EA	U+83EA	菪
uni83EB	U+83EB	菫
uni83EC	U+83EC	菬
uni83ED	U+83ED	菭
uni83EE	U+83EE	菮
uni83EF	U+83EF	華
uni83F0	U+83F0	菰
uni83F1	U+83F1	菱
uni83F2	U+83F2	菲
uni83F3	U+83F3	菳
uni83F4	U+83F4	菴
uni83F5	U+83F5	菵
uni83F6	U+83F6	菶
uni83F7	U+83F7	菷
uni83F8	U+83F8	菸
uni83F9	U+83F9	菹
uni83FA	U+83FA	菺
uni83FB	U+83FB	菻
uni83FC	U+83FC	菼
uni83FD	U+83FD	菽
uni83FE	U+83FE	菾
uni83FF	U+83FF	菿
uni8400	U+8400	萀
uni8401	U+8401	萁
uni8402	U+8402	萂
uni8403	U+8403	萃
uni8404	U+8404	萄
uni8405	U+8405	萅
uni8406	U+8406	萆
uni8407	U+8407	萇
uni8408	U+8408	萈
uni8409	U+8409	萉
uni840A	U+840A	萊
uni840B	U+840B	萋
uni840C	U+840C	萌
uni840D	U+840D	萍
uni840E	U+840E	萎
uni840F	U+840F	萏
uni8410	U+8410	萐
uni8411	U+8411	萑
uni8412	U+8412	萒
uni8413	U+8413	萓
uni8414	U+8414	萔
uni8415	U+8415	萕
uni8416	U+8416	萖
uni8417	U+8417	萗
uni8418	U+8418	萘
uni8419	U+8419	萙
uni841A	U+841A	萚
uni841B	U+841B	萛
uni841C	U+841C	萜
uni841D	U+841D	萝
uni841E	U+841E	萞
uni841F	U+841F	萟
uni8420	U+8420	萠
uni8421	U+8421	萡
uni8422	U+8422	萢
uni8423	U+8423	萣
