uni8BA3	U+8BA3	讣
uni8BA4	U+8BA4	认
uni8BA5	U+8BA5	讥
uni8BA6	U+8BA6	讦
uni8BA7	U+8BA7	讧
uni8BA8	U+8BA8	讨
uni8BA9	U+8BA9	让
uni8BAA	U+8BAA	讪
uni8BAB	U+8BAB	讫
uni8BAC	U+8BAC	讬
uni8BAD	U+8BAD	训
uni8BAE	U+8BAE	议
uni8BAF	U+8BAF	讯
uni8BB0	U+8BB0	记
uni8BB1	U+8BB1	讱
uni8BB2	U+8BB2	讲
uni8BB3	U+8BB3	讳
uni8BB4	U+8BB4	讴
uni8BB5	U+8BB5	讵
uni8BB6	U+8BB6	讶
uni8BB7	U+8BB7	讷
uni8BB8	U+8BB8	许
uni8BB9	U+8BB9	讹
uni8BBA	U+8BBA	论
uni8BBB	U+8BBB	讻
uni8BBC	U+8BBC	讼
uni8BBD	U+8BBD	讽
uni8BBE	U+8BBE	设
uni8BBF	U+8BBF	访
uni8BC0	U+8BC0	诀
uni8BC1	U+8BC1	证
uni8BC2	U+8BC2	诂
uni8BC3	U+8BC3	诃
uni8BC4	U+8BC4	评
uni8BC5	U+8BC5	诅
uni8BC6	U+8BC6	识
uni8BC7	U+8BC7	诇
uni8BC8	U+8BC8	诈
uni8BC9	U+8BC9	诉
uni8BCA	U+8BCA	诊
uni8BCB	U+8BCB	诋
uni8BCC	U+8BCC	诌
uni8BCD	U+8BCD	词
uni8BCE	U+8BCE	诎
uni8BCF	U+8BCF	诏
uni8BD0	U+8BD0	诐
uni8BD1	U+8BD1	译
uni8BD2	U+8BD2	诒
uni8BD3	U+8BD3	诓
uni8BD4	U+8BD4	诔
uni8BD5	U+8BD5	试
uni8BD6	U+8BD6	诖
uni8BD7	U+8BD7	诗
uni8BD8	U+8BD8	诘
uni8BD9	U+8BD9	诙
uni8BDA	U+8BDA	诚
uni8BDB	U+8BDB	诛
uni8BDC	U+8BDC	诜
uni8BDD	U+8BDD	话
uni8BDE	U+8BDE	诞
uni8BDF	U+8BDF	诟
uni8BE0	U+8BE0	诠
uni8BE1	U+8BE1	诡
uni8BE2	U+8BE2	询
uni8BE3	U+8BE3	诣
uni8BE4	U+8BE4	诤
uni8BE5	U+8BE5	该
uni8BE6	U+8BE6	详
uni8BE7	U+8BE7	诧
uni8BE8	U+8BE8	诨
uni8BE9	U+8BE9	诩
uni8BEA	U+8BEA	诪
uni8BEB	U+8BEB	诫
uni8BEC	U+8BEC	诬
uni8BED	U+8BED	语
uni8BEE	U+8BEE	诮
uni8BEF	U+8BEF	误
uni8BF0	U+8BF0	诰
uni8BF1	U+8BF1	诱
uni8BF2	U+8BF2	诲
uni8BF3	U+8BF3	诳
uni8BF4	U+8BF4	说
uni8BF5	U+8BF5	诵
uni8BF6	U+8BF6	诶
uni8BF7	U+8BF7	请
uni8BF8	U+8BF8	诸
uni8BF9	U+8BF9	诹
uni8BFA	U+8BFA	诺
uni8BFB	U+8BFB	读
uni8BFC	U+8BFC	诼
uni8BFD	U+8BFD	诽
uni8BFE	U+8BFE	课
uni8BFF	U+8BFF	诿
uni8C00	U+8C00	谀
uni8C01	U+8C01	谁
uni8C02	U+8C02	谂
uni8C03	U+8C03	调
uni8C04	U+8C04	谄
uni8C05	U+8C05	谅
uni8C06	U+8C06	谆
uni8C07	U+8C07	谇
uni8C08	U+8C08	谈
uni8C09	U+8C09	谉
uni8C0A	U+8C0A	谊
uni8C0B	U+8C0B	谋
uni8C0C	U+8C0C	谌
uni8C0D	U+8C0D	谍
uni8C0E	U+8C0E	谎
uni8C0F	U+8C0F	谏
uni8C10	U+8C10	谐
uni8C11	U+8C11	谑
uni8C12	U+8C12	谒
uni8C13	U+8C13	谓
uni8C14	U+8C14	谔
uni8C15	U+8C15	谕
uni8C16	U+8C16	谖
uni8C17	U+8C17	谗
uni8C18	U+8C18	谘
uni8C19	U+8C19	谙
uni8C1A	U+8C1A	谚
uni8C1B	U+8C1B	谛
uni8C1C	U+8C1C	谜
uni8C1D	U+8C1D	谝
uni8C1E	U+8C1E	谞
uni8C1F	U+8C1F	谟
uni8C20	U+8C20	谠
uni8C21	U+8C21	谡
uni8C22	U+8C22	谢
uni8C23	U+8C23	谣
uni8C24	U+8C24	谤
uni8C25	U+8C25	谥
uni8C26	U+8C26	谦
uni8C27	U+8C27	谧
uni8C28	U+8C28	谨
uni8C29	U+8C29	谩
uni8C2A	U+8C2A	谪
uni8C2B	U+8C2B	谫
uni8C2C	U+8C2C	谬
uni8C2D	U+8C2D	谭
uni8C2E	U+8C2E	谮
uni8C2F	U+8C2F	谯
uni8C30	U+8C30	谰
uni8C31	U+8C31	谱
uni8C32	U+8C32	谲
uni8C33	U+8C33	谳
uni8C34	U+8C34	谴
uni8C35	U+8C35	谵
uni8C36	U+8C36	谶
uni8C38	U+8C38	谸
uni8C39	U+8C39	谹
uni8C3A	U+8C3A	谺
uni8C3B	U+8C3B	谻
uni8C3C	U+8C3C	谼
uni8C3D	U+8C3D	谽
uni8C3E	U+8C3E	谾
uni8C3F	U+8C3F	谿
uni8C40	U+8C40	豀
uni8C41	U+8C41	豁
uni8C42	U+8C42	豂
uni8C43	U+8C43	豃
uni8C44	U+8C44	豄
uni8C45	U+8C45	豅
uni8C47	U+8C47	豇
uni8C48	U+8C48	豈
uni8C49	U+8C49	豉
uni8C4A	U+8C4A	豊
uni8C4B	U+8C4B	豋
uni8C4C	U+8C4C	豌
uni8C4D	U+8C4D	豍
uni8C4E	U+8C4E	豎
uni8C4F	U+8C4F	豏
