uni8FB1	U+8FB1	辱
uni8FB2	U+8FB2	農
uni8FB3	U+8FB3	辳
uni8FB4	U+8FB4	辴
uni8FB7	U+8FB7	辷
uni8FB8	U+8FB8	辸
uni8FB9	U+8FB9	边
uni8FBA	U+8FBA	辺
uni8FBB	U+8FBB	辻
uni8FBC	U+8FBC	込
uni8FBD	U+8FBD	辽
uni8FBE	U+8FBE	达
uni8FBF	U+8FBF	辿
uni8FC0	U+8FC0	迀
uni8FC1	U+8FC1	迁
uni8FC2	U+8FC2	迂
uni8FC3	U+8FC3	迃
uni8FC4	U+8FC4	迄
uni8FC5	U+8FC5	迅
uni8FC6	U+8FC6	迆
uni8FC7	U+8FC7	过
uni8FC8	U+8FC8	迈
uni8FC9	U+8FC9	迉
uni8FCA	U+8FCA	迊
uni8FCB	U+8FCB	迋
uni8FCC	U+8FCC	迌
uni8FCD	U+8FCD	迍
uni8FCE	U+8FCE	迎
uni8FCF	U+8FCF	迏
uni8FD0	U+8FD0	运
uni8FD1	U+8FD1	近
uni8FD2	U+8FD2	迒
uni8FD3	U+8FD3	迓
uni8FD4	U+8FD4	返
uni8FD5	U+8FD5	迕
uni8FD6	U+8FD6	迖
uni8FD7	U+8FD7	迗
uni8FD8	U+8FD8	还
uni8FD9	U+8FD9	这
uni8FDA	U+8FDA	迚
uni8FDB	U+8FDB	进
uni8FDC	U+8FDC	远
uni8FDD	U+8FDD	违
uni8FDE	U+8FDE	连
uni8FDF	U+8FDF	迟
uni8FE0	U+8FE0	迠
uni8FE1	U+8FE1	迡
uni8FE2	U+8FE2	迢
uni8FE3	U+8FE3	迣
uni8FE4	U+8FE4	迤
uni8FE5	U+8FE5	迥
uni8FE6	U+8FE6	迦
uni8FE7	U+8FE7	迧
uni8FE8	U+8FE8	迨
uni8FE9	U+8FE9	迩
uni8FEA	U+8FEA	迪
uni8FEB	U+8FEB	迫
uni8FEC	U+8FEC	迬
uni8FED	U+8FED	迭
uni8FEE	U+8FEE	迮
uni8FEF	U+8FEF	迯
uni8FF0	U+8FF0	述
uni8FF1	U+8FF1	迱
uni8FF2	U+8FF2	迲
uni8FF3	U+8FF3	迳
uni8FF4	U+8FF4	迴
uni8FF5	U+8FF5	迵
uni8FF6	U+8FF6	迶
uni8FF7	U+8FF7	迷
uni8FF8	U+8FF8	迸
uni8FF9	U+8FF9	迹
uni8FFA	U+8FFA	迺
uni8FFB	U+8FFB	迻
uni8FFC	U+8FFC	迼
uni8FFD	U+8FFD	追
uni8FFE	U+8FFE	迾
uni8FFF	U+8FFF	迿
uni9000	U+9000	退
uni9001	U+9001	送
uni9002	U+9002	适
uni9003	U+9003	逃
uni9004	U+9004	逄
uni9005	U+9005	逅
uni9006	U+9006	逆
uni9007	U+9007	逇
uni9008	U+9008	逈
uni9009	U+9009	选
uni900A	U+900A	逊
uni900B	U+900B	逋
uni900C	U+900C	逌
uni900D	U+900D	逍
uni900E	U+900E	逎
uni900F	U+900F	透
uni9010	U+9010	逐
uni9011	U+9011	逑
uni9012	U+9012	递
uni9013	U+9013	逓
uni9014	U+9014	途
uni9015	U+9015	逕
uni9016	U+9016	逖
uni9017	U+9017	逗
uni9018	U+9018	逘
uni9019	U+9019	這
uni901A	U+901A	通
