uni3220	U+3220	㈠
uni3221	U+3221	㈡
uni3222	U+3222	㈢
uni3223	U+3223	㈣
uni3224	U+3224	㈤
uni3225	U+3225	㈥
uni3226	U+3226	㈦
uni3227	U+3227	㈧
uni3228	U+3228	㈨
uni3229	U+3229	㈩
uni322A	U+322A	㈪
uni322B	U+322B	㈫
uni322C	U+322C	㈬
uni322D	U+322D	㈭
uni322E	U+322E	㈮
uni322F	U+322F	㈯
uni3230	U+3230	㈰
uni3231	U+3231	㈱
uni3232	U+3232	㈲
uni3233	U+3233	㈳
uni3234	U+3234	㈴
uni3235	U+3235	㈵
uni3236	U+3236	㈶
uni3237	U+3237	㈷
uni3238	U+3238	㈸
uni3239	U+3239	㈹
uni323A	U+323A	㈺
uni323B	U+323B	㈻
uni323C	U+323C	㈼
uni323D	U+323D	㈽
uni323E	U+323E	㈾
uni323F	U+323F	㈿
uni3240	U+3240	㉀
uni3241	U+3241	㉁
uni3242	U+3242	㉂
uni3243	U+3243	㉃
uni32FF	U+32FF	㋿
uni337B	U+337B	㍻
uni337C	U+337C	㍼
uni337D	U+337D	㍽
uni337E	U+337E	㍾
uni337F	U+337F	㍿
glyph26407	uni73CA	珊
glyph61896	uni5026	倦
glyph61897	uni50C5	僅
glyph61898	uni5132	儲
glyph61899	uni514E	兎
glyph61900	uni51A4	冤
glyph61901	uni537F	卿
glyph61902	uni53A9	厩
glyph61903	uni53C9	叉
glyph61904	uni53DB	叛
glyph61905	uni53DF	叟
glyph61906	uni54AC	咬
glyph61907	uni54E8	哨
glyph61908	uni55B0	喰
glyph61909	uni5632	嘲
glyph61910	uni5642	噂
glyph61911	uni564C	噌
glyph61912	uni56C0	囀
glyph61913	uni5835	堵
glyph61915	uni5A29	娩
glyph61916	uni5C51	屑
glyph61917	uni5C60	屠
glyph61918	uni5DF7	巷
glyph61919	uni5E96	庖
glyph61920	uni5EDF	廟
glyph61921	uni5EFB	廻
glyph61922	uni5F98	徘
glyph61923	uni5FBD	徽
glyph61924	uni6062	恢
glyph61926	uni6108	愈
glyph61927	uni6241	扁
glyph61928	uni633A	挺
glyph61929	uni633D	挽
glyph61930	uni6357	捗
glyph61931	uni6372	捲
glyph61932	uni63C3	揃
glyph61933	uni646F	摯
glyph61934	uni647A	摺
glyph61935	uni64B0	撰
glyph61936	uni64E2	擢
glyph61937	uni65A7	斧
glyph61938	uni6666	晦
glyph61940	uni6753	杓
glyph61941	uni6756	杖
glyph61942	uni6897	梗
glyph61943	uni6962	楢
glyph61944	uni696F	楯
glyph61945	uni698A	榊
glyph61946	uni6994	榔
glyph61947	uni69CC	槌
glyph61948	uni6A0B	樋
glyph61949	uni6A3D	樽
glyph61950	uni6ADB	櫛
glyph61951	uni6B4E	歎
glyph61952	uni6C72	汲
glyph61953	uni6DEB	淫
glyph61954	uni6EA2	溢
glyph61955	uni6EBA	溺
glyph61956	uni6F23	漣
glyph61957	uni7015	瀕
glyph61958	uni701E	瀞
glyph61959	uni7026	瀦
glyph61960	uni7058	灘
glyph61961	uni7078	灸
glyph61962	uni707C	灼
glyph61963	uni7149	煉
glyph61964	uni714E	煎
glyph61966	uni717D	煽
glyph61967	uni723A	爺
glyph61968	uni724C	牌
glyph61969	uni2F5B	⽛
glyph61970	uni72E1	狡
glyph61971	uni7337	猷
glyph61972	uni7511	甑
glyph61973	uni7515	甕
glyph61974	uni7526	甦
glyph61975	uni75BC	疼
glyph61976	uni77A5	瞥
glyph61977	uni7941	祁
glyph61978	uni7947	祇
glyph61979	uni79B0	禰
glyph61980	uni79E4	秤
glyph61981	uni7A17	稗
glyph61982	uni7A7F	穿
glyph61983	uni7AC8	竈
glyph61984	uni7B08	笈
glyph61985	uni7B75	筵
glyph61986	uni7BAD	箭
glyph61987	uni7BB8	箸
glyph61988	uni7BC7	篇
glyph61989	uni7BDD	篝
glyph61990	uni7C3E	簾
glyph61991	uni7C7E	籾
glyph61992	uni7C82	粂
glyph61993	uni7FEB	翫
glyph61994	uni7FF0	翰
glyph61995	uni8171	腱
glyph61996	uni817F	腿
glyph61997	uni8258	艘
glyph61998	uni8292	芒
glyph61999	uni82A6	芦
glyph62000	uni8328	茨
glyph62001	uni845B	葛
glyph62002	uni84EC	蓬
glyph62003	uni8511	蔑
glyph62004	uni853D	蔽
glyph62005	uni85A9	薩
glyph62006	uni85AF	薯
glyph62007	uni85F7	藷
glyph62008	uni8654	虔
glyph62009	uni86F8	蛸
glyph62010	uni8703	蜃
glyph62011	uni8755	蝕
glyph62012	uni8805	蠅
glyph62013	uni8956	襖
glyph62014	uni8A0A	訊
glyph62015	uni8A1D	訝
glyph62016	uni8A3B	註
glyph62017	uni8A6E	詮
glyph62018	uni8AB9	誹
glyph62019	uni8AFA	諺
glyph62020	uni8B0E	謎
glyph62021	uni8B2C	謬
glyph62023	uni8C79	豹
glyph62024	uni8CED	賭
glyph62025	uni8FBB	辻
glyph62026	uni8FBF	辿
glyph62027	uni8FC2	迂
glyph62028	uni8FC4	迄
glyph62029	uni8FE6	迦
glyph62030	uni9017	逗
glyph62031	uni9019	這
glyph62032	uni9022	逢
glyph62033	uni903C	逼
glyph62034	uni9041	遁
glyph62035	uni905C	遜
glyph62036	uni9061	遡
glyph62037	uni912D	鄭
glyph62038	uni914B	酋
glyph62039	uni91DC	釜
glyph62040	uni9306	錆
glyph62041	uni9375	鍵
glyph62042	uni939A	鎚
glyph62043	uni9453	鑓
glyph62044	uni9699	隙
glyph62045	uni9771	靱
glyph62046	uni9784	鞄
glyph62047	uni9798	鞘
glyph62048	uni97AD	鞭
