uni8794	U+8794	螔
uni8795	U+8795	螕
uni8796	U+8796	螖
uni8797	U+8797	螗
uni8798	U+8798	螘
uni8799	U+8799	螙
uni879A	U+879A	螚
uni879B	U+879B	螛
uni879C	U+879C	螜
uni879D	U+879D	螝
uni879E	U+879E	螞
uni879F	U+879F	螟
uni87A0	U+87A0	螠
uni87A1	U+87A1	螡
uni87A2	U+87A2	螢
uni87A3	U+87A3	螣
uni87A4	U+87A4	螤
uni87A5	U+87A5	螥
uni87A6	U+87A6	螦
uni87A7	U+87A7	螧
uni87A8	U+87A8	螨
uni87A9	U+87A9	螩
uni87AA	U+87AA	螪
uni87AB	U+87AB	螫
uni87AC	U+87AC	螬
uni87AD	U+87AD	螭
uni87AE	U+87AE	螮
uni87AF	U+87AF	螯
uni87B0	U+87B0	螰
uni87B1	U+87B1	螱
uni87B2	U+87B2	螲
uni87B3	U+87B3	螳
uni87B4	U+87B4	螴
uni87B5	U+87B5	螵
uni87B6	U+87B6	螶
uni87B7	U+87B7	螷
uni87B8	U+87B8	螸
uni87B9	U+87B9	螹
uni87BA	U+87BA	螺
uni87BB	U+87BB	螻
uni87BC	U+87BC	螼
uni87BD	U+87BD	螽
uni87BE	U+87BE	螾
uni87BF	U+87BF	螿
uni87C0	U+87C0	蟀
uni87C1	U+87C1	蟁
uni87C2	U+87C2	蟂
uni87C3	U+87C3	蟃
uni87C4	U+87C4	蟄
uni87C5	U+87C5	蟅
uni87C6	U+87C6	蟆
uni87C7	U+87C7	蟇
uni87C8	U+87C8	蟈
uni87C9	U+87C9	蟉
uni87CA	U+87CA	蟊
uni87CB	U+87CB	蟋
uni87CC	U+87CC	蟌
uni87CD	U+87CD	蟍
uni87CE	U+87CE	蟎
uni87CF	U+87CF	蟏
uni87D0	U+87D0	蟐
uni87D1	U+87D1	蟑
uni87D2	U+87D2	蟒
uni87D3	U+87D3	蟓
uni87D4	U+87D4	蟔
uni87D5	U+87D5	蟕
uni87D6	U+87D6	蟖
uni87D7	U+87D7	蟗
uni87D8	U+87D8	蟘
uni87D9	U+87D9	蟙
uni87DA	U+87DA	蟚
uni87DB	U+87DB	蟛
uni87DC	U+87DC	蟜
uni87DD	U+87DD	蟝
uni87DE	U+87DE	蟞
uni87DF	U+87DF	蟟
uni87E0	U+87E0	蟠
uni87E1	U+87E1	蟡
uni87E2	U+87E2	蟢
uni87E3	U+87E3	蟣
uni87E4	U+87E4	蟤
uni87E5	U+87E5	蟥
uni87E6	U+87E6	蟦
uni87E7	U+87E7	蟧
uni87E8	U+87E8	蟨
uni87E9	U+87E9	蟩
uni87EA	U+87EA	蟪
uni87EB	U+87EB	蟫
uni87EC	U+87EC	蟬
uni87ED	U+87ED	蟭
uni87EE	U+87EE	蟮
uni87EF	U+87EF	蟯
uni87F0	U+87F0	蟰
uni87F1	U+87F1	蟱
uni87F2	U+87F2	蟲
uni87F3	U+87F3	蟳
uni87F4	U+87F4	蟴
uni87F5	U+87F5	蟵
uni87F6	U+87F6	蟶
uni87F7	U+87F7	蟷
uni87F8	U+87F8	蟸
uni87F9	U+87F9	蟹
uni87FA	U+87FA	蟺
uni87FB	U+87FB	蟻
uni87FC	U+87FC	蟼
uni87FD	U+87FD	蟽
uni87FE	U+87FE	蟾
uni87FF	U+87FF	蟿
uni8800	U+8800	蠀
uni8801	U+8801	蠁
uni8802	U+8802	蠂
uni8803	U+8803	蠃
uni8804	U+8804	蠄
uni8805	U+8805	蠅
uni8806	U+8806	蠆
uni8807	U+8807	蠇
