uniFA14	U+FA14	﨔
uniFA18	U+FA18	礼
uniFA1F	U+FA1F	﨟
uniFA20	U+FA20	蘒
uniFA21	U+FA21	﨡
uniFA23	U+FA23	﨣
uniFA24	U+FA24	﨤
uniFA25	U+FA25	逸
uniFA27	U+FA27	﨧
uniFA28	U+FA28	﨨
uniFA29	U+FA29	﨩
uniFA2D	U+FA2D	鶴
uniFA32	U+FA32	免
uniFA3E	U+FA3E	慨
uniFA40	U+FA40	懲
uniFA42	U+FA42	既
uniFA56	U+FA56	節
uniFA58	U+FA58	縉
uniFA69	U+FA69	響
uniFA6B	U+FA6B	恵
uniFA6C	U+FA6C	𤋮
uniFA6D	U+FA6D	舘
uni2000B	U+2000B	𠀋
uni20021	U+20021	𠀡
uni20024	U+20024	𠀤
uni2003E	U+2003E	𠀾
uni20046	U+20046	𠁆
uni2004E	U+2004E	𠁎
uni20068	U+20068	𠁨
uni20086	U+20086	𠂆
uni20087	U+20087	𠂇
uni20089	U+20089	𠂉
uni2008A	U+2008A	𠂊
uni20094	U+20094	𠂔
uni200A2	U+200A2	𠂢
uni200A4	U+200A4	𠂤
uni200B0	U+200B0	𠂰
uni200CA	U+200CA	𠃊
uni200CB	U+200CB	𠃋
uni200CC	U+200CC	𠃌
uni200CD	U+200CD	𠃍
uni200D1	U+200D1	𠃑
uni200D7	U+200D7	𠃗
uni200EE	U+200EE	𠃮
uni200F5	U+200F5	𠃵
uni2010C	U+2010C	𠄌
uni2010E	U+2010E	𠄎
uni20118	U+20118	𠄘
uni2012C	U+2012C	𠄬
uni20158	U+20158	𠅘
uni20164	U+20164	𠅤
uni201A2	U+201A2	𠆢
uni201A4	U+201A4	𠆤
uni201A9	U+201A9	𠆩
uni201AB	U+201AB	𠆫
uni201C1	U+201C1	𠇁
uni201D4	U+201D4	𠇔
uni201F2	U+201F2	𠇲
uni20204	U+20204	𠈄
uni2020C	U+2020C	𠈌
uni20213	U+20213	𠈓
uni20214	U+20214	𠈔
uni20239	U+20239	𠈹
uni2025B	U+2025B	𠉛
uni20274	U+20274	𠉴
uni20275	U+20275	𠉵
uni2028E	U+2028E	𠊎
uni20299	U+20299	𠊙
uni2029E	U+2029E	𠊞
uni202A0	U+202A0	𠊠
uni202B7	U+202B7	𠊷
uni202BF	U+202BF	𠊿
uni202C0	U+202C0	𠋀
uni202E5	U+202E5	𠋥
uni2030A	U+2030A	𠌊
uni20325	U+20325	𠌥
uni2032B	U+2032B	𠌫
uni20341	U+20341	𠍁
uni20345	U+20345	𠍅
uni20346	U+20346	𠍆
uni20347	U+20347	𠍇
uni20371	U+20371	𠍱
uni2037E	U+2037E	𠍾
uni2037F	U+2037F	𠍿
uni20380	U+20380	𠎀
uni20381	U+20381	𠎁
uni203A0	U+203A0	𠎠
uni203A7	U+203A7	𠎧
uni203B5	U+203B5	𠎵
uni203C9	U+203C9	𠏉
uni203CB	U+203CB	𠏋
uni203F5	U+203F5	𠏵
uni203F9	U+203F9	𠏹
uni203FC	U+203FC	𠏼
uni20413	U+20413	𠐓
uni20414	U+20414	𠐔
uni2041F	U+2041F	𠐟
uni2042D	U+2042D	𠐭
uni2044A	U+2044A	𠑊
uni20465	U+20465	𠑥
uni20487	U+20487	𠒇
uni2048E	U+2048E	𠒎
uni20491	U+20491	𠒑
uni20492	U+20492	𠒒
uni204A3	U+204A3	𠒣
uni204D7	U+204D7	𠓗
uni204FC	U+204FC	𠓼
uni204FE	U+204FE	𠓾
uni20509	U+20509	𠔉
uni2053F	U+2053F	𠔿
uni20547	U+20547	𠕇
uni2058E	U+2058E	𠖎
uni205A5	U+205A5	𠖥
uni205B1	U+205B1	𠖱
uni205B3	U+205B3	𠖳
uni205C3	U+205C3	𠗃
uni205CA	U+205CA	𠗊
uni205D0	U+205D0	𠗐
uni205D5	U+205D5	𠗕
uni205D6	U+205D6	𠗖
uni205DF	U+205DF	𠗟
uni205E0	U+205E0	𠗠
uni205EB	U+205EB	𠗫
uni20611	U+20611	𠘑
uni20615	U+20615	𠘕
uni20619	U+20619	𠘙
uni2061A	U+2061A	𠘚
uni20630	U+20630	𠘰
uni20656	U+20656	𠙖
uni20676	U+20676	𠙶
uni206EC	U+206EC	𠛬
uni2070E	U+2070E	𠜎
uni20731	U+20731	𠜱
uni2074F	U+2074F	𠝏
uni20779	U+20779	𠝹
uni207C8	U+207C8	𠟈
uni20807	U+20807	𠠇
uni2082C	U+2082C	𠠬
uni2083A	U+2083A	𠠺
uni20873	U+20873	𠡳
uni208B9	U+208B9	𠢹
uni208D5	U+208D5	𠣕
uni2090E	U+2090E	𠤎
uni20916	U+20916	𠤖
uni20923	U+20923	𠤣
uni20954	U+20954	𠥔
uni20979	U+20979	𠥹
uni2097C	U+2097C	𠥼
uni20984	U+20984	𠦄
uni2099D	U+2099D	𠦝
uni209E7	U+209E7	𠧧
uni20A11	U+20A11	𠨑
uni20A50	U+20A50	𠩐
uni20A64	U+20A64	𠩤
uni20A6F	U+20A6F	𠩯
uni20A8A	U+20A8A	𠪊
uni20AB4	U+20AB4	𠪴
uni20AC2	U+20AC2	𠫂
uni20ACD	U+20ACD	𠫍
uni20AD3	U+20AD3	𠫓
uni20B0D	U+20B0D	𠬍
uni20B1D	U+20B1D	𠬝
uni20B8F	U+20B8F	𠮏
uni20B9F	U+20B9F	𠮟
uni20BA8	U+20BA8	𠮨
uni20BA9	U+20BA9	𠮩
uni20BB7	U+20BB7	𠮷
uni20BBF	U+20BBF	𠮿
uni20BC6	U+20BC6	𠯆
uni20BCB	U+20BCB	𠯋
uni20BE2	U+20BE2	𠯢
uni20BEB	U+20BEB	𠯫
uni20BFB	U+20BFB	𠯻
uni20BFF	U+20BFF	𠯿
uni20C0B	U+20C0B	𠰋
uni20C0D	U+20C0D	𠰍
uni20C20	U+20C20	𠰠
uni20C34	U+20C34	𠰴
uni20C3A	U+20C3A	𠰺
uni20C3B	U+20C3B	𠰻
uni20C41	U+20C41	𠱁
uni20C42	U+20C42	𠱂
uni20C43	U+20C43	𠱃
uni20C53	U+20C53	𠱓
uni20C65	U+20C65	𠱥
uni20C77	U+20C77	𠱷
uni20C78	U+20C78	𠱸
uni20C7C	U+20C7C	𠱼
uni20C8D	U+20C8D	𠲍
uni20C96	U+20C96	𠲖
uni20C9C	U+20C9C	𠲜
uni20CB5	U+20CB5	𠲵
uni20CB8	U+20CB8	𠲸
uni20CCF	U+20CCF	𠳏
