uni3A9C	U+3A9C	㪜
uni3A9D	U+3A9D	㪝
uni3A9E	U+3A9E	㪞
uni3A9F	U+3A9F	㪟
uni3AA0	U+3AA0	㪠
uni3AA1	U+3AA1	㪡
uni3AA2	U+3AA2	㪢
uni3AA3	U+3AA3	㪣
uni3AA4	U+3AA4	㪤
uni3AA5	U+3AA5	㪥
uni3AA6	U+3AA6	㪦
uni3AA7	U+3AA7	㪧
uni3AA8	U+3AA8	㪨
uni3AA9	U+3AA9	㪩
uni3AAA	U+3AAA	㪪
uni3AAB	U+3AAB	㪫
uni3AAC	U+3AAC	㪬
uni3AAD	U+3AAD	㪭
uni3AAE	U+3AAE	㪮
uni3AAF	U+3AAF	㪯
uni3AB0	U+3AB0	㪰
uni3AB1	U+3AB1	㪱
uni3AB2	U+3AB2	㪲
uni3AB3	U+3AB3	㪳
uni3AB4	U+3AB4	㪴
uni3AB5	U+3AB5	㪵
uni3AB6	U+3AB6	㪶
uni3AB7	U+3AB7	㪷
uni3AB8	U+3AB8	㪸
uni3AB9	U+3AB9	㪹
uni3ABA	U+3ABA	㪺
uni3ABB	U+3ABB	㪻
uni3ABC	U+3ABC	㪼
uni3ABD	U+3ABD	㪽
uni3ABE	U+3ABE	㪾
uni3ABF	U+3ABF	㪿
uni3AC0	U+3AC0	㫀
uni3AC1	U+3AC1	㫁
uni3AC2	U+3AC2	㫂
uni3AC3	U+3AC3	㫃
uni3AC4	U+3AC4	㫄
uni3AC5	U+3AC5	㫅
uni3AC6	U+3AC6	㫆
uni3AC7	U+3AC7	㫇
uni3AC8	U+3AC8	㫈
uni3AC9	U+3AC9	㫉
uni3ACA	U+3ACA	㫊
uni3ACB	U+3ACB	㫋
uni3ACC	U+3ACC	㫌
uni3ACD	U+3ACD	㫍
uni3ACE	U+3ACE	㫎
uni3ACF	U+3ACF	㫏
uni3AD0	U+3AD0	㫐
uni3AD1	U+3AD1	㫑
uni3AD2	U+3AD2	㫒
uni3AD3	U+3AD3	㫓
uni3AD4	U+3AD4	㫔
uni3AD5	U+3AD5	㫕
uni3AD6	U+3AD6	㫖
uni3AD7	U+3AD7	㫗
uni3AD8	U+3AD8	㫘
uni3AD9	U+3AD9	㫙
uni3ADA	U+3ADA	㫚
uni3ADB	U+3ADB	㫛
uni3ADC	U+3ADC	㫜
uni3ADD	U+3ADD	㫝
uni3ADE	U+3ADE	㫞
uni3ADF	U+3ADF	㫟
uni3AE0	U+3AE0	㫠
uni3AE1	U+3AE1	㫡
uni3AE2	U+3AE2	㫢
uni3AE3	U+3AE3	㫣
uni3AE4	U+3AE4	㫤
uni3AE5	U+3AE5	㫥
uni3AE6	U+3AE6	㫦
uni3AE7	U+3AE7	㫧
uni3AE8	U+3AE8	㫨
uni3AE9	U+3AE9	㫩
uni3AEA	U+3AEA	㫪
uni3AEB	U+3AEB	㫫
uni3AEC	U+3AEC	㫬
uni3AED	U+3AED	㫭
uni3AEE	U+3AEE	㫮
uni3AEF	U+3AEF	㫯
uni3AF0	U+3AF0	㫰
uni3AF1	U+3AF1	㫱
uni3AF2	U+3AF2	㫲
uni3AF3	U+3AF3	㫳
uni3AF4	U+3AF4	㫴
uni3AF5	U+3AF5	㫵
uni3AF6	U+3AF6	㫶
uni3AF7	U+3AF7	㫷
uni3AF8	U+3AF8	㫸
uni3AF9	U+3AF9	㫹
uni3AFA	U+3AFA	㫺
uni3AFB	U+3AFB	㫻
uni3AFC	U+3AFC	㫼
uni3AFD	U+3AFD	㫽
uni3AFE	U+3AFE	㫾
uni3AFF	U+3AFF	㫿
uni3B00	U+3B00	㬀
uni3B01	U+3B01	㬁
uni3B02	U+3B02	㬂
uni3B03	U+3B03	㬃
uni3B04	U+3B04	㬄
uni3B05	U+3B05	㬅
uni3B06	U+3B06	㬆
uni3B07	U+3B07	㬇
uni3B08	U+3B08	㬈
uni3B09	U+3B09	㬉
uni3B0A	U+3B0A	㬊
uni3B0B	U+3B0B	㬋
uni3B0C	U+3B0C	㬌
uni3B0D	U+3B0D	㬍
uni3B0E	U+3B0E	㬎
uni3B0F	U+3B0F	㬏
uni3B10	U+3B10	㬐
uni3B11	U+3B11	㬑
uni3B12	U+3B12	㬒
uni3B13	U+3B13	㬓
uni3B14	U+3B14	㬔
uni3B15	U+3B15	㬕
uni3B16	U+3B16	㬖
uni3B17	U+3B17	㬗
uni3B18	U+3B18	㬘
uni3B19	U+3B19	㬙
uni3B1A	U+3B1A	㬚
uni3B1B	U+3B1B	㬛
uni3B1C	U+3B1C	㬜
uni3B1D	U+3B1D	㬝
uni3B1E	U+3B1E	㬞
uni3B1F	U+3B1F	㬟
uni3B20	U+3B20	㬠
uni3B21	U+3B21	㬡
uni3B22	U+3B22	㬢
uni3B23	U+3B23	㬣
uni3B24	U+3B24	㬤
uni3B25	U+3B25	㬥
