uni4A9E	U+4A9E	䪞
uni4A9F	U+4A9F	䪟
uni4AA0	U+4AA0	䪠
uni4AA1	U+4AA1	䪡
uni4AA2	U+4AA2	䪢
uni4AA3	U+4AA3	䪣
uni4AA4	U+4AA4	䪤
uni4AA5	U+4AA5	䪥
uni4AA6	U+4AA6	䪦
uni4AA7	U+4AA7	䪧
uni4AA8	U+4AA8	䪨
uni4AA9	U+4AA9	䪩
uni4AAA	U+4AAA	䪪
uni4AAB	U+4AAB	䪫
uni4AAC	U+4AAC	䪬
uni4AAD	U+4AAD	䪭
uni4AAE	U+4AAE	䪮
uni4AAF	U+4AAF	䪯
uni4AB0	U+4AB0	䪰
uni4AB1	U+4AB1	䪱
uni4AB2	U+4AB2	䪲
uni4AB3	U+4AB3	䪳
uni4AB4	U+4AB4	䪴
uni4AB5	U+4AB5	䪵
uni4AB6	U+4AB6	䪶
uni4AB7	U+4AB7	䪷
uni4AB8	U+4AB8	䪸
uni4AB9	U+4AB9	䪹
uni4ABA	U+4ABA	䪺
uni4ABB	U+4ABB	䪻
uni4ABC	U+4ABC	䪼
uni4ABD	U+4ABD	䪽
uni4ABE	U+4ABE	䪾
uni4ABF	U+4ABF	䪿
uni4AC0	U+4AC0	䫀
uni4AC1	U+4AC1	䫁
uni4AC2	U+4AC2	䫂
uni4AC3	U+4AC3	䫃
uni4AC4	U+4AC4	䫄
uni4AC5	U+4AC5	䫅
uni4AC6	U+4AC6	䫆
uni4AC7	U+4AC7	䫇
uni4AC8	U+4AC8	䫈
uni4AC9	U+4AC9	䫉
uni4ACA	U+4ACA	䫊
uni4ACB	U+4ACB	䫋
uni4ACC	U+4ACC	䫌
uni4ACD	U+4ACD	䫍
uni4ACE	U+4ACE	䫎
uni4ACF	U+4ACF	䫏
uni4AD0	U+4AD0	䫐
uni4AD1	U+4AD1	䫑
uni4AD2	U+4AD2	䫒
uni4AD3	U+4AD3	䫓
uni4AD4	U+4AD4	䫔
uni4AD5	U+4AD5	䫕
uni4AD6	U+4AD6	䫖
uni4AD7	U+4AD7	䫗
uni4AD8	U+4AD8	䫘
uni4AD9	U+4AD9	䫙
uni4ADA	U+4ADA	䫚
uni4ADB	U+4ADB	䫛
uni4ADC	U+4ADC	䫜
uni4ADD	U+4ADD	䫝
uni4ADE	U+4ADE	䫞
uni4ADF	U+4ADF	䫟
uni4AE0	U+4AE0	䫠
uni4AE1	U+4AE1	䫡
uni4AE2	U+4AE2	䫢
uni4AE3	U+4AE3	䫣
uni4AE4	U+4AE4	䫤
uni4AE5	U+4AE5	䫥
uni4AE6	U+4AE6	䫦
uni4AE7	U+4AE7	䫧
uni4AE8	U+4AE8	䫨
uni4AE9	U+4AE9	䫩
uni4AEA	U+4AEA	䫪
uni4AEB	U+4AEB	䫫
uni4AEC	U+4AEC	䫬
uni4AED	U+4AED	䫭
uni4AEE	U+4AEE	䫮
uni4AEF	U+4AEF	䫯
uni4AF0	U+4AF0	䫰
uni4AF1	U+4AF1	䫱
uni4AF2	U+4AF2	䫲
uni4AF3	U+4AF3	䫳
uni4AF4	U+4AF4	䫴
uni4AF5	U+4AF5	䫵
uni4AF6	U+4AF6	䫶
uni4AF7	U+4AF7	䫷
uni4AF8	U+4AF8	䫸
uni4AF9	U+4AF9	䫹
uni4AFA	U+4AFA	䫺
uni4AFB	U+4AFB	䫻
uni4AFC	U+4AFC	䫼
uni4AFD	U+4AFD	䫽
uni4AFE	U+4AFE	䫾
uni4AFF	U+4AFF	䫿
uni4B00	U+4B00	䬀
uni4B01	U+4B01	䬁
uni4B02	U+4B02	䬂
uni4B03	U+4B03	䬃
uni4B04	U+4B04	䬄
uni4B05	U+4B05	䬅
uni4B06	U+4B06	䬆
uni4B07	U+4B07	䬇
uni4B08	U+4B08	䬈
uni4B09	U+4B09	䬉
uni4B0A	U+4B0A	䬊
uni4B0B	U+4B0B	䬋
uni4B0C	U+4B0C	䬌
uni4B0D	U+4B0D	䬍
uni4B0E	U+4B0E	䬎
uni4B0F	U+4B0F	䬏
uni4B10	U+4B10	䬐
uni4B11	U+4B11	䬑
uni4B12	U+4B12	䬒
uni4B13	U+4B13	䬓
uni4B14	U+4B14	䬔
uni4B15	U+4B15	䬕
uni4B16	U+4B16	䬖
uni4B17	U+4B17	䬗
uni4B18	U+4B18	䬘
uni4B19	U+4B19	䬙
uni4B1A	U+4B1A	䬚
uni4B1B	U+4B1B	䬛
uni4B1C	U+4B1C	䬜
uni4B1D	U+4B1D	䬝
uni4B1E	U+4B1E	䬞
uni4B1F	U+4B1F	䬟
uni4B20	U+4B20	䬠
uni4B21	U+4B21	䬡
uni4B22	U+4B22	䬢
uni4B23	U+4B23	䬣
uni4B24	U+4B24	䬤
