uni570E	U+570E	圎
uni570F	U+570F	圏
uni5710	U+5710	圐
uni5711	U+5711	圑
uni5712	U+5712	園
uni5713	U+5713	圓
uni5714	U+5714	圔
uni5715	U+5715	圕
uni5716	U+5716	圖
uni5717	U+5717	圗
uni5718	U+5718	團
uni5719	U+5719	圙
uni571A	U+571A	圚
uni571B	U+571B	圛
uni571C	U+571C	圜
uni571D	U+571D	圝
uni571E	U+571E	圞
uni5720	U+5720	圠
uni5721	U+5721	圡
uni5722	U+5722	圢
uni5723	U+5723	圣
uni5724	U+5724	圤
uni5725	U+5725	圥
uni5726	U+5726	圦
uni5727	U+5727	圧
uni5728	U+5728	在
uni5729	U+5729	圩
uni572A	U+572A	圪
uni572B	U+572B	圫
uni572C	U+572C	圬
uni572D	U+572D	圭
uni572E	U+572E	圮
uni572F	U+572F	圯
uni5730	U+5730	地
uni5731	U+5731	圱
uni5732	U+5732	圲
uni5733	U+5733	圳
uni5734	U+5734	圴
uni5735	U+5735	圵
uni5736	U+5736	圶
uni5737	U+5737	圷
uni5738	U+5738	圸
uni5739	U+5739	圹
uni573A	U+573A	场
uni573B	U+573B	圻
uni573C	U+573C	圼
uni573D	U+573D	圽
uni573E	U+573E	圾
uni573F	U+573F	圿
uni5740	U+5740	址
uni5741	U+5741	坁
uni5742	U+5742	坂
uni5743	U+5743	坃
uni5744	U+5744	坄
uni5745	U+5745	坅
uni5746	U+5746	坆
uni5747	U+5747	均
uni5748	U+5748	坈
uni5749	U+5749	坉
uni574A	U+574A	坊
uni574B	U+574B	坋
uni574C	U+574C	坌
uni574D	U+574D	坍
uni574E	U+574E	坎
uni574F	U+574F	坏
uni5750	U+5750	坐
uni5751	U+5751	坑
uni5752	U+5752	坒
uni5753	U+5753	坓
uni5754	U+5754	坔
uni5755	U+5755	坕
uni5756	U+5756	坖
uni5757	U+5757	块
uni5758	U+5758	坘
uni5759	U+5759	坙
uni575A	U+575A	坚
uni575B	U+575B	坛
uni575C	U+575C	坜
uni575D	U+575D	坝
uni575E	U+575E	坞
uni575F	U+575F	坟
uni5760	U+5760	坠
uni5761	U+5761	坡
uni5762	U+5762	坢
uni5763	U+5763	坣
uni5764	U+5764	坤
uni5765	U+5765	坥
uni5766	U+5766	坦
uni5767	U+5767	坧
uni5768	U+5768	坨
uni5769	U+5769	坩
uni576A	U+576A	坪
uni576B	U+576B	坫
uni576C	U+576C	坬
uni576D	U+576D	坭
uni576E	U+576E	坮
uni576F	U+576F	坯
uni5770	U+5770	坰
uni5771	U+5771	坱
uni5772	U+5772	坲
uni5773	U+5773	坳
uni5774	U+5774	坴
uni5775	U+5775	坵
uni5776	U+5776	坶
uni5777	U+5777	坷
uni5778	U+5778	坸
uni5779	U+5779	坹
uni577A	U+577A	坺
uni577B	U+577B	坻
uni577C	U+577C	坼
uni577D	U+577D	坽
uni577E	U+577E	坾
uni577F	U+577F	坿
uni5780	U+5780	垀
uni5781	U+5781	垁
uni5782	U+5782	垂
