uni5B16	U+5B16	嬖
uni5B17	U+5B17	嬗
uni5B18	U+5B18	嬘
uni5B19	U+5B19	嬙
uni5B1A	U+5B1A	嬚
uni5B1B	U+5B1B	嬛
uni5B1C	U+5B1C	嬜
uni5B1D	U+5B1D	嬝
uni5B1E	U+5B1E	嬞
uni5B1F	U+5B1F	嬟
uni5B20	U+5B20	嬠
uni5B21	U+5B21	嬡
uni5B22	U+5B22	嬢
uni5B23	U+5B23	嬣
uni5B24	U+5B24	嬤
uni5B25	U+5B25	嬥
uni5B26	U+5B26	嬦
uni5B27	U+5B27	嬧
uni5B28	U+5B28	嬨
uni5B29	U+5B29	嬩
uni5B2A	U+5B2A	嬪
uni5B2B	U+5B2B	嬫
uni5B2C	U+5B2C	嬬
uni5B2D	U+5B2D	嬭
uni5B2E	U+5B2E	嬮
uni5B2F	U+5B2F	嬯
uni5B30	U+5B30	嬰
uni5B31	U+5B31	嬱
uni5B32	U+5B32	嬲
uni5B33	U+5B33	嬳
uni5B34	U+5B34	嬴
uni5B35	U+5B35	嬵
uni5B36	U+5B36	嬶
uni5B37	U+5B37	嬷
uni5B38	U+5B38	嬸
uni5B39	U+5B39	嬹
uni5B3A	U+5B3A	嬺
uni5B3B	U+5B3B	嬻
uni5B3C	U+5B3C	嬼
uni5B3D	U+5B3D	嬽
uni5B3E	U+5B3E	嬾
uni5B3F	U+5B3F	嬿
uni5B40	U+5B40	孀
uni5B41	U+5B41	孁
uni5B42	U+5B42	孂
uni5B43	U+5B43	孃
uni5B44	U+5B44	孄
uni5B45	U+5B45	孅
uni5B46	U+5B46	孆
uni5B47	U+5B47	孇
uni5B48	U+5B48	孈
uni5B49	U+5B49	孉
uni5B4A	U+5B4A	孊
uni5B4B	U+5B4B	孋
uni5B4C	U+5B4C	孌
uni5B4D	U+5B4D	孍
uni5B4E	U+5B4E	孎
uni5B4F	U+5B4F	孏
uni5B51	U+5B51	孑
uni5B52	U+5B52	孒
uni5B53	U+5B53	孓
uni5B54	U+5B54	孔
uni5B55	U+5B55	孕
uni5B56	U+5B56	孖
uni5B57	U+5B57	字
uni5B58	U+5B58	存
uni5B59	U+5B59	孙
uni5B5A	U+5B5A	孚
uni5B5B	U+5B5B	孛
uni5B5C	U+5B5C	孜
uni5B5D	U+5B5D	孝
uni5B5E	U+5B5E	孞
uni5B5F	U+5B5F	孟
uni5B60	U+5B60	孠
uni5B61	U+5B61	孡
uni5B62	U+5B62	孢
uni5B63	U+5B63	季
uni5B64	U+5B64	孤
uni5B65	U+5B65	孥
uni5B66	U+5B66	学
uni5B67	U+5B67	孧
uni5B68	U+5B68	孨
uni5B69	U+5B69	孩
uni5B6A	U+5B6A	孪
uni5B6B	U+5B6B	孫
uni5B6C	U+5B6C	孬
uni5B6D	U+5B6D	孭
uni5B6E	U+5B6E	孮
uni5B6F	U+5B6F	孯
uni5B70	U+5B70	孰
uni5B71	U+5B71	孱
uni5B72	U+5B72	孲
uni5B73	U+5B73	孳
uni5B74	U+5B74	孴
uni5B75	U+5B75	孵
uni5B76	U+5B76	孶
uni5B77	U+5B77	孷
uni5B78	U+5B78	學
uni5B79	U+5B79	孹
uni5B7A	U+5B7A	孺
uni5B7B	U+5B7B	孻
uni5B7C	U+5B7C	孼
uni5B7D	U+5B7D	孽
uni5B7E	U+5B7E	孾
uni5B7F	U+5B7F	孿
uni5B81	U+5B81	宁
uni5B82	U+5B82	宂
uni5B83	U+5B83	它
uni5B84	U+5B84	宄
uni5B85	U+5B85	宅
uni5B86	U+5B86	宆
uni5B87	U+5B87	宇
uni5B88	U+5B88	守
uni5B89	U+5B89	安
uni5B8A	U+5B8A	宊
uni5B8B	U+5B8B	宋
uni5B8C	U+5B8C	完
uni5B8D	U+5B8D	宍
uni5B8E	U+5B8E	宎
uni5B8F	U+5B8F	宏
uni5B90	U+5B90	宐
uni5B91	U+5B91	宑
uni5B92	U+5B92	宒
uni5B93	U+5B93	宓
uni5B94	U+5B94	宔
uni5B95	U+5B95	宕
uni5B96	U+5B96	宖
uni5B97	U+5B97	宗
uni5B98	U+5B98	官
uni5B99	U+5B99	宙
uni5B9A	U+5B9A	定
uni5B9B	U+5B9B	宛
uni5B9C	U+5B9C	宜
uni5B9D	U+5B9D	宝
uni5B9E	U+5B9E	实
uni5B9F	U+5B9F	実
uni5BA0	U+5BA0	宠
uni5BA1	U+5BA1	审
uni5BA2	U+5BA2	客
uni5BA3	U+5BA3	宣
uni5BA4	U+5BA4	室
uni5BA5	U+5BA5	宥
uni5BA6	U+5BA6	宦
uni5BA7	U+5BA7	宧
uni5BA8	U+5BA8	宨
uni5BA9	U+5BA9	宩
uni5BAA	U+5BAA	宪
uni5BAB	U+5BAB	宫
uni5BAC	U+5BAC	宬
uni5BAD	U+5BAD	宭
uni5BAE	U+5BAE	宮
uni5BAF	U+5BAF	宯
uni5BB0	U+5BB0	宰
uni5BB1	U+5BB1	宱
uni5BB2	U+5BB2	宲
uni5BB3	U+5BB3	害
uni5BB4	U+5BB4	宴
uni5BB5	U+5BB5	宵
uni5BB6	U+5BB6	家
uni5BB7	U+5BB7	宷
uni5BB8	U+5BB8	宸
uni5BB9	U+5BB9	容
uni5BBA	U+5BBA	宺
uni5BBB	U+5BBB	宻
uni5BBC	U+5BBC	宼
uni5BBD	U+5BBD	宽
uni5BBE	U+5BBE	宾
uni5BBF	U+5BBF	宿
uni5BC0	U+5BC0	寀
uni5BC1	U+5BC1	寁
uni5BC2	U+5BC2	寂
uni5BC3	U+5BC3	寃
uni5BC4	U+5BC4	寄
uni5BC5	U+5BC5	寅
uni5BC6	U+5BC6	密
uni5BC7	U+5BC7	寇
uni5BC8	U+5BC8	寈
uni5BC9	U+5BC9	寉
uni5BCA	U+5BCA	寊
uni5BCB	U+5BCB	寋
uni5BCC	U+5BCC	富
uni5BCD	U+5BCD	寍
uni5BCE	U+5BCE	寎
uni5BCF	U+5BCF	寏
uni5BD0	U+5BD0	寐
uni5BD1	U+5BD1	寑
uni5BD2	U+5BD2	寒
uni5BD3	U+5BD3	寓
uni5BD4	U+5BD4	寔
uni5BD5	U+5BD5	寕
uni5BD6	U+5BD6	寖
uni5BD7	U+5BD7	寗
uni5BD8	U+5BD8	寘
uni5BD9	U+5BD9	寙
uni5BDA	U+5BDA	寚
uni5BDB	U+5BDB	寛
uni5BDC	U+5BDC	寜
uni5BDD	U+5BDD	寝
uni5BDE	U+5BDE	寞
uni5BDF	U+5BDF	察
uni5BE0	U+5BE0	寠
uni5BE1	U+5BE1	寡
uni5BE2	U+5BE2	寢
uni5BE3	U+5BE3	寣
