uni7360	U+7360	獠
uni7361	U+7361	獡
uni7362	U+7362	獢
uni7363	U+7363	獣
uni7364	U+7364	獤
uni7365	U+7365	獥
uni7366	U+7366	獦
uni7367	U+7367	獧
uni7368	U+7368	獨
uni7369	U+7369	獩
uni736A	U+736A	獪
uni736B	U+736B	獫
uni736C	U+736C	獬
uni736D	U+736D	獭
uni736E	U+736E	獮
uni736F	U+736F	獯
uni7370	U+7370	獰
uni7371	U+7371	獱
uni7372	U+7372	獲
uni7373	U+7373	獳
uni7374	U+7374	獴
uni7375	U+7375	獵
uni7376	U+7376	獶
uni7377	U+7377	獷
uni7378	U+7378	獸
uni7379	U+7379	獹
uni737A	U+737A	獺
uni737B	U+737B	獻
uni737C	U+737C	獼
uni737D	U+737D	獽
uni737E	U+737E	獾
uni737F	U+737F	獿
uni7380	U+7380	玀
uni7381	U+7381	玁
uni7382	U+7382	玂
uni7383	U+7383	玃
uni7385	U+7385	玅
uni7386	U+7386	玆
uni7387	U+7387	率
uni7388	U+7388	玈
uni738A	U+738A	玊
uni738B	U+738B	王
uni738C	U+738C	玌
uni738D	U+738D	玍
uni738E	U+738E	玎
uni738F	U+738F	玏
uni7390	U+7390	玐
uni7391	U+7391	玑
uni7392	U+7392	玒
uni7393	U+7393	玓
uni7394	U+7394	玔
uni7395	U+7395	玕
uni7396	U+7396	玖
uni7397	U+7397	玗
uni7398	U+7398	玘
uni7399	U+7399	玙
uni739A	U+739A	玚
uni739B	U+739B	玛
uni739C	U+739C	玜
uni739D	U+739D	玝
uni739E	U+739E	玞
uni739F	U+739F	玟
uni73A0	U+73A0	玠
uni73A1	U+73A1	玡
uni73A2	U+73A2	玢
uni73A3	U+73A3	玣
uni73A4	U+73A4	玤
uni73A5	U+73A5	玥
uni73A6	U+73A6	玦
uni73A7	U+73A7	玧
uni73A8	U+73A8	玨
uni73A9	U+73A9	玩
uni73AA	U+73AA	玪
uni73AB	U+73AB	玫
uni73AC	U+73AC	玬
uni73AD	U+73AD	玭
uni73AE	U+73AE	玮
uni73AF	U+73AF	环
uni73B0	U+73B0	现
uni73B1	U+73B1	玱
uni73B2	U+73B2	玲
uni73B3	U+73B3	玳
uni73B4	U+73B4	玴
uni73B5	U+73B5	玵
uni73B6	U+73B6	玶
uni73B7	U+73B7	玷
uni73B8	U+73B8	玸
uni73B9	U+73B9	玹
uni73BA	U+73BA	玺
uni73BB	U+73BB	玻
uni73BC	U+73BC	玼
uni73BD	U+73BD	玽
uni73BE	U+73BE	玾
uni73BF	U+73BF	玿
uni73C0	U+73C0	珀
uni73C1	U+73C1	珁
uni73C2	U+73C2	珂
uni73C3	U+73C3	珃
uni73C4	U+73C4	珄
uni73C5	U+73C5	珅
uni73C6	U+73C6	珆
uni73C7	U+73C7	珇
uni73C8	U+73C8	珈
uni73C9	U+73C9	珉
uni73CA	U+73CA	珊
uni73CB	U+73CB	珋
uni73CC	U+73CC	珌
uni73CD	U+73CD	珍
uni73CE	U+73CE	珎
uni73CF	U+73CF	珏
uni73D0	U+73D0	珐
uni73D1	U+73D1	珑
uni73D2	U+73D2	珒
uni73D3	U+73D3	珓
uni73D4	U+73D4	珔
uni73D5	U+73D5	珕
uni73D6	U+73D6	珖
uni73D7	U+73D7	珗
uni73D8	U+73D8	珘
uni73D9	U+73D9	珙
uni73DA	U+73DA	珚
uni73DB	U+73DB	珛
uni73DC	U+73DC	珜
uni73DD	U+73DD	珝
uni73DE	U+73DE	珞
uni73DF	U+73DF	珟
uni73E0	U+73E0	珠
uni73E1	U+73E1	珡
uni73E2	U+73E2	珢
uni73E3	U+73E3	珣
uni73E4	U+73E4	珤
uni73E5	U+73E5	珥
uni73E6	U+73E6	珦
uni73E7	U+73E7	珧
uni73E8	U+73E8	珨
uni73E9	U+73E9	珩
uni73EA	U+73EA	珪
uni73EB	U+73EB	珫
uni73EC	U+73EC	珬
uni73ED	U+73ED	班
uni73EE	U+73EE	珮
uni73EF	U+73EF	珯
uni73F0	U+73F0	珰
uni73F1	U+73F1	珱
uni73F2	U+73F2	珲
uni73F3	U+73F3	珳
uni73F4	U+73F4	珴
uni73F5	U+73F5	珵
uni73F6	U+73F6	珶
uni73F7	U+73F7	珷
uni73F8	U+73F8	珸
uni73F9	U+73F9	珹
uni73FA	U+73FA	珺
uni73FB	U+73FB	珻
uni73FC	U+73FC	珼
uni73FD	U+73FD	珽
uni73FE	U+73FE	現
uni73FF	U+73FF	珿
uni7400	U+7400	琀
uni7401	U+7401	琁
uni7402	U+7402	琂
uni7403	U+7403	球
uni7404	U+7404	琄
uni7405	U+7405	琅
uni7406	U+7406	理
uni7407	U+7407	琇
uni7408	U+7408	琈
uni7409	U+7409	琉
uni740A	U+740A	琊
uni740B	U+740B	琋
uni740C	U+740C	琌
uni740D	U+740D	琍
uni740E	U+740E	琎
uni740F	U+740F	琏
uni7410	U+7410	琐
uni7411	U+7411	琑
uni7412	U+7412	琒
uni7413	U+7413	琓
uni7414	U+7414	琔
uni7415	U+7415	琕
uni7416	U+7416	琖
uni7417	U+7417	琗
uni7418	U+7418	琘
uni7419	U+7419	琙
uni741A	U+741A	琚
uni741B	U+741B	琛
uni741C	U+741C	琜
uni741D	U+741D	琝
uni741E	U+741E	琞
uni741F	U+741F	琟
uni7420	U+7420	琠
uni7421	U+7421	琡
uni7422	U+7422	琢
uni7423	U+7423	琣
uni7424	U+7424	琤
uni7425	U+7425	琥
uni7426	U+7426	琦
uni7427	U+7427	琧
uni7428	U+7428	琨
uni7429	U+7429	琩
uni742A	U+742A	琪
uni742B	U+742B	琫
uni742C	U+742C	琬
uni742D	U+742D	琭
uni742E	U+742E	琮
uni742F	U+742F	琯
uni7430	U+7430	琰
uni7431	U+7431	琱
uni7432	U+7432	琲
uni7433	U+7433	琳
uni7434	U+7434	琴
uni7435	U+7435	琵
uni7436	U+7436	琶
uni7437	U+7437	琷
uni7438	U+7438	琸
uni7439	U+7439	琹
uni743A	U+743A	琺
uni743B	U+743B	琻
uni743C	U+743C	琼
uni743D	U+743D	琽
uni743E	U+743E	琾
uni743F	U+743F	琿
uni7440	U+7440	瑀
uni7441	U+7441	瑁
uni7442	U+7442	瑂
uni7443	U+7443	瑃
uni7444	U+7444	瑄
uni7445	U+7445	瑅
uni7446	U+7446	瑆
uni7447	U+7447	瑇
uni7448	U+7448	瑈
uni7449	U+7449	瑉
uni744A	U+744A	瑊
uni744B	U+744B	瑋
uni744C	U+744C	瑌
uni744D	U+744D	瑍
uni744E	U+744E	瑎
uni744F	U+744F	瑏
uni7450	U+7450	瑐
uni7451	U+7451	瑑
uni7452	U+7452	瑒
uni7453	U+7453	瑓
uni7454	U+7454	瑔
uni7455	U+7455	瑕
uni7456	U+7456	瑖
uni7457	U+7457	瑗
uni7458	U+7458	瑘
uni7459	U+7459	瑙
uni745A	U+745A	瑚
uni745B	U+745B	瑛
uni745C	U+745C	瑜
uni745D	U+745D	瑝
uni745E	U+745E	瑞
uni745F	U+745F	瑟
uni7460	U+7460	瑠
uni7461	U+7461	瑡
uni7462	U+7462	瑢
uni7463	U+7463	瑣
uni7464	U+7464	瑤
uni7465	U+7465	瑥
uni7466	U+7466	瑦
uni7467	U+7467	瑧
uni7468	U+7468	瑨
uni7469	U+7469	瑩
uni746A	U+746A	瑪
uni746B	U+746B	瑫
uni746C	U+746C	瑬
uni746D	U+746D	瑭
uni746E	U+746E	瑮
uni746F	U+746F	瑯
uni7470	U+7470	瑰
uni7471	U+7471	瑱
uni7472	U+7472	瑲
uni7473	U+7473	瑳
uni7474	U+7474	瑴
uni7475	U+7475	瑵
uni7476	U+7476	瑶
uni7477	U+7477	瑷
uni7478	U+7478	瑸
uni7479	U+7479	瑹
uni747A	U+747A	瑺
uni747B	U+747B	瑻
uni747C	U+747C	瑼
uni747D	U+747D	瑽
uni747E	U+747E	瑾
uni747F	U+747F	瑿
uni7480	U+7480	璀
uni7481	U+7481	璁
uni7482	U+7482	璂
uni7483	U+7483	璃
uni7484	U+7484	璄
uni7485	U+7485	璅
uni7486	U+7486	璆
uni7487	U+7487	璇
uni7488	U+7488	璈
uni7489	U+7489	璉
uni748A	U+748A	璊
uni748B	U+748B	璋
uni748C	U+748C	璌
uni748D	U+748D	璍
uni748E	U+748E	璎
uni748F	U+748F	璏
uni7490	U+7490	璐
uni7491	U+7491	璑
uni7492	U+7492	璒
uni7493	U+7493	璓
uni7494	U+7494	璔
uni7495	U+7495	璕
uni7496	U+7496	璖
uni7497	U+7497	璗
uni7498	U+7498	璘
uni7499	U+7499	璙
uni749A	U+749A	璚
uni749B	U+749B	璛
uni749C	U+749C	璜
uni749D	U+749D	璝
