uni93B7	U+93B7	鎷
uni93B8	U+93B8	鎸
uni93B9	U+93B9	鎹
uni93BA	U+93BA	鎺
uni93BB	U+93BB	鎻
uni93BC	U+93BC	鎼
uni93BD	U+93BD	鎽
uni93BE	U+93BE	鎾
uni93BF	U+93BF	鎿
uni93C0	U+93C0	鏀
uni93C1	U+93C1	鏁
uni93C2	U+93C2	鏂
uni93C3	U+93C3	鏃
uni93C4	U+93C4	鏄
uni93C5	U+93C5	鏅
uni93C6	U+93C6	鏆
uni93C7	U+93C7	鏇
uni93C8	U+93C8	鏈
uni93C9	U+93C9	鏉
uni93CA	U+93CA	鏊
uni93CB	U+93CB	鏋
uni93CC	U+93CC	鏌
uni93CD	U+93CD	鏍
uni93CE	U+93CE	鏎
uni93CF	U+93CF	鏏
uni93D0	U+93D0	鏐
uni93D1	U+93D1	鏑
uni93D2	U+93D2	鏒
uni93D3	U+93D3	鏓
uni93D4	U+93D4	鏔
uni93D5	U+93D5	鏕
uni93D6	U+93D6	鏖
uni93D7	U+93D7	鏗
uni93D8	U+93D8	鏘
uni93D9	U+93D9	鏙
uni93DA	U+93DA	鏚
uni93DB	U+93DB	鏛
uni93DC	U+93DC	鏜
uni93DD	U+93DD	鏝
uni93DE	U+93DE	鏞
uni93DF	U+93DF	鏟
uni93E0	U+93E0	鏠
uni93E1	U+93E1	鏡
uni93E2	U+93E2	鏢
uni93E3	U+93E3	鏣
uni93E4	U+93E4	鏤
uni93E5	U+93E5	鏥
uni93E6	U+93E6	鏦
uni93E7	U+93E7	鏧
uni93E8	U+93E8	鏨
uni93E9	U+93E9	鏩
uni93EA	U+93EA	鏪
uni93EB	U+93EB	鏫
uni93EC	U+93EC	鏬
uni93ED	U+93ED	鏭
uni93EE	U+93EE	鏮
uni93EF	U+93EF	鏯
uni93F0	U+93F0	鏰
uni93F1	U+93F1	鏱
uni93F2	U+93F2	鏲
uni93F3	U+93F3	鏳
uni93F4	U+93F4	鏴
uni93F5	U+93F5	鏵
uni93F6	U+93F6	鏶
uni93F7	U+93F7	鏷
uni93F8	U+93F8	鏸
uni93F9	U+93F9	鏹
uni93FA	U+93FA	鏺
uni93FB	U+93FB	鏻
uni93FC	U+93FC	鏼
uni93FD	U+93FD	鏽
uni93FE	U+93FE	鏾
uni93FF	U+93FF	鏿
uni9400	U+9400	鐀
uni9401	U+9401	鐁
uni9402	U+9402	鐂
uni9403	U+9403	鐃
uni9404	U+9404	鐄
uni9405	U+9405	鐅
uni9406	U+9406	鐆
uni9407	U+9407	鐇
uni9408	U+9408	鐈
uni9409	U+9409	鐉
uni940A	U+940A	鐊
uni940B	U+940B	鐋
uni940C	U+940C	鐌
uni940D	U+940D	鐍
uni940E	U+940E	鐎
uni940F	U+940F	鐏
uni9410	U+9410	鐐
uni9411	U+9411	鐑
uni9412	U+9412	鐒
uni9413	U+9413	鐓
uni9414	U+9414	鐔
uni9415	U+9415	鐕
uni9416	U+9416	鐖
uni9417	U+9417	鐗
uni9418	U+9418	鐘
uni9419	U+9419	鐙
uni941A	U+941A	鐚
uni941B	U+941B	鐛
uni941C	U+941C	鐜
uni941D	U+941D	鐝
uni941E	U+941E	鐞
uni941F	U+941F	鐟
uni9420	U+9420	鐠
uni9421	U+9421	鐡
uni9422	U+9422	鐢
uni9423	U+9423	鐣
uni9424	U+9424	鐤
uni9425	U+9425	鐥
uni9426	U+9426	鐦
uni9427	U+9427	鐧
uni9428	U+9428	鐨
uni9429	U+9429	鐩
uni942A	U+942A	鐪
uni942B	U+942B	鐫
uni942C	U+942C	鐬
uni942D	U+942D	鐭
uni942E	U+942E	鐮
uni942F	U+942F	鐯
uni9430	U+9430	鐰
uni9431	U+9431	鐱
uni9432	U+9432	鐲
uni9433	U+9433	鐳
uni9434	U+9434	鐴
uni9435	U+9435	鐵
uni9436	U+9436	鐶
uni9437	U+9437	鐷
uni9438	U+9438	鐸
uni9439	U+9439	鐹
uni943A	U+943A	鐺
uni943B	U+943B	鐻
uni943C	U+943C	鐼
uni943D	U+943D	鐽
uni943E	U+943E	鐾
uni943F	U+943F	鐿
uni9440	U+9440	鑀
uni9441	U+9441	鑁
uni9442	U+9442	鑂
uni9443	U+9443	鑃
uni9444	U+9444	鑄
uni9445	U+9445	鑅
uni9446	U+9446	鑆
uni9447	U+9447	鑇
uni9448	U+9448	鑈
uni9449	U+9449	鑉
uni944A	U+944A	鑊
uni944B	U+944B	鑋
uni944C	U+944C	鑌
uni944D	U+944D	鑍
uni944E	U+944E	鑎
uni944F	U+944F	鑏
uni9450	U+9450	鑐
uni9451	U+9451	鑑
uni9452	U+9452	鑒
uni9453	U+9453	鑓
uni9454	U+9454	鑔
uni9455	U+9455	鑕
uni9456	U+9456	鑖
uni9457	U+9457	鑗
uni9458	U+9458	鑘
uni9459	U+9459	鑙
uni945A	U+945A	鑚
uni945B	U+945B	鑛
uni945C	U+945C	鑜
uni945D	U+945D	鑝
uni945E	U+945E	鑞
uni945F	U+945F	鑟
uni9460	U+9460	鑠
uni9461	U+9461	鑡
uni9462	U+9462	鑢
uni9463	U+9463	鑣
uni9464	U+9464	鑤
uni9465	U+9465	鑥
uni9466	U+9466	鑦
uni9467	U+9467	鑧
uni9468	U+9468	鑨
uni9469	U+9469	鑩
uni946A	U+946A	鑪
uni946B	U+946B	鑫
uni946C	U+946C	鑬
uni946D	U+946D	鑭
uni946E	U+946E	鑮
uni946F	U+946F	鑯
uni9470	U+9470	鑰
uni9471	U+9471	鑱
uni9472	U+9472	鑲
uni9473	U+9473	鑳
uni9474	U+9474	鑴
uni9475	U+9475	鑵
uni9476	U+9476	鑶
uni9477	U+9477	鑷
uni9478	U+9478	鑸
uni9479	U+9479	鑹
uni947A	U+947A	鑺
uni947B	U+947B	鑻
uni947C	U+947C	鑼
uni947D	U+947D	鑽
uni947E	U+947E	鑾
uni947F	U+947F	鑿
uni9480	U+9480	钀
uni9481	U+9481	钁
uni9482	U+9482	钂
uni9483	U+9483	钃
uni9484	U+9484	钄
uni9486	U+9486	钆
uni9487	U+9487	钇
uni9488	U+9488	针
uni9489	U+9489	钉
