uni9BE0	U+9BE0	鯠
uni9BE1	U+9BE1	鯡
uni9BE2	U+9BE2	鯢
uni9BE3	U+9BE3	鯣
uni9BE4	U+9BE4	鯤
uni9BE5	U+9BE5	鯥
uni9BE6	U+9BE6	鯦
uni9BE7	U+9BE7	鯧
uni9BE8	U+9BE8	鯨
uni9BE9	U+9BE9	鯩
uni9BEA	U+9BEA	鯪
uni9BEB	U+9BEB	鯫
uni9BEC	U+9BEC	鯬
uni9BED	U+9BED	鯭
uni9BEE	U+9BEE	鯮
uni9BEF	U+9BEF	鯯
uni9BF0	U+9BF0	鯰
uni9BF1	U+9BF1	鯱
uni9BF2	U+9BF2	鯲
uni9BF3	U+9BF3	鯳
uni9BF4	U+9BF4	鯴
uni9BF5	U+9BF5	鯵
uni9BF6	U+9BF6	鯶
uni9BF7	U+9BF7	鯷
uni9BF8	U+9BF8	鯸
uni9BF9	U+9BF9	鯹
uni9BFA	U+9BFA	鯺
uni9BFB	U+9BFB	鯻
uni9BFC	U+9BFC	鯼
uni9BFD	U+9BFD	鯽
uni9BFE	U+9BFE	鯾
uni9BFF	U+9BFF	鯿
uni9C00	U+9C00	鰀
uni9C01	U+9C01	鰁
uni9C02	U+9C02	鰂
uni9C03	U+9C03	鰃
uni9C04	U+9C04	鰄
uni9C05	U+9C05	鰅
uni9C06	U+9C06	鰆
uni9C07	U+9C07	鰇
uni9C08	U+9C08	鰈
uni9C09	U+9C09	鰉
uni9C0A	U+9C0A	鰊
uni9C0B	U+9C0B	鰋
uni9C0C	U+9C0C	鰌
uni9C0D	U+9C0D	鰍
uni9C0E	U+9C0E	鰎
uni9C0F	U+9C0F	鰏
uni9C10	U+9C10	鰐
uni9C11	U+9C11	鰑
uni9C12	U+9C12	鰒
uni9C13	U+9C13	鰓
uni9C14	U+9C14	鰔
uni9C15	U+9C15	鰕
uni9C16	U+9C16	鰖
uni9C17	U+9C17	鰗
uni9C18	U+9C18	鰘
uni9C19	U+9C19	鰙
uni9C1A	U+9C1A	鰚
uni9C1B	U+9C1B	鰛
uni9C1C	U+9C1C	鰜
uni9C1D	U+9C1D	鰝
uni9C1E	U+9C1E	鰞
uni9C1F	U+9C1F	鰟
uni9C20	U+9C20	鰠
uni9C21	U+9C21	鰡
uni9C22	U+9C22	鰢
uni9C23	U+9C23	鰣
uni9C24	U+9C24	鰤
uni9C25	U+9C25	鰥
uni9C26	U+9C26	鰦
uni9C27	U+9C27	鰧
uni9C28	U+9C28	鰨
uni9C29	U+9C29	鰩
uni9C2A	U+9C2A	鰪
uni9C2B	U+9C2B	鰫
uni9C2C	U+9C2C	鰬
uni9C2D	U+9C2D	鰭
uni9C2E	U+9C2E	鰮
uni9C2F	U+9C2F	鰯
uni9C30	U+9C30	鰰
uni9C31	U+9C31	鰱
uni9C32	U+9C32	鰲
uni9C33	U+9C33	鰳
uni9C34	U+9C34	鰴
uni9C35	U+9C35	鰵
uni9C36	U+9C36	鰶
uni9C37	U+9C37	鰷
uni9C38	U+9C38	鰸
uni9C39	U+9C39	鰹
uni9C3A	U+9C3A	鰺
uni9C3B	U+9C3B	鰻
uni9C3C	U+9C3C	鰼
uni9C3D	U+9C3D	鰽
uni9C3E	U+9C3E	鰾
uni9C3F	U+9C3F	鰿
uni9C40	U+9C40	鱀
uni9C41	U+9C41	鱁
uni9C42	U+9C42	鱂
uni9C43	U+9C43	鱃
uni9C44	U+9C44	鱄
uni9C45	U+9C45	鱅
uni9C46	U+9C46	鱆
uni9C47	U+9C47	鱇
uni9C48	U+9C48	鱈
uni9C49	U+9C49	鱉
uni9C4A	U+9C4A	鱊
uni9C4B	U+9C4B	鱋
uni9C4C	U+9C4C	鱌
uni9C4D	U+9C4D	鱍
uni9C4E	U+9C4E	鱎
uni9C4F	U+9C4F	鱏
uni9C50	U+9C50	鱐
uni9C51	U+9C51	鱑
uni9C52	U+9C52	鱒
uni9C53	U+9C53	鱓
uni9C54	U+9C54	鱔
uni9C55	U+9C55	鱕
uni9C56	U+9C56	鱖
uni9C57	U+9C57	鱗
uni9C58	U+9C58	鱘
uni9C59	U+9C59	鱙
uni9C5A	U+9C5A	鱚
uni9C5B	U+9C5B	鱛
uni9C5C	U+9C5C	鱜
uni9C5D	U+9C5D	鱝
uni9C5E	U+9C5E	鱞
uni9C5F	U+9C5F	鱟
uni9C60	U+9C60	鱠
uni9C61	U+9C61	鱡
uni9C62	U+9C62	鱢
uni9C63	U+9C63	鱣
uni9C64	U+9C64	鱤
uni9C65	U+9C65	鱥
uni9C66	U+9C66	鱦
uni9C67	U+9C67	鱧
uni9C68	U+9C68	鱨
uni9C69	U+9C69	鱩
uni9C6A	U+9C6A	鱪
uni9C6B	U+9C6B	鱫
uni9C6C	U+9C6C	鱬
uni9C6D	U+9C6D	鱭
uni9C6E	U+9C6E	鱮
uni9C6F	U+9C6F	鱯
uni9C70	U+9C70	鱰
uni9C71	U+9C71	鱱
uni9C72	U+9C72	鱲
uni9C73	U+9C73	鱳
uni9C74	U+9C74	鱴
uni9C75	U+9C75	鱵
uni9C76	U+9C76	鱶
uni9C77	U+9C77	鱷
uni9C78	U+9C78	鱸
uni9C79	U+9C79	鱹
uni9C7A	U+9C7A	鱺
uni9C7B	U+9C7B	鱻
uni9C7D	U+9C7D	鱽
uni9C7E	U+9C7E	鱾
uni9C7F	U+9C7F	鱿
uni9C80	U+9C80	鲀
uni9C81	U+9C81	鲁
uni9C82	U+9C82	鲂
uni9C83	U+9C83	鲃
uni9C84	U+9C84	鲄
uni9C85	U+9C85	鲅
uni9C86	U+9C86	鲆
uni9C87	U+9C87	鲇
uni9C88	U+9C88	鲈
uni9C89	U+9C89	鲉
uni9C8A	U+9C8A	鲊
uni9C8B	U+9C8B	鲋
uni9C8C	U+9C8C	鲌
uni9C8D	U+9C8D	鲍
uni9C8E	U+9C8E	鲎
uni9C8F	U+9C8F	鲏
uni9C90	U+9C90	鲐
uni9C91	U+9C91	鲑
uni9C92	U+9C92	鲒
uni9C93	U+9C93	鲓
uni9C94	U+9C94	鲔
uni9C95	U+9C95	鲕
uni9C96	U+9C96	鲖
uni9C97	U+9C97	鲗
uni9C98	U+9C98	鲘
uni9C99	U+9C99	鲙
uni9C9A	U+9C9A	鲚
uni9C9B	U+9C9B	鲛
uni9C9C	U+9C9C	鲜
uni9C9D	U+9C9D	鲝
uni9C9E	U+9C9E	鲞
uni9C9F	U+9C9F	鲟
uni9CA0	U+9CA0	鲠
uni9CA1	U+9CA1	鲡
uni9CA2	U+9CA2	鲢
uni9CA3	U+9CA3	鲣
uni9CA4	U+9CA4	鲤
uni9CA5	U+9CA5	鲥
