uniF914	U+F914	樂
uniF916	U+F916	烙
uniF91B	U+F91B	亂
uniF91C	U+F91C	卵
uniF91D	U+F91D	欄
uniF91E	U+F91E	爛
uniF91F	U+F91F	蘭
uniF920	U+F920	鸞
uniF922	U+F922	濫
uniF923	U+F923	藍
uniF924	U+F924	襤
uniF925	U+F925	拉
uniF926	U+F926	臘
uniF927	U+F927	蠟
uniF928	U+F928	廊
uniF929	U+F929	朗
uniF92A	U+F92A	浪
uniF92B	U+F92B	狼
uniF92E	U+F92E	冷
uniF930	U+F930	擄
uniF936	U+F936	虜
uniF93B	U+F93B	碌
uniF93C	U+F93C	祿
uniF93D	U+F93D	綠
uniF93E	U+F93E	菉
uniF93F	U+F93F	錄
uniF940	U+F940	鹿
uniF941	U+F941	論
uniF942	U+F942	壟
uniF944	U+F944	籠
uniF945	U+F945	聾
uniF946	U+F946	牢
uniF94B	U+F94B	屢
uniF94C	U+F94C	樓
uniF94D	U+F94D	淚
uniF94F	U+F94F	累
uniF950	U+F950	縷
uniF951	U+F951	陋
uniF954	U+F954	凜
uniF955	U+F955	凌
uniF956	U+F956	稜
uniF957	U+F957	綾
uniF958	U+F958	菱
uniF959	U+F959	陵
uniF95A	U+F95A	讀
uniF95B	U+F95B	拏
uniF95D	U+F95D	諾
uniF95F	U+F95F	寧
uniF960	U+F960	怒
uniF961	U+F961	率
uniF968	U+F968	泌
uniF969	U+F969	數
uniF96A	U+F96A	索
uniF96B	U+F96B	參
uniF96C	U+F96C	塞
uniF96D	U+F96D	省
uniF96F	U+F96F	說
uniF970	U+F970	殺
uniF971	U+F971	辰
uniF973	U+F973	拾
uniF975	U+F975	掠
uniF977	U+F977	亮
uniF978	U+F978	兩
uniF97C	U+F97C	良
uniF97D	U+F97D	諒
uniF981	U+F981	女
uniF982	U+F982	廬
uniF983	U+F983	旅
uniF986	U+F986	閭
uniF987	U+F987	驪
uniF988	U+F988	麗
uniF989	U+F989	黎
uniF98D	U+F98D	轢
uniF98F	U+F98F	憐
uniF990	U+F990	戀
uniF991	U+F991	撚
uniF992	U+F992	漣
uniF994	U+F994	璉
uniF996	U+F996	練
uniF997	U+F997	聯
uniF999	U+F999	蓮
uniF99A	U+F99A	連
uniF99B	U+F99B	鍊
uniF99C	U+F99C	列
uniF99D	U+F99D	劣
uniF99E	U+F99E	咽
uniF99F	U+F99F	烈
uniF9A0	U+F9A0	裂
uniF9A2	U+F9A2	廉
uniF9A3	U+F9A3	念
uniF9A4	U+F9A4	捻
uniF9A5	U+F9A5	殮
uniF9A6	U+F9A6	簾
uniF9A7	U+F9A7	獵
uniF9A8	U+F9A8	令
uniF9A9	U+F9A9	囹
uniF9AB	U+F9AB	嶺
uniF9AC	U+F9AC	怜
uniF9AD	U+F9AD	玲
uniF9AF	U+F9AF	羚
uniF9B0	U+F9B0	聆
uniF9B1	U+F9B1	鈴
uniF9B2	U+F9B2	零
uniF9B4	U+F9B4	領
uniF9B5	U+F9B5	例
uniF9B6	U+F9B6	禮
uniF9B8	U+F9B8	隸
uniF9B9	U+F9B9	惡
uniF9BA	U+F9BA	了
uniF9BC	U+F9BC	寮
uniF9C1	U+F9C1	療
uniF9C2	U+F9C2	蓼
uniF9C3	U+F9C3	遼
uniF9C4	U+F9C4	龍
uniF9C7	U+F9C7	劉
uniF9C8	U+F9C8	杻
uniF9C9	U+F9C9	柳
uniF9CA	U+F9CA	流
uniF9CB	U+F9CB	溜
uniF9CC	U+F9CC	琉
uniF9CD	U+F9CD	留
uniF9CE	U+F9CE	硫
uniF9CF	U+F9CF	紐
uniF9D1	U+F9D1	六
uniF9D2	U+F9D2	戮
uniF9D3	U+F9D3	陸
uniF9D4	U+F9D4	倫
uniF9D5	U+F9D5	崙
uniF9D6	U+F9D6	淪
uniF9D7	U+F9D7	輪
uniF9DA	U+F9DA	栗
uniF9E1	U+F9E1	李
uniF9E5	U+F9E5	痢
uniF9E6	U+F9E6	罹
uniF9E8	U+F9E8	裡
uniF9EA	U+F9EA	離
uniF9EB	U+F9EB	匿
uniF9EC	U+F9EC	溺
uniF9ED	U+F9ED	吝
uniF9EE	U+F9EE	燐
uniF9EF	U+F9EF	璘
uniF9F0	U+F9F0	藺
uniF9F2	U+F9F2	鱗
uniF9F3	U+F9F3	麟
uniF9F6	U+F9F6	臨
uniF9F7	U+F9F7	立
uniF9F8	U+F9F8	笠
uniF9F9	U+F9F9	粒
uniF9FB	U+F9FB	炙
uniF9FC	U+F9FC	識
uniF9FE	U+F9FE	茶
uniFA00	U+FA00	切
uniFA01	U+FA01	度
uniFA03	U+FA03	糖
uniFA04	U+FA04	宅
uniFA09	U+FA09	降
uniFA0B	U+FA0B	廓
uniFA0E	U+FA0E	﨎
uniFA0F	U+FA0F	﨏
uniFA10	U+FA10	塚
uniFA11	U+FA11	﨑
uniFA12	U+FA12	晴
uniFA13	U+FA13	﨓
uniFA14	U+FA14	﨔
uniFA15	U+FA15	凞
uniFA16	U+FA16	猪
uniFA17	U+FA17	益
