uni2365F	U+2365F	𣙟
uni23677	U+23677	𣙷
uni2368E	U+2368E	𣚎
uni2369E	U+2369E	𣚞
uni236A6	U+236A6	𣚦
uni236AD	U+236AD	𣚭
uni236BA	U+236BA	𣚺
uni236DF	U+236DF	𣛟
uni236EE	U+236EE	𣛮
uni23703	U+23703	𣜃
uni2370C	U+2370C	𣜌
uni23716	U+23716	𣜖
uni2371C	U+2371C	𣜜
uni23720	U+23720	𣜠
uni2372D	U+2372D	𣜭
uni2372F	U+2372F	𣜯
uni2373F	U+2373F	𣜿
uni23763	U+23763	𣝣
uni23764	U+23764	𣝤
uni23766	U+23766	𣝦
uni23781	U+23781	𣞁
uni237A2	U+237A2	𣞢
uni237BC	U+237BC	𣞼
uni237C2	U+237C2	𣟂
uni237D5	U+237D5	𣟕
uni237D6	U+237D6	𣟖
uni237D7	U+237D7	𣟗
uni237E7	U+237E7	𣟧
uni237F1	U+237F1	𣟱
uni237FF	U+237FF	𣟿
uni23824	U+23824	𣠤
uni2383A	U+2383A	𣠺
uni2383D	U+2383D	𣠽
uni239C2	U+239C2	𣧂
uni23A98	U+23A98	𣪘
uni23AA7	U+23AA7	𣪧
uni23AD9	U+23AD9	𣫙
uni23ADB	U+23ADB	𣫛
uni23AEE	U+23AEE	𣫮
uni23AFA	U+23AFA	𣫺
uni23B1A	U+23B1A	𣬚
uni23B5A	U+23B5A	𣭚
uni23C63	U+23C63	𣱣
uni23C7F	U+23C7F	𣱿
uni23C97	U+23C97	𣲗
uni23C98	U+23C98	𣲘
uni23C99	U+23C99	𣲙
uni23C9A	U+23C9A	𣲚
uni23C9B	U+23C9B	𣲛
uni23CB5	U+23CB5	𣲵
uni23CB7	U+23CB7	𣲷
uni23CBE	U+23CBE	𣲾
uni23CC7	U+23CC7	𣳇
uni23CC8	U+23CC8	𣳈
uni23CC9	U+23CC9	𣳉
uni23CFC	U+23CFC	𣳼
uni23CFD	U+23CFD	𣳽
uni23CFE	U+23CFE	𣳾
