uni28A44	U+28A44	𨩄
uni28A45	U+28A45	𨩅
uni28A46	U+28A46	𨩆
uni28A47	U+28A47	𨩇
uni28A48	U+28A48	𨩈
uni28A49	U+28A49	𨩉
uni28A4A	U+28A4A	𨩊
uni28A4B	U+28A4B	𨩋
uni28A59	U+28A59	𨩙
uni28A5A	U+28A5A	𨩚
uni28A71	U+28A71	𨩱
uni28A81	U+28A81	𨪁
uni28A82	U+28A82	𨪂
uni28A83	U+28A83	𨪃
uni28A99	U+28A99	𨪙
uni28A9A	U+28A9A	𨪚
uni28A9B	U+28A9B	𨪛
uni28A9C	U+28A9C	𨪜
uni28AC0	U+28AC0	𨫀
uni28AC6	U+28AC6	𨫆
uni28ACB	U+28ACB	𨫋
uni28ACC	U+28ACC	𨫌
uni28ACD	U+28ACD	𨫍
uni28ACE	U+28ACE	𨫎
uni28ADD	U+28ADD	𨫝
uni28ADE	U+28ADE	𨫞
uni28ADF	U+28ADF	𨫟
uni28AE0	U+28AE0	𨫠
uni28AE1	U+28AE1	𨫡
uni28AE2	U+28AE2	𨫢
uni28AE3	U+28AE3	𨫣
uni28AE4	U+28AE4	𨫤
uni28AE5	U+28AE5	𨫥
uni28AEA	U+28AEA	𨫪
uni28AFC	U+28AFC	𨫼
uni28B0C	U+28B0C	𨬌
uni28B13	U+28B13	𨬓
uni28B21	U+28B21	𨬡
uni28B22	U+28B22	𨬢
uni28B2B	U+28B2B	𨬫
uni28B2C	U+28B2C	𨬬
uni28B2D	U+28B2D	𨬭
uni28B2F	U+28B2F	𨬯
uni28B46	U+28B46	𨭆
uni28B49	U+28B49	𨭉
uni28B4C	U+28B4C	𨭌
uni28B4E	U+28B4E	𨭎
uni28B50	U+28B50	𨭐
uni28B63	U+28B63	𨭣
uni28B64	U+28B64	𨭤
uni28B65	U+28B65	𨭥
uni28B66	U+28B66	𨭦
uni28B6C	U+28B6C	𨭬
uni28B8F	U+28B8F	𨮏
uni28B99	U+28B99	𨮙
uni28B9C	U+28B9C	𨮜
uni28B9D	U+28B9D	𨮝
uni28BB9	U+28BB9	𨮹
uni28BC1	U+28BC1	𨯁
uni28BC2	U+28BC2	𨯂
uni28BC5	U+28BC5	𨯅
uni28BD4	U+28BD4	𨯔
uni28BD7	U+28BD7	𨯗
uni28BD9	U+28BD9	𨯙
uni28BDA	U+28BDA	𨯚
uni28BE7	U+28BE7	𨯧
uni28BE8	U+28BE8	𨯨
uni28BE9	U+28BE9	𨯩
uni28BEA	U+28BEA	𨯪
uni28BEB	U+28BEB	𨯫
uni28BEC	U+28BEC	𨯬
uni28BEF	U+28BEF	𨯯
uni28BF5	U+28BF5	𨯵
uni28BFF	U+28BFF	𨯿
uni28C03	U+28C03	𨰃
uni28C09	U+28C09	𨰉
uni28C1C	U+28C1C	𨰜
uni28C1D	U+28C1D	𨰝
uni28C23	U+28C23	𨰣
uni28C26	U+28C26	𨰦
uni28C2B	U+28C2B	𨰫
uni28C30	U+28C30	𨰰
uni28C39	U+28C39	𨰹
uni28C3B	U+28C3B	𨰻
uni28C47	U+28C47	𨱇
uni28C4F	U+28C4F	𨱏
uni28C51	U+28C51	𨱑
uni28C54	U+28C54	𨱔
uni28CCA	U+28CCA	𨳊
uni28CCD	U+28CCD	𨳍
uni28CD2	U+28CD2	𨳒
uni28CDD	U+28CDD	𨳝
uni28D10	U+28D10	𨴐
uni28D34	U+28D34	𨴴
uni28D71	U+28D71	𨵱
uni28D8A	U+28D8A	𨶊
uni28D99	U+28D99	𨶙
uni28DA1	U+28DA1	𨶡
uni28DB9	U+28DB9	𨶹
uni28DFB	U+28DFB	𨷻
uni28E17	U+28E17	𨸗
uni28E1F	U+28E1F	𨸟
uni28E36	U+28E36	𨸶
uni28E39	U+28E39	𨸹
uni28E65	U+28E65	𨹥
uni28E66	U+28E66	𨹦
uni28E89	U+28E89	𨺉
uni28E97	U+28E97	𨺗
uni28E99	U+28E99	𨺙
uni28EAC	U+28EAC	𨺬
uni28EB2	U+28EB2	𨺲
uni28EB3	U+28EB3	𨺳
uni28ED9	U+28ED9	𨻙
uni28EE7	U+28EE7	𨻧
uni28EEB	U+28EEB	𨻫
uni28EF6	U+28EF6	𨻶
uni28F32	U+28F32	𨼲
uni28FC5	U+28FC5	𨿅
uni28FF8	U+28FF8	𨿸
uni29079	U+29079	𩁹
uni29088	U+29088	𩂈
uni2908B	U+2908B	𩂋
uni29093	U+29093	𩂓
