uni3220	U+3220	㈠
uni3221	U+3221	㈡
uni3222	U+3222	㈢
uni3223	U+3223	㈣
uni3224	U+3224	㈤
uni3225	U+3225	㈥
uni3226	U+3226	㈦
uni3227	U+3227	㈧
uni3228	U+3228	㈨
uni3229	U+3229	㈩
uni322A	U+322A	㈪
uni322B	U+322B	㈫
uni322C	U+322C	㈬
uni322D	U+322D	㈭
uni322E	U+322E	㈮
uni322F	U+322F	㈯
uni3230	U+3230	㈰
uni3231	U+3231	㈱
uni3232	U+3232	㈲
uni3233	U+3233	㈳
uni3234	U+3234	㈴
uni3235	U+3235	㈵
uni3236	U+3236	㈶
uni3237	U+3237	㈷
uni3238	U+3238	㈸
uni3239	U+3239	㈹
uni323A	U+323A	㈺
uni323B	U+323B	㈻
uni323C	U+323C	㈼
uni323D	U+323D	㈽
uni323E	U+323E	㈾
uni323F	U+323F	㈿
uni3240	U+3240	㉀
uni3241	U+3241	㉁
uni3242	U+3242	㉂
uni3243	U+3243	㉃
uni32FF	U+32FF	㋿
uni337B	U+337B	㍻
uni337C	U+337C	㍼
uni337D	U+337D	㍽
uni337E	U+337E	㍾
uni337F	U+337F	㍿
