uni6741	U+6741	杁
uni6742	U+6742	杂
uni6743	U+6743	权
uni6744	U+6744	杄
uni6745	U+6745	杅
uni6746	U+6746	杆
uni6747	U+6747	杇
uni6748	U+6748	杈
uni6749	U+6749	杉
uni674A	U+674A	杊
uni674B	U+674B	杋
uni674C	U+674C	杌
uni674D	U+674D	杍
uni674E	U+674E	李
uni674F	U+674F	杏
uni6750	U+6750	材
uni6751	U+6751	村
uni6752	U+6752	杒
uni6753	U+6753	杓
uni6754	U+6754	杔
uni6755	U+6755	杕
uni6756	U+6756	杖
uni6757	U+6757	杗
uni6758	U+6758	杘
uni6759	U+6759	杙
uni675A	U+675A	杚
uni675B	U+675B	杛
uni675C	U+675C	杜
uni675D	U+675D	杝
uni675E	U+675E	杞
uni675F	U+675F	束
uni6760	U+6760	杠
uni6761	U+6761	条
uni6762	U+6762	杢
uni6763	U+6763	杣
uni6764	U+6764	杤
uni6765	U+6765	来
uni6766	U+6766	杦
uni6767	U+6767	杧
uni6768	U+6768	杨
uni6769	U+6769	杩
uni676A	U+676A	杪
uni676B	U+676B	杫
uni676C	U+676C	杬
uni676D	U+676D	杭
uni676E	U+676E	杮
uni676F	U+676F	杯
uni6770	U+6770	杰
uni6771	U+6771	東
uni6772	U+6772	杲
uni6773	U+6773	杳
uni6774	U+6774	杴
uni6775	U+6775	杵
uni6776	U+6776	杶
uni6777	U+6777	杷
uni6778	U+6778	杸
uni6779	U+6779	杹
uni677A	U+677A	杺
uni677B	U+677B	杻
uni677C	U+677C	杼
uni677D	U+677D	杽
uni677E	U+677E	松
uni677F	U+677F	板
uni6780	U+6780	枀
uni6781	U+6781	极
uni6782	U+6782	枂
uni6783	U+6783	枃
uni6784	U+6784	构
uni6785	U+6785	枅
uni6786	U+6786	枆
uni6787	U+6787	枇
uni6788	U+6788	枈
uni6789	U+6789	枉
uni678A	U+678A	枊
uni678B	U+678B	枋
uni678C	U+678C	枌
uni678D	U+678D	枍
uni678E	U+678E	枎
uni678F	U+678F	枏
uni6790	U+6790	析
uni6791	U+6791	枑
uni6792	U+6792	枒
uni6793	U+6793	枓
uni6794	U+6794	枔
uni6795	U+6795	枕
uni6796	U+6796	枖
uni6797	U+6797	林
uni6798	U+6798	枘
uni6799	U+6799	枙
uni679A	U+679A	枚
uni679B	U+679B	枛
uni679C	U+679C	果
uni679D	U+679D	枝
uni679E	U+679E	枞
uni679F	U+679F	枟
uni67A0	U+67A0	枠
uni67A1	U+67A1	枡
uni67A2	U+67A2	枢
uni67A3	U+67A3	枣
uni67A4	U+67A4	枤
uni67A5	U+67A5	枥
uni67A6	U+67A6	枦
uni67A7	U+67A7	枧
uni67A8	U+67A8	枨
uni67A9	U+67A9	枩
uni67AA	U+67AA	枪
uni67AB	U+67AB	枫
uni67AC	U+67AC	枬
uni67AD	U+67AD	枭
uni67AE	U+67AE	枮
uni67AF	U+67AF	枯
uni67B0	U+67B0	枰
uni67B1	U+67B1	枱
uni67B2	U+67B2	枲
uni67B3	U+67B3	枳
uni67B4	U+67B4	枴
uni67B5	U+67B5	枵
uni67B6	U+67B6	架
uni67B7	U+67B7	枷
uni67B8	U+67B8	枸
uni67B9	U+67B9	枹
uni67BA	U+67BA	枺
uni67BB	U+67BB	枻
uni67BC	U+67BC	枼
uni67BD	U+67BD	枽
uni67BE	U+67BE	枾
uni67BF	U+67BF	枿
uni67C0	U+67C0	柀
uni67C1	U+67C1	柁
uni67C2	U+67C2	柂
uni67C3	U+67C3	柃
uni67C4	U+67C4	柄
uni67C5	U+67C5	柅
uni67C6	U+67C6	柆
uni67C7	U+67C7	柇
uni67C8	U+67C8	柈
uni67C9	U+67C9	柉
uni67CA	U+67CA	柊
uni67CB	U+67CB	柋
uni67CC	U+67CC	柌
uni67CD	U+67CD	柍
uni67CE	U+67CE	柎
uni67CF	U+67CF	柏
uni67D0	U+67D0	某
uni67D1	U+67D1	柑
uni67D2	U+67D2	柒
uni67D3	U+67D3	染
