uni6B42	U+6B42	歂
uni6B43	U+6B43	歃
uni6B44	U+6B44	歄
uni6B45	U+6B45	歅
uni6B46	U+6B46	歆
uni6B47	U+6B47	歇
uni6B48	U+6B48	歈
uni6B49	U+6B49	歉
uni6B4A	U+6B4A	歊
uni6B4B	U+6B4B	歋
uni6B4C	U+6B4C	歌
uni6B4D	U+6B4D	歍
uni6B4E	U+6B4E	歎
uni6B4F	U+6B4F	歏
uni6B50	U+6B50	歐
uni6B51	U+6B51	歑
uni6B52	U+6B52	歒
uni6B53	U+6B53	歓
uni6B54	U+6B54	歔
uni6B55	U+6B55	歕
uni6B56	U+6B56	歖
uni6B57	U+6B57	歗
uni6B58	U+6B58	歘
uni6B59	U+6B59	歙
uni6B5A	U+6B5A	歚
uni6B5B	U+6B5B	歛
uni6B5C	U+6B5C	歜
uni6B5D	U+6B5D	歝
uni6B5E	U+6B5E	歞
uni6B5F	U+6B5F	歟
uni6B60	U+6B60	歠
uni6B61	U+6B61	歡
uni6B63	U+6B63	正
uni6B64	U+6B64	此
uni6B65	U+6B65	步
uni6B66	U+6B66	武
uni6B67	U+6B67	歧
uni6B68	U+6B68	歨
uni6B69	U+6B69	歩
uni6B6A	U+6B6A	歪
uni6B6B	U+6B6B	歫
uni6B6C	U+6B6C	歬
uni6B6D	U+6B6D	歭
uni6B6E	U+6B6E	歮
uni6B70	U+6B70	歰
uni6B71	U+6B71	歱
uni6B72	U+6B72	歲
uni6B73	U+6B73	歳
uni6B74	U+6B74	歴
uni6B75	U+6B75	歵
uni6B76	U+6B76	歶
uni6B77	U+6B77	歷
uni6B78	U+6B78	歸
uni6B7B	U+6B7B	死
uni6B7C	U+6B7C	歼
uni6B7D	U+6B7D	歽
uni6B7E	U+6B7E	歾
uni6B7F	U+6B7F	歿
uni6B80	U+6B80	殀
uni6B81	U+6B81	殁
uni6B82	U+6B82	殂
uni6B83	U+6B83	殃
uni6B84	U+6B84	殄
uni6B85	U+6B85	殅
uni6B86	U+6B86	殆
uni6B87	U+6B87	殇
uni6B88	U+6B88	殈
uni6B89	U+6B89	殉
uni6B8A	U+6B8A	殊
uni6B8B	U+6B8B	残
uni6B8C	U+6B8C	殌
uni6B8D	U+6B8D	殍
uni6B8E	U+6B8E	殎
uni6B8F	U+6B8F	殏
uni6B90	U+6B90	殐
uni6B91	U+6B91	殑
