uni29EDB	U+29EDB	𩻛
uni29EE9	U+29EE9	𩻩
uni29EF8	U+29EF8	𩻸
uni29F23	U+29F23	𩼣
uni29F30	U+29F30	𩼰
uni29F7E	U+29F7E	𩽾
uni29F83	U+29F83	𩾃
uni29F8C	U+29F8C	𩾌
uni29FB7	U+29FB7	𩾷
uni29FCE	U+29FCE	𩿎
uni29FDE	U+29FDE	𩿞
uni2A014	U+2A014	𪀔
uni2A01A	U+2A01A	𪀚
uni2A02F	U+2A02F	𪀯
uni2A082	U+2A082	𪂂
uni2A087	U+2A087	𪂇
uni2A0B9	U+2A0B9	𪂹
uni2A0E1	U+2A0E1	𪃡
uni2A0ED	U+2A0ED	𪃭
uni2A0F3	U+2A0F3	𪃳
uni2A0F8	U+2A0F8	𪃸
uni2A0F9	U+2A0F9	𪃹
uni2A0FE	U+2A0FE	𪃾
uni2A107	U+2A107	𪄇
uni2A123	U+2A123	𪄣
uni2A133	U+2A133	𪄳
uni2A134	U+2A134	𪄴
uni2A150	U+2A150	𪅐
uni2A190	U+2A190	𪆐
uni2A192	U+2A192	𪆒
uni2A193	U+2A193	𪆓
uni2A1AB	U+2A1AB	𪆫
uni2A1B4	U+2A1B4	𪆴
uni2A1B5	U+2A1B5	𪆵
uni2A1DF	U+2A1DF	𪇟
uni2A1F5	U+2A1F5	𪇵
uni2A220	U+2A220	𪈠
uni2A233	U+2A233	𪈳
uni2A293	U+2A293	𪊓
uni2A29F	U+2A29F	𪊟
uni2A2AD	U+2A2AD	𪊭
uni2A2B2	U+2A2B2	𪊲
uni2A2B4	U+2A2B4	𪊴
uni2A2B6	U+2A2B6	𪊶
uni2A2BA	U+2A2BA	𪊺
uni2A2BD	U+2A2BD	𪊽
uni2A2DF	U+2A2DF	𪋟
uni2A2FF	U+2A2FF	𪋿
uni2A351	U+2A351	𪍑
uni2A38C	U+2A38C	𪎌
uni2A3A9	U+2A3A9	𪎩
uni2A3ED	U+2A3ED	𪏭
uni2A434	U+2A434	𪐴
uni2A437	U+2A437	𪐷
uni2A45B	U+2A45B	𪑛
uni2A4D0	U+2A4D0	𪓐
uni2A4DF	U+2A4DF	𪓟
uni2A5C6	U+2A5C6	𪗆
uni2A5CB	U+2A5CB	𪗋
uni2A5F1	U+2A5F1	𪗱
uni2A601	U+2A601	𪘁
uni2A602	U+2A602	𪘂
uni2A61A	U+2A61A	𪘚
uni2A632	U+2A632	𪘲
uni2A64A	U+2A64A	𪙊
uni2A65B	U+2A65B	𪙛
uni2A664	U+2A664	𪙤
uni2A6A9	U+2A6A9	𪚩
uni2A6B2	U+2A6B2	𪚲
uni2A7DD	U+2A7DD	𪟝
uni2A8FB	U+2A8FB	𪣻
uni2A917	U+2A917	𪤗
uni2A9E6	U+2A9E6	𪧦
uni2AA30	U+2AA30	𪨰
uni2AA36	U+2AA36	𪨶
uni2AA58	U+2AA58	𪩘
uni2ADFF	U+2ADFF	𪷿
uni2AFA2	U+2AFA2	𪾢
uni2B127	U+2B127	𫄧
uni2B128	U+2B128	𫄨
uni2B137	U+2B137	𫄷
uni2B138	U+2B138	𫄸
uni2B1ED	U+2B1ED	𫇭
uni2B300	U+2B300	𫌀
uni2B363	U+2B363	𫍣
uni2B36F	U+2B36F	𫍯
uni2B372	U+2B372	𫍲
uni2B37D	U+2B37D	𫍽
uni2B404	U+2B404	𫐄
uni2B410	U+2B410	𫐐
uni2B413	U+2B413	𫐓
uni2B461	U+2B461	𫑡
uni2B4E7	U+2B4E7	𫓧
uni2B4EF	U+2B4EF	𫓯
uni2B4F6	U+2B4F6	𫓶
uni2B4F9	U+2B4F9	𫓹
uni2B50D	U+2B50D	𫔍
uni2B50E	U+2B50E	𫔎
uni2B536	U+2B536	𫔶
uni2B5AE	U+2B5AE	𫖮
uni2B5AF	U+2B5AF	𫖯
uni2B5B3	U+2B5B3	𫖳
uni2B5E7	U+2B5E7	𫗧
uni2B5F4	U+2B5F4	𫗴
uni2B61C	U+2B61C	𫘜
uni2B61D	U+2B61D	𫘝
uni2B626	U+2B626	𫘦
uni2B627	U+2B627	𫘧
uni2B628	U+2B628	𫘨
uni2B62A	U+2B62A	𫘪
uni2B62C	U+2B62C	𫘬
uni2B689	U+2B689	𫚉
uni2B695	U+2B695	𫚕
uni2B696	U+2B696	𫚖
uni2B6AD	U+2B6AD	𫚭
uni2B6ED	U+2B6ED	𫛭
uni2B746	U+2B746	𫝆
uni2B751	U+2B751	𫝑
uni2B753	U+2B753	𫝓
uni2B75A	U+2B75A	𫝚
uni2B75C	U+2B75C	𫝜
uni2B765	U+2B765	𫝥
uni2B776	U+2B776	𫝶
uni2B777	U+2B777	𫝷
uni2B77C	U+2B77C	𫝼
uni2B782	U+2B782	𫞂
uni2B789	U+2B789	𫞉
uni2B78B	U+2B78B	𫞋
uni2B78E	U+2B78E	𫞎
uni2B794	U+2B794	𫞔
uni2B7A9	U+2B7A9	𫞩
uni2B7AC	U+2B7AC	𫞬
uni2B7AF	U+2B7AF	𫞯
uni2B7BD	U+2B7BD	𫞽
uni2B7C5	U+2B7C5	𫟅
uni2B7C9	U+2B7C9	𫟉
uni2B7CF	U+2B7CF	𫟏
uni2B7D2	U+2B7D2	𫟒
uni2B7D8	U+2B7D8	𫟘
uni2B7E6	U+2B7E6	𫟦
uni2B7F0	U+2B7F0	𫟰
uni2B7F7	U+2B7F7	𫟷
uni2B7F9	U+2B7F9	𫟹
uni2B7FC	U+2B7FC	𫟼
uni2B806	U+2B806	𫠆
uni2B80A	U+2B80A	𫠊
uni2B80D	U+2B80D	𫠍
uni2B817	U+2B817	𫠗
uni2B81A	U+2B81A	𫠚
uni2B81C	U+2B81C	𫠜
uni2B8B8	U+2B8B8	𫢸
uni2BAC7	U+2BAC7	𫫇
uni2BB5F	U+2BB5F	𫭟
uni2BB62	U+2BB62	𫭢
uni2BB7C	U+2BB7C	𫭼
uni2BB83	U+2BB83	𫮃
uni2BC1B	U+2BC1B	𫰛
uni2BD77	U+2BD77	𫵷
uni2BD87	U+2BD87	𫶇
uni2BDF7	U+2BDF7	𫷷
uni2BE29	U+2BE29	𫸩
uni2C029	U+2C029	𬀩
uni2C02A	U+2C02A	𬀪
uni2C081	U+2C081	𬂁
uni2C0A9	U+2C0A9	𬂩
uni2C0CA	U+2C0CA	𬃊
uni2C115	U+2C115	𬄕
uni2C1D5	U+2C1D5	𬇕
uni2C1D9	U+2C1D9	𬇙
uni2C1F9	U+2C1F9	𬇹
uni2C27C	U+2C27C	𬉼
uni2C288	U+2C288	𬊈
uni2C2A4	U+2C2A4	𬊤
uni2C317	U+2C317	𬌗
uni2C35B	U+2C35B	𬍛
uni2C361	U+2C361	𬍡
uni2C364	U+2C364	𬍤
uni2C386	U+2C386	𬎆
uni2C488	U+2C488	𬒈
uni2C494	U+2C494	𬒔
uni2C497	U+2C497	𬒗
uni2C542	U+2C542	𬕂
uni2C613	U+2C613	𬘓
uni2C618	U+2C618	𬘘
uni2C621	U+2C621	𬘡
uni2C629	U+2C629	𬘩
uni2C62B	U+2C62B	𬘫
uni2C62C	U+2C62C	𬘬
uni2C62D	U+2C62D	𬘭
uni2C62F	U+2C62F	𬘯
uni2C642	U+2C642	𬙂
uni2C64A	U+2C64A	𬙊
uni2C64B	U+2C64B	𬙋
uni2C72C	U+2C72C	𬜬
uni2C72F	U+2C72F	𬜯
uni2C79F	U+2C79F	𬞟
uni2C7C1	U+2C7C1	𬟁
uni2C7D3	U+2C7D3	𬟓
uni2C7FD	U+2C7FD	𬟽
uni2C8D9	U+2C8D9	𬣙
uni2C8DE	U+2C8DE	𬣞
uni2C8E1	U+2C8E1	𬣡
uni2C8F3	U+2C8F3	𬣳
uni2C907	U+2C907	𬤇
uni2C90A	U+2C90A	𬤊
uni2C91D	U+2C91D	𬤝
uni2CA02	U+2CA02	𬨂
uni2CA0E	U+2CA0E	𬨎
uni2CA7D	U+2CA7D	𬩽
uni2CAA9	U+2CAA9	𬪩
uni2CB29	U+2CB29	𬬩
uni2CB2D	U+2CB2D	𬬭
uni2CB2E	U+2CB2E	𬬮
uni2CB31	U+2CB31	𬬱
uni2CB38	U+2CB38	𬬸
uni2CB39	U+2CB39	𬬹
uni2CB3B	U+2CB3B	𬬻
uni2CB3F	U+2CB3F	𬬿
uni2CB41	U+2CB41	𬭁
uni2CB4A	U+2CB4A	𬭊
uni2CB4E	U+2CB4E	𬭎
uni2CB5A	U+2CB5A	𬭚
uni2CB5B	U+2CB5B	𬭛
uni2CB64	U+2CB64	𬭤
uni2CB69	U+2CB69	𬭩
uni2CB6C	U+2CB6C	𬭬
uni2CB6F	U+2CB6F	𬭯
uni2CB73	U+2CB73	𬭳
uni2CB76	U+2CB76	𬭶
uni2CB78	U+2CB78	𬭸
uni2CB7C	U+2CB7C	𬭼
uni2CBB1	U+2CBB1	𬮱
uni2CBBF	U+2CBBF	𬮿
uni2CBC0	U+2CBC0	𬯀
uni2CBCE	U+2CBCE	𬯎
uni2CC56	U+2CC56	𬱖
uni2CC5F	U+2CC5F	𬱟
uni2CCF5	U+2CCF5	𬳵
uni2CCF6	U+2CCF6	𬳶
uni2CCFD	U+2CCFD	𬳽
uni2CCFF	U+2CCFF	𬳿
uni2CD02	U+2CD02	𬴂
uni2CD03	U+2CD03	𬴃
uni2CD0A	U+2CD0A	𬴊
uni2CD8B	U+2CD8B	𬶋
uni2CD8D	U+2CD8D	𬶍
uni2CD8F	U+2CD8F	𬶏
uni2CD90	U+2CD90	𬶐
uni2CD9F	U+2CD9F	𬶟
uni2CDA0	U+2CDA0	𬶠
uni2CDA8	U+2CDA8	𬶨
uni2CDAD	U+2CDAD	𬶭
uni2CDAE	U+2CDAE	𬶮
uni2CDD5	U+2CDD5	𬷕
uni2CE18	U+2CE18	𬸘
uni2CE1A	U+2CE1A	𬸚
uni2CE23	U+2CE23	𬸣
