weightclass	100	200	300	400	500	600	700	800	900
widthclass	3	3	3	3	3	3	3	3	3
width	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
weight	0.82	1.05	0.92	0.88	1.08	0.96	0.98	0.92	1.02
contrast	1	1	1	0.99	0.98	0.97	0.96	0.95	0.95
xtracking	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975
ytracking	1	1	1	1	1	1	1	1	1
counter	1.02	1.015	1.01	1.005	1	1	1	1	1
gravity	1.035	1.035	1.035	1.035	1.03	1.025	1.02	0.98	0.98
softness	0.98	0.97	0.93	0.9	0.93	0.94	0.94	0.94	0.94
dotsoftness	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
feetremoval	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
endsremoval	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
flattenends	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
hooktension	0.4	0.425	0.45	0.475	0.5	0.55	0.6	0.65	0.7
baseline	120	120	120	120	120	120	120	120	120
latinscale	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
shs	0	0	1	2	3	4	5	6	6
fira	14	17	20	23	26	29	35	39	44
