weightclass	100	200	300	400	500	600	700	800	900
widthclass	7	7	7	7	7	7	7	7	7
width	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
weight	0.82	1.05	0.92	0.88	1.08	0.96	0.98	0.95	1.05
contrast	1	1	1	1.01	1.02	1.03	1.04	1.05	1.05
xtracking	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
ytracking	1	1	1	1	1	1	1	1	1
counter	1	1.005	1.01	1.015	1.02	1.025	1.03	1.03	1.03
gravity	1.02	1.02	1.01	1.01	1	1	0.98	0.98	0.98
softness	0.98	0.97	0.93	0.9	0.93	0.94	0.94	0.94	0.94
dotsoftness	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
feetremoval	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
endsremoval	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
flattenends	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
hooktension	0.4	0.425	0.45	0.475	0.5	0.55	0.6	0.65	0.7
baseline	120	120	120	120	120	120	120	120	120
latinscale	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
shs	0	0	1	2	3	4	5	6	6
raleway	0	1	2	3	4	5	6	7	8
