weightclass	100	200	300	400	500	600	700	800	900
widthclass	5	5	5	5	5	5	5	5	5
width	1	1	1	1	1	1	1	1	1
weight	0.82	1.05	0.92	0.88	1.08	0.96	0.98	0.95	1.05
contrast	1	1	1	1	1	1	1	1	1
xtracking	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98
ytracking	1	1	1	1	1	1	1	1	1
counter	0.98	0.975	0.97	0.965	0.96	0.955	0.955	0.955	0.955
gravity	1.03	1.03	1.03	1.03	1.03	1.02	1.01	0.98	0.98
softness	0.98	0.97	0.93	0.9	0.93	0.94	0.94	0.94	0.94
dotsoftness	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
feetremoval	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
endsremoval	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
flattenends	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
hooktension	0.4	0.425	0.45	0.475	0.5	0.55	0.6	0.65	0.7
baseline	120	120	120	120	120	120	120	120	120
latinscale	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
shs	0	0	1	2	3	4	5	6	6
fira	12	15	18	21	24	27	33	36	42
